Unnamed: 0,SFO,BUF
First Downs,16,29
Rush-Yds-TDs,28-133-0,44-313-4
Cmp-Att-Yd-TD-INT,13-29-187-1-0,16-27-179-2-0
Sacked-Yards,3-20,3-0
Net Pass Yards,167,179
Total Yards,300,492
Fumbles-Lost,2-1,3-2
Turnovers,1,2
Penalties-Yards,6-52,7-71
Third Down Conv.,3-13,8-13
Fourth Down Conv.,0-2,0-0
Time of Possession,24:49,35:11
