Quarter,Time,Tm,Detail,LAC,KAN
1.0,0:00,Chiefs,Harrison Butker 31 yard field goal,0,3
2.0,6:30,Chiefs,Tyreek Hill 64 yard pass from Alex Smith (Harrison Butker kick),0,10
,2:00,Chargers,Melvin Gordon 2 yard rush (Travis Coons kick failed),6,10
3.0,9:20,Chargers,Antonio Gates 10 yard pass from Philip Rivers (Travis Coons kick),13,10
,2:07,Chiefs,Kareem Hunt 3 yard pass from Alex Smith (Harrison Butker kick),13,17
,0:28,Chiefs,Harrison Butker 24 yard field goal,13,20
4.0,10:59,Chiefs,Harrison Butker 51 yard field goal,13,23
,3:57,Chiefs,Kareem Hunt 5 yard rush (Harrison Butker kick),13,30
