Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,LAC 25,0,0,Philip Rivers pass complete short middle to Hunter Henry for 7 yards (tackle by Derrick Johnson),0.610,1.010
1,14:28,2,3,LAC 32,0,0,Travis Benjamin left end for 7 yards (tackle by Ron Parker),1.010,1.530
1,13:56,1,10,LAC 39,0,0,Philip Rivers pass incomplete deep left intended for Keenan Allen,1.530,0.990
1,13:51,2,10,LAC 39,0,0,Melvin Gordon right tackle for 10 yards (tackle by Ron Parker),0.990,2.190
1,13:05,1,10,LAC 49,0,0,Melvin Gordon right tackle for 1 yard (tackle by Reggie Ragland and Allen Bailey),2.190,1.780
1,12:28,2,9,,0,0,Philip Rivers pass incomplete short right intended for Keenan Allen,1.780,1.090
1,12:21,3,9,,0,0,Philip Rivers sacked by Eric Murray for -9 yards,1.090,-0.650
1,11:46,4,18,LAC 41,0,0,"Drew Kaser punts 42 yards, returned by Tyreek Hill for 1 yard (tackle by Derek Watt)",-0.650,-0.040
1,11:35,1,10,KAN 18,0,0,Alex Smith pass incomplete short right intended for Kareem Hunt (defended by Melvin Ingram),0.040,-0.490
1,11:30,2,10,KAN 18,0,0,Kareem Hunt right end for 2 yards (tackle by Desmond King),-0.490,-0.910
1,10:44,3,8,KAN 20,0,0,Alex Smith middle for 5 yards (tackle by Adrian Phillips),-0.910,-1.700
1,10:11,4,3,KAN 25,0,0,"Dustin Colquitt punts 51 yards, returned by Travis Benjamin for 6 yards (tackle by Frank Zombo). Penalty on Korey Toomer: Illegal Block Above the Waist, 10 yards",-1.700,-0.280
1,9:58,1,10,LAC 20,0,0,Melvin Gordon right guard for 5 yards (tackle by Chris Jones),0.280,0.410
1,9:23,2,5,LAC 25,0,0,Philip Rivers pass incomplete deep right intended for Tyrell Williams (defended by Ron Parker),0.410,-0.300
1,9:15,3,5,LAC 25,0,0,Philip Rivers pass incomplete deep right intended for Antonio Gates,-0.300,-1.700
1,9:09,4,5,LAC 25,0,0,"Drew Kaser punts 43 yards, muffed catch by Daniel Sorensen, recovered by Orson Charles and returned for no gain",-1.700,0.380
1,8:55,1,10,KAN 6,0,0,Alex Smith pass complete short right to Travis Kelce for 4 yards (tackle by Casey Hayward),-0.380,-0.490
1,8:23,2,6,KAN 10,0,0,Alex Smith right end for 1 yard (tackle by Joey Bosa),-0.490,-0.840
1,7:41,3,5,KAN 11,0,0,Alex Smith pass complete short middle to Travis Kelce for 21 yards (tackle by Tre Boston),-0.840,1.070
1,7:02,1,10,KAN 32,0,0,Kareem Hunt right guard for 6 yards (tackle by Damion Square),1.070,1.340
1,6:28,2,4,KAN 38,0,0,Kareem Hunt middle for 7 yards (tackle by Adrian Phillips),1.340,1.930
1,5:54,1,10,KAN 45,0,0,Kareem Hunt left guard for 7 yards (tackle by Trevor Williams and Tre Boston),1.930,2.330
1,5:16,2,3,LAC 48,0,0,Kareem Hunt left tackle for 6 yards (tackle by Adrian Phillips),2.330,2.790
1,4:39,1,10,LAC 42,0,0,Alex Smith sacked by Melvin Ingram for -8 yards,2.790,1.160
1,3:52,2,18,,0,0,"Penalty on Melvin Ingram: Defensive Offside, 5 yards (no play)",1.160,1.840
1,3:34,2,13,LAC 45,0,0,Alex Smith pass complete short left to Demetrius Harris for 7 yards (tackle by Adrian Phillips),1.840,2.080
1,2:46,3,6,LAC 38,0,0,"Alex Smith pass complete short right to Tyreek Hill for 12 yards (tackle by Casey Hayward). Penalty on Charcandrick West: Chop Block, 15 yards (no play)",2.080,0.100
1,2:24,3,21,KAN 47,0,0,Alex Smith pass complete short right to Orson Charles for 18 yards (tackle by Desmond King),0.100,0.990
1,1:28,4,3,LAC 35,0,0,Alex Smith pass complete short left to Kareem Hunt for 21 yards (tackle by Desmond King),0.990,4.650
1,0:58,1,10,LAC 14,0,0,Kareem Hunt middle for 2 yards (tackle by Corey Liuget),4.650,4.330
1,0:13,2,8,LAC 12,0,0,Alex Smith pass incomplete short left intended for Travis Kelce,4.330,3.430
1,0:08,3,8,LAC 12,0,0,Alex Smith pass incomplete short right intended for Tyreek Hill,3.430,2.630
1,0:01,4,8,LAC 12,0,3,Harrison Butker 31 yard field goal good,2.630,3.000
Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,KAN 35,0,3,"Harrison Butker kicks off 63 yards, returned by Desmond King for 23 yards (tackle by Eric Murray). Penalty on Jatavis Brown: Offensive Holding, 10 yards",0.000,0.320
2,14:54,1,10,LAC 13,0,3,Melvin Gordon left tackle for 5 yards (tackle by Rakeem Nunez-Roches),-0.320,-0.140
2,14:10,2,5,LAC 18,0,3,Philip Rivers pass complete short left to Keenan Allen for 11 yards (tackle by Daniel Sorensen),-0.140,0.870
2,13:27,1,10,LAC 29,0,3,Melvin Gordon middle for 6 yards (tackle by Kevin Pierre-Louis),0.870,1.140
2,12:44,2,4,LAC 35,0,3,Melvin Gordon right guard for no gain (tackle by Justin Houston),1.140,0.430
2,11:57,3,4,LAC 35,0,3,"Philip Rivers right end for 2 yards (tackle by Justin Houston). Penalty on Marcus Peters: Illegal Use of Hands (Offsetting), Penalty on Dan Feeney: Offensive Holding (Offsetting) (no play)",0.430,0.430
2,11:25,3,4,LAC 35,0,3,Philip Rivers pass complete short left to Hunter Henry for 7 yards (tackle by Eric Murray),0.430,1.730
2,10:42,1,10,LAC 42,0,3,Philip Rivers pass complete short middle to Keenan Allen for 12 yards (tackle by Steven Nelson),1.730,2.520
2,9:56,1,10,KAN 46,0,3,Philip Rivers sacked by Chris Jones for -9 yards,2.520,0.760
2,9:11,2,19,LAC 45,0,3,Philip Rivers pass incomplete short right intended for Keenan Allen (defended by Justin Houston),0.760,0.100
2,9:07,3,19,LAC 45,0,3,Philip Rivers pass complete short left to Melvin Gordon for 9 yards (tackle by Darrelle Revis),0.100,0.200
2,8:29,4,10,KAN 46,0,3,"Drew Kaser punts 46 yards, touchback",0.200,-0.280
2,8:20,1,10,KAN 20,0,3,"Kareem Hunt middle for 3 yards (tackle by Darius Philon and Melvin Ingram). Penalty on Brandon Mebane: Defensive Holding, 5 yards",0.280,0.810
2,8:02,1,10,KAN 28,0,3,Kareem Hunt right tackle for 7 yards (tackle by Brandon Mebane and Desmond King),0.810,1.210
2,7:21,2,3,KAN 35,0,3,Alex Smith pass complete short right to Travis Kelce for 1 yard (tackle by Casey Hayward),1.210,0.630
2,6:39,3,2,KAN 36,0,9,"Alex Smith pass complete deep right to Tyreek Hill for 64 yards, touchdown",0.630,7.000
2,6:30,,,LAC 15,0,10,Harrison Butker kicks extra point good,0.000,0.000
2,6:30,,,KAN 35,0,10,"Harrison Butker kicks off 65 yards, touchback",0.000,-0.610
2,6:30,1,10,LAC 25,0,10,Philip Rivers pass incomplete short left intended for Tyrell Williams (defended by Kevin Pierre-Louis),0.610,0.060
2,6:25,2,10,LAC 25,0,10,Philip Rivers pass complete short left to Melvin Gordon for 21 yards (tackle by Steven Nelson),0.060,1.990
2,5:43,1,10,LAC 46,0,10,Austin Ekeler left tackle for 13 yards (tackle by Steven Nelson and Daniel Sorensen),1.990,2.850
2,5:03,1,10,KAN 41,0,10,Philip Rivers pass incomplete deep middle intended for Tyrell Williams (defended by Marcus Peters),2.850,2.310
