Unnamed: 0,WAS,STL
First Downs,15,24
Rush-Yds-TDs,17-116-0,37-133-2
Cmp-Att-Yd-TD-INT,19-32-236-1-1,23-37-235-1-1
Sacked-Yards,1-3,1-3
Net Pass Yards,233,232
Total Yards,349,365
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,9-65,9-99
Third Down Conv.,1-10,7-16
Fourth Down Conv.,0-0,2-2
Time of Possession,25:10,34:50
