Quarter,Time,Down,ToGo,Location,WAS,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,Graham Gano kicks off 63 yards,0.000,1.600
1,14:57,1,10,STL 40,0,0,Steven Jackson middle for 4 yards (tackle by Adam Carriker),1.600,1.590
1,14:27,2,6,STL 44,0,0,Sam Bradford pass complete short right to Fendi Onobun for 7 yards (tackle by Andre Carter). Penalty on Rocky McIntosh: Defensive Offside (Declined),1.590,2.320
1,14:06,1,10,WAS 49,0,0,Sam Bradford pass incomplete short left intended for Mark Clayton (defended by Adam Carriker),2.320,1.780
1,14:03,2,10,WAS 49,0,0,Steven Jackson right tackle for 3 yards (tackle by Rocky McIntosh),1.780,1.490
1,13:21,3,7,WAS 46,0,0,Sam Bradford pass complete short middle to Steven Jackson for 6 yards (tackle by London Fletcher),1.490,0.590
1,12:54,4,1,WAS 40,0,0,Mike Karney middle for 2 yards (tackle by Brian Orakpo),0.590,3.050
1,12:22,1,10,WAS 38,0,0,Steven Jackson middle for -4 yards (tackle by LaRon Landry),3.050,1.970
1,11:44,2,14,WAS 42,0,6,"Steven Jackson right end for 42 yards, touchdown",1.970,7.000
1,,,,WAS 2,0,7,Josh Brown kicks extra point good,0.000,0.000
1,,,,STL 30,0,7,"Josh Brown kicks off 73 yards, returned by Devin Thomas for 31 yards (tackle by Kenneth Darby)",0.000,0.810
1,11:24,1,10,WAS 28,0,7,Donovan McNabb pass complete short middle to Fred Davis for 6 yards (tackle by Gary Gibson),0.810,1.070
1,10:40,2,4,WAS 34,0,7,Donovan McNabb pass complete short left to Santana Moss for 18 yards (tackle by Bradley Fletcher),1.070,2.390
1,10:11,1,10,STL 48,0,7,"Clinton Portis middle for 6 yards (tackle by Na'il Diggs). Penalty on Santana Moss: Illegal Crackback, 15 yards (no play)",2.390,1.400
1,9:43,1,25,WAS 37,0,7,"Donovan McNabb pass complete short middle to Santana Moss for 10 yards (tackle by Na'il Diggs). Santana Moss fumbles (forced by Na'il Diggs), recovered by James Butler at STL-48 and returned for 49 yards (tackle by Donovan McNabb)",1.400,-6.510
1,9:29,1,3,WAS 3,0,7,Steven Jackson right tackle for no gain (tackle by London Fletcher),6.510,5.530
1,8:57,2,3,WAS 3,0,13,"Sam Bradford pass complete short right to Daniel Fells for 3 yards, touchdown",5.530,7.000
1,,,,WAS 2,0,14,Josh Brown kicks extra point good,0.000,0.000
1,,,,STL 30,0,14,"Josh Brown kicks off 68 yards, returned by Devin Thomas for 29 yards (tackle by Larry Grant)",0.000,1.000
1,8:43,1,10,WAS 31,0,14,Clinton Portis left tackle for -3 yards (tackle by James Laurinaitis),1.000,0.060
1,8:04,2,13,WAS 28,0,14,"Penalty on Stephon Heyer: False Start, 5 yards (no play)",0.060,-0.620
1,7:42,2,18,WAS 23,0,14,Donovan McNabb pass complete short right to Mike Sellers for 11 yards (tackle by Darian Stewart),-0.620,0.170
1,6:47,3,7,WAS 34,0,14,"Penalty on Artis Hicks: False Start, 5 yards (no play)",0.170,-0.490
1,6:23,3,12,WAS 29,0,14,Donovan McNabb pass complete short left to Chris Cooley for 5 yards (tackle by Justin King),-0.490,-1.110
1,5:54,4,7,WAS 34,0,14,Graham Gano punts no gain,-1.110,-3.840
1,5:48,1,10,WAS 26,0,14,Sam Bradford pass incomplete deep right intended for Daniel Fells is intercepted by Kareem Moore at WAS-10 and returned for 5 yards. Penalty on Adam Goldberg: Offensive Holding (Declined),3.840,0.220
1,5:39,1,10,WAS 15,0,14,Donovan McNabb pass complete short middle to Fred Davis for 5 yards (tackle by David Vobora),-0.220,0.080
1,5:09,2,5,WAS 20,0,14,Clinton Portis left tackle for 27 yards (tackle by O.J. Atogwe),0.080,2.060
1,4:31,1,10,WAS 47,0,14,Clinton Portis left guard for 7 yards (tackle by David Vobora),2.060,2.460
1,3:50,2,3,STL 46,0,14,Donovan McNabb pass incomplete deep middle intended for Joey Galloway,2.460,1.750
1,3:41,3,3,STL 46,0,14,"Donovan McNabb pass incomplete short middle intended for Santana Moss. Penalty on Chris Long: Defensive Offside (Offsetting), Penalty on Keiland Williams: Offensive Holding (Offsetting) (no play)",1.750,1.750
1,3:38,3,3,STL 46,0,14,Donovan McNabb pass incomplete short left intended for Keiland Williams (defended by James Laurinaitis),1.750,0.200
1,3:32,4,3,STL 46,0,14,Graham Gano punts 31 yards,0.200,0.220
1,3:24,1,10,STL 15,0,14,Steven Jackson right tackle for 6 yards (tackle by Rocky McIntosh and Kareem Moore),-0.220,0.210
1,2:49,2,4,STL 21,0,14,Keith Toston right end for 2 yards (tackle by Phillip Daniels),0.210,-0.390
1,2:00,3,2,STL 23,0,14,Sam Bradford pass incomplete short right intended for Brandon Gibson (defended by Carlos Rogers),-0.390,-1.830
1,1:56,4,2,STL 23,0,14,"Donnie Jones punts 42 yards, returned by Phillip Buchanon for 1 yard (tackle by Dominique Curry)",-1.830,-1.330
1,1:48,1,10,WAS 36,0,14,Clinton Portis left tackle for 9 yards (tackle by O.J. Atogwe),1.330,2.010
1,1:13,2,1,WAS 45,0,14,Clinton Portis right end for 2 yards (tackle by James Laurinaitis),2.010,2.060
1,0:26,,,,0,14,Timeout #1 by Washington Redskins,0.000,2.060
1,0:26,1,10,WAS 47,0,14,"Donovan McNabb pass incomplete deep middle intended for Fred Davis. Penalty on Bradley Fletcher: Defensive Pass Interfere, 39 yards (no play)",2.060,4.650
1,0:19,1,10,STL 14,0,14,Donovan McNabb pass incomplete short middle intended for Ryan Torain (defended by Gary Gibson),4.650,4.000
1,0:14,2,10,STL 14,0,14,Clinton Portis middle for 3 yards (tackle by Chris Long),4.000,3.620
Quarter,Time,Down,ToGo,Location,WAS,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,STL 11,0,14,Donovan McNabb pass incomplete short right intended for Chris Cooley. Penalty on Jammal Brown: Offensive Holding (Declined),3.620,2.700
2,14:54,4,7,STL 11,3,14,Graham Gano 29 yard field goal good,2.700,3.000
2,,,,WAS 30,3,14,"Graham Gano kicks off 63 yards, returned by Mardy Gilyard for 17 yards (tackle by H.B. Blades). Mardy Gilyard fumbles (forced by Reed Doughty), recovered by Lorenzo Alexander at STL-21 (tackle by Bryan Kehl)",0.000,-4.170
2,14:43,1,10,STL 21,9,14,"Donovan McNabb pass complete deep left to Santana Moss for 21 yards, touchdown",4.170,7.000
2,,,,STL 2,10,14,"Graham Gano kicks extra point good. Penalty on Fred Robbins: Defensive Offside, 5 yards",0.000,0.000
2,,,,WAS 35,10,14,"Graham Gano kicks off 68 yards, returned by Mardy Gilyard for 26 yards (tackle by Reed Doughty)",0.000,0.480
2,14:32,1,10,STL 23,10,14,Steven Jackson right tackle for 3 yards (tackle by DeAngelo Hall and Kedric Golston),0.480,0.340
2,13:58,2,7,STL 26,10,14,Sam Bradford pass incomplete short middle intended for Darcy Johnson,0.340,-0.360
2,13:50,3,7,STL 26,10,14,Sam Bradford pass complete short left to Danny Amendola for 8 yards (tackle by Carlos Rogers),-0.360,1.200
2,13:20,1,10,STL 34,10,14,Sam Bradford pass incomplete short right intended for Kenneth Darby,1.200,0.660
2,13:16,2,10,STL 34,10,14,Sam Bradford pass incomplete short middle intended for Steven Jackson,0.660,-0.030
2,13:12,3,10,STL 34,10,14,Sam Bradford sacked by Brian Orakpo for -3 yards,-0.030,-1.310
2,12:40,4,13,STL 31,10,14,"Donnie Jones punts 52 yards, fair catch by Phillip Buchanon",-1.310,0.060
2,12:31,1,10,WAS 17,10,14,Ryan Torain left end for 36 yards (tackle by James Butler),-0.060,2.460
