Quarter,Time,Down,ToGo,Location,SFO,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,SFO 20,0,0,Blaine Gabbert pass complete short left to Anquan Boldin for 5 yards (tackle by Jason Jones),0.280,0.410
1,14:22,2,5,SFO 25,0,0,Jarryd Hayne middle for 4 yards (tackle by Jason Jones),0.410,0.230
1,13:53,3,1,SFO 29,0,0,DuJuan Harris left tackle for 22 yards (tackle by Glover Quin),0.230,2.320
1,13:26,1,10,DET 49,0,0,Blaine Gabbert pass complete short right to DuJuan Harris for 11 yards (tackle by Isa Abdul-Quddus),2.320,3.050
1,12:54,1,10,DET 38,0,0,DuJuan Harris middle for 3 yards (tackle by C.J. Wilson and Stephen Tulloch),3.050,2.910
1,12:28,2,7,DET 35,0,0,Jarryd Hayne left tackle for 11 yards (tackle by Darryl Tapp),2.910,3.970
1,12:02,1,10,DET 24,0,0,Blaine Gabbert pass complete short right to Anquan Boldin for 9 yards (tackle by Darius Slay),3.970,4.850
1,11:31,2,1,DET 15,0,0,Blaine Gabbert pass complete short middle to Anquan Boldin for 7 yards (tackle by Glover Quin),4.850,5.370
1,11:04,1,8,DET 8,0,0,Jarryd Hayne left tackle for no gain (tackle by Brandon Copeland),5.370,4.570
1,10:28,2,8,DET 8,0,0,"Blaine Gabbert sacked by Darryl Tapp for 0 yards. Penalty on Blake Bell: Illegal Motion, 5 yards (no play)",4.570,3.720
1,10:10,2,13,DET 13,0,0,DuJuan Harris middle for 8 yards (tackle by Isa Abdul-Quddus and Ezekiel Ansah),3.720,4.260
1,9:47,3,5,DET 5,0,0,"Blaine Gabbert pass incomplete short left intended for Torrey Smith. Penalty on Nevin Lawson: Defensive Pass Interference, 4 yards (no play)",4.260,4.260
1,9:28,3,5,DET 5,0,0,Timeout #1 by Detroit Lions,4.260,6.970
1,9:28,1,1,DET 1,6,0,"Blaine Gabbert pass complete short right to Vance McDonald for 1 yard, touchdown",6.970,7.000
1,9:28,,,DET 1,7,0,Phil Dawson kicks extra point good,0.000,0.000
1,9:28,,,SFO 35,7,0,"Bradley Pinion kicks off 72 yards, returned by Ameer Abdullah for 46 yards (tackle by Bradley Pinion)",0.000,-1.530
1,9:16,1,10,DET 39,7,0,Matthew Stafford pass complete short right to Golden Tate for 11 yards (tackle by Eric Reid),1.530,2.260
1,8:43,1,10,DET 50,7,0,Matthew Stafford pass complete short left to Calvin Johnson for 8 yards (tackle by Dontae Johnson),2.260,2.790
1,7:58,2,2,SFO 42,7,0,"Matthew Stafford pass incomplete short right intended for Calvin Johnson. Penalty on Ahmad Brooks: Defensive Offside, 5 yards (no play)",2.790,3.120
1,7:52,1,10,SFO 37,7,0,Matthew Stafford for 9 yards (tackle by NaVorro Bowman),3.120,3.790
1,7:18,2,1,SFO 28,7,0,Theo Riddick right tackle for 3 yards (tackle by Quinton Dial and Gerald Hodges),3.790,3.910
1,6:41,1,10,SFO 25,7,0,"Penalty on Gerald Hodges: Neutral Zone Infraction, 5 yards (no play)",3.910,4.640
1,6:16,1,5,SFO 20,7,0,Matthew Stafford pass incomplete deep middle intended for Calvin Johnson (defended by Dontae Johnson),4.640,4.040
1,6:10,2,5,SFO 20,7,0,Ameer Abdullah right tackle for 3 yards (tackle by Quinton Dial),4.040,3.850
1,5:29,3,2,SFO 17,7,0,Matthew Stafford pass incomplete short middle intended for Golden Tate (defended by Ian Williams),3.850,2.440
1,5:22,4,2,SFO 17,7,3,Matt Prater 36 yard field goal good,2.440,3.000
1,5:22,,,DET 35,7,3,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
1,5:19,1,10,SFO 20,7,3,Blaine Gabbert pass complete short right to Anquan Boldin for 6 yards (tackle by Darius Slay),0.280,0.540
1,4:50,2,4,SFO 26,7,3,DuJuan Harris middle for 1 yard (tackle by Ezekiel Ansah),0.540,-0.030
1,4:16,3,3,SFO 27,7,3,Blaine Gabbert pass complete short right to Anquan Boldin for no gain. Penalty on Quinton Patton: Offensive Pass Interference (Declined),-0.030,-1.570
1,4:01,4,3,SFO 27,7,3,"Bradley Pinion punts 47 yards, fair catch by Golden Tate",-1.570,-0.670
1,3:54,1,10,DET 26,7,3,Theo Riddick middle for 1 yard (tackle by Mike Purcell),0.670,0.270
1,3:20,2,9,DET 27,7,3,Matthew Stafford pass complete short left to Theo Riddick for 8 yards (tackle by Tony Jerod-Eddie),0.270,0.630
1,2:36,3,1,DET 35,7,3,Theo Riddick right tackle for no gain (tackle by Tony Jerod-Eddie),0.630,-1.040
1,2:02,4,1,DET 35,7,3,Isa Abdul-Quddus middle for 4 yards (tackle by Nick Bellore),-1.040,1.530
1,1:17,1,10,DET 39,7,3,Matthew Stafford pass complete short right to Eric Ebron for 9 yards (tackle by Gerald Hodges),1.530,2.200
1,0:48,2,1,DET 48,7,3,Theo Riddick middle for 3 yards (tackle by Ahmad Brooks and Quinton Dial),2.200,2.320
1,0:16,1,10,SFO 49,7,3,Matthew Stafford pass complete short right to Eric Ebron for 10 yards (tackle by Gerald Hodges),2.320,2.980
