Unnamed: 0,TAM,DAL
First Downs,27,16
Rush-Yds-TDs,24-63-1,24-80-1
Cmp-Att-Yd-TD-INT,34-48-336-1-0,20-25-161-1-0
Sacked-Yards,3-16,1-9
Net Pass Yards,320,152
Total Yards,383,232
Fumbles-Lost,2-2,1-0
Turnovers,2,0
Penalties-Yards,9-72,10-67
Third Down Conv.,4-13,3-9
Fourth Down Conv.,1-2,0-0
Time of Possession,35:19,24:41
