Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
2,12:03,1,10,DAL 39,3,14,Jameis Winston pass complete short right to Bobo Wilson for 3 yards (tackle by Antwaun Woods and Daniel Ross),2.980,2.850
2,11:25,2,7,DAL 36,3,14,Jameis Winston pass incomplete short middle intended for Mike Evans,2.850,2.150
2,11:21,3,7,DAL 36,3,14,Jameis Winston pass complete short left to Adam Humphries for 9 yards (tackle by Xavier Woods),2.150,3.780
2,10:36,1,10,DAL 27,3,14,Jameis Winston pass incomplete deep left intended for Bobo Wilson,3.780,3.230
2,10:33,2,10,DAL 27,3,14,"Peyton Barber right end for 2 yards (tackle by Byron Jones). Penalty on Jameis Winston: Illegal Block Above the Waist, 10 yards",3.230,2.150
2,10:07,2,18,DAL 35,3,14,Jameis Winston pass incomplete deep left intended for Chris Godwin,2.150,1.490
2,10:00,3,18,DAL 35,3,14,Jameis Winston pass complete short middle to Jacquizz Rodgers for 8 yards (tackle by Jaylon Smith and Leighton Vander Esch),1.490,1.670
2,9:19,4,10,DAL 27,6,14,Cairo Santos 45 yard field goal good,1.670,3.000
2,9:13,,,TAM 35,6,14,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,9:13,1,10,DAL 25,6,14,Ezekiel Elliott right guard for 3 yards (tackle by Vita Vea and Jason Pierre-Paul),0.610,0.470
2,8:42,2,7,DAL 28,6,14,Dak Prescott pass complete short right to Blake Jarwin for 3 yards (tackle by Isaiah Johnson),0.470,0.170
2,7:58,3,4,DAL 31,6,14,Dak Prescott pass complete short right to Ezekiel Elliott for 1 yard (tackle by Andrew Adams and Lavonte David),0.170,-1.240
2,7:14,4,3,DAL 32,6,14,Chris Jones punts 48 yards out of bounds,-1.240,-0.280
2,7:05,1,10,TAM 20,6,14,Peyton Barber up the middle for 6 yards (tackle by Jaylon Smith and Taco Charlton),0.280,0.540
2,6:32,2,4,TAM 26,6,14,Peyton Barber left tackle for -1 yards (tackle by Taco Charlton and Demarcus Lawrence),0.540,-0.300
2,5:55,3,5,TAM 25,6,14,Jameis Winston pass incomplete deep left intended for DeSean Jackson,-0.300,-1.700
2,5:48,4,5,TAM 25,6,14,"Bryan Anger punts 45 yards, fair catch by Cole Beasley at DAL-30",-1.700,-0.940
2,5:41,1,10,DAL 30,6,14,Ezekiel Elliott left guard for 3 yards (tackle by Adarius Taylor),0.940,0.800
2,5:05,2,7,DAL 33,6,14,Dak Prescott pass complete short left to Amari Cooper for 8 yards (tackle by Isaiah Johnson),0.800,1.660
2,4:27,1,10,DAL 41,6,14,Ezekiel Elliott left guard for 4 yards (tackle by Jason Pierre-Paul and Javien Elliott),1.660,1.660
2,4:01,2,6,DAL 45,6,14,Ezekiel Elliott up the middle for 3 yards (tackle by Isaiah Johnson),1.660,1.360
2,3:19,3,3,DAL 48,6,14,Dak Prescott pass incomplete short left intended for Michael Gallup,1.360,-0.190
2,3:15,4,3,DAL 48,6,14,"Chris Jones punts 37 yards, fair catch by Adam Humphries at TB-15",-0.190,0.220
2,3:08,1,10,TAM 15,6,14,Jacquizz Rodgers left end for no gain (tackle by Jourdan Lewis),-0.220,-0.710
2,2:36,2,10,TAM 15,6,14,Jameis Winston pass incomplete short middle intended for Adam Humphries (defended by Jaylon Smith),-0.710,-1.370
2,2:36,3,10,TAM 15,6,14,"Penalty on TAM: Delay of Game, 5 yards (no play)",-1.370,-2.010
2,2:32,3,15,TAM 10,6,14,Jameis Winston sacked by Maliek Collins for -8 yards,-2.010,-2.490
2,2:21,,,,,,Timeout #1 by Dallas Cowboys,,
2,2:21,4,23,TAM 2,6,14,"Bryan Anger punts 57 yards, returned by Cole Beasley for 13 yards (tackle by Jacquizz Rodgers)",-2.490,-2.520
2,2:09,1,10,TAM 46,6,14,Dak Prescott pass incomplete short right intended for Blake Jarwin,2.520,1.980
2,2:04,2,10,TAM 46,6,14,Dak Prescott left end for -3 yards (tackle by Carl Nassib),1.980,0.890
2,1:59,3,13,TAM 49,6,14,Dak Prescott pass complete short middle to Ezekiel Elliott for 8 yards (tackle by Jordan Whitehead),0.890,0.530
2,1:48,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,1:48,4,5,TAM 41,6,17,Brett Maher 59 yard field goal good,0.530,3.000
2,1:43,,,DAL 35,6,17,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
2,1:43,1,10,TAM 25,6,17,Jameis Winston pass incomplete deep right intended for DeSean Jackson (defended by Chidobe Awuzie),0.610,0.060
2,1:38,2,10,TAM 25,6,17,"Jameis Winston pass complete deep middle to DeSean Jackson for 24 yards (tackle by Leighton Vander Esch). Penalty on Randy Gregory: Roughing the Passer, 15 yards",0.060,3.180
2,1:25,1,10,DAL 36,6,17,Jameis Winston pass complete short middle to Adam Humphries for 5 yards (tackle by Jourdan Lewis),3.180,3.310
2,1:04,2,5,DAL 31,6,17,Jameis Winston pass complete short right to Mike Evans for 11 yards (tackle by Chidobe Awuzie),3.310,4.240
2,0:39,1,10,DAL 20,6,17,Jameis Winston pass incomplete deep right intended for Mike Evans,4.240,3.690
2,0:38,2,10,DAL 20,6,17,"Jameis Winston pass complete short middle to Adam Humphries for 8 yards (tackle by Xavier Woods). Penalty on Xavier Woods: Unnecessary Roughness, 6 yards",3.690,5.830
2,0:33,1,6,DAL 6,6,17,Jameis Winston up the middle for 4 yards (tackle by Jaylon Smith and Leighton Vander Esch),5.830,5.720
2,0:25,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,0:25,2,2,DAL 2,12,17,"Jacquizz Rodgers right guard for 2 yards, touchdown",5.720,7.000
2,0:20,,,DAL 15,13,17,Cairo Santos kicks extra point good,0.000,0.000
2,0:20,,,TAM 35,13,17,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,0:20,1,10,DAL 25,13,17,Ezekiel Elliott right tackle for 17 yards (tackle by Jordan Whitehead),0.610,1.730
2,0:14,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:14,1,10,DAL 42,13,17,Dak Prescott pass complete short left to Blake Jarwin for 5 yards (tackle by Lavonte David),1.730,1.860
2,0:10,2,5,DAL 47,13,17,Dak Prescott sacked by Vita Vea for -9 yards,1.860,-0.030
Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,13,17,"Cairo Santos kicks off 67 yards, returned by Darius Jackson for no gain (tackle by Bobo Wilson)",0.000,0.040
3,14:55,1,10,DAL 18,13,17,Dak Prescott pass complete short left to Noah Brown for 6 yards (tackle by Jordan Whitehead),0.040,0.410
3,14:22,2,4,DAL 24,13,17,"Ezekiel Elliott left tackle for -1 yards (tackle by Carlton Davis). Ezekiel Elliott fumbles (forced by Carlton Davis), recovered by Dalton Schultz at DAL-23 (tackle by Adarius Taylor)",0.410,-0.530
3,13:36,3,5,DAL 23,13,17,Dak Prescott pass incomplete short left intended for Ezekiel Elliott,-0.530,-1.830
3,13:31,4,5,DAL 23,13,17,Chris Jones punts 41 yards downed by Lance Lenoir,-1.830,-1.330
3,13:20,1,10,TAM 36,13,17,Jameis Winston pass complete short middle to Mike Evans for 17 yards (tackle by Byron Jones),1.330,2.460
3,12:52,1,10,DAL 47,13,17,Peyton Barber up the middle for 1 yard (tackle by Demarcus Lawrence),2.460,2.050
3,12:15,2,9,DAL 46,13,17,Jameis Winston pass complete short left to Chris Godwin for 20 yards (tackle by Byron Jones),2.050,3.840
3,11:36,1,10,DAL 26,13,17,Jameis Winston sacked by Demarcus Lawrence for -8 yards,3.840,2.220
3,10:56,2,18,DAL 34,13,17,Jameis Winston pass incomplete deep left intended for Mike Evans (defended by Byron Jones),2.220,1.550
3,10:50,3,18,DAL 34,13,17,Jameis Winston pass incomplete short right intended for Chris Godwin,1.550,1.060
3,10:45,4,18,DAL 34,13,17,Cairo Santos 52 yard field goal no good,1.060,-1.730
3,10:40,1,10,DAL 42,13,17,Ezekiel Elliott right tackle for 1 yard (tackle by Jason Pierre-Paul and Devante Bond),1.730,1.320
3,10:07,2,9,DAL 43,13,17,Dak Prescott pass complete deep middle to Michael Gallup for 18 yards (tackle by Brent Grimes),1.320,2.980
3,9:42,1,10,TAM 39,13,17,Rod Smith up the middle for -6 yards (tackle by Jordan Whitehead),2.980,1.630
3,9:03,2,16,TAM 45,13,17,Dak Prescott pass complete short left to Cole Beasley for 13 yards (tackle by Carlton Davis),1.630,2.680
3,8:19,3,3,TAM 32,13,17,Dak Prescott pass complete short right to Cole Beasley for 4 yards (tackle by Adarius Taylor),2.680,3.710
3,7:46,1,10,TAM 28,13,17,Dak Prescott pass complete short middle to Cole Beasley for 12 yards (tackle by Andrew Adams),3.710,4.510
3,7:06,1,10,TAM 16,13,17,Ezekiel Elliott up the middle for 6 yards (tackle by Jordan Whitehead),4.510,4.970
3,6:26,2,4,TAM 10,13,17,Dak Prescott pass complete short right to Ezekiel Elliott for 7 yards (tackle by Adarius Taylor),4.970,6.510
3,5:48,1,3,TAM 3,13,17,Ezekiel Elliott left guard for no gain (tackle by Javien Elliott),6.510,5.530
3,5:08,2,3,TAM 3,13,17,Dak Prescott pass complete short middle to Amari Cooper for -7 yards (tackle by Jason Pierre-Paul),5.530,3.130
3,4:24,3,10,TAM 10,13,17,Dak Prescott pass complete short left to Cole Beasley for 8 yards (tackle by Jordan Whitehead),3.130,3.250
3,3:44,4,2,TAM 2,13,20,Brett Maher 20 yard field goal good,3.250,3.000
3,3:41,,,DAL 35,13,20,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,3:41,1,10,TAM 25,13,20,Peyton Barber right tackle for 8 yards (tackle by Randy Gregory),0.610,1.140
3,3:04,2,2,TAM 33,13,20,"Peyton Barber left tackle for no gain (tackle by Chidobe Awuzie). Penalty on Antony Auclair: Offensive Holding, 10 yards (no play)",1.140,-0.210
3,2:38,2,12,TAM 23,13,20,"Jameis Winston aborted snap, recovered by Randy Gregory at TB-6 and returned for 2 yards (tackle by Jameis Winston)",-0.210,-6.280
3,2:32,1,4,TAM 4,13,20,Dak Prescott pass incomplete short left intended for Noah Brown,6.280,5.340
3,2:27,2,4,TAM 4,13,26,"Dak Prescott pass complete short right to Michael Gallup for 4 yards, touchdown",5.340,7.000
3,2:23,,,TAM 15,13,27,Brett Maher kicks extra point good,0.000,0.000
3,2:23,,,DAL 35,13,27,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,2:23,1,10,TAM 25,13,27,Peyton Barber left tackle for 3 yards (tackle by Jourdan Lewis and Taco Charlton),0.610,0.470
3,1:46,2,7,TAM 28,13,27,Jameis Winston pass complete short right to Adam Humphries for 9 yards (tackle by Jourdan Lewis),0.470,1.400
3,1:08,1,10,TAM 37,13,27,Jameis Winston pass incomplete deep right intended for Mike Evans,1.400,0.860
3,1:02,2,10,TAM 37,13,27,Peyton Barber left tackle for 6 yards (tackle by Leighton Vander Esch),0.860,0.960
3,0:21,3,4,TAM 43,13,27,Jameis Winston pass complete short right to Adam Humphries for 2 yards (tackle by Jourdan Lewis),0.960,-0.390
Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,2,TAM 45,13,27,Jameis Winston pass complete short right to Jacquizz Rodgers for 5 yards (tackle by Xavier Woods and Jaylon Smith),-0.390,2.260
4,14:25,1,10,TAM 50,13,27,Jameis Winston pass complete short middle to Peyton Barber for 4 yards (tackle by Leighton Vander Esch),2.260,2.250
4,13:41,2,6,DAL 46,13,27,Peyton Barber left tackle for 1 yard (tackle by Jaylon Smith),2.250,1.690
4,13:01,3,5,DAL 45,13,27,Jameis Winston pass complete short left to Mike Evans for 7 yards (tackle by Byron Jones),1.690,3.050
4,12:21,1,10,DAL 38,13,27,Jameis Winston pass complete short left to Adam Humphries for 13 yards (tackle by Jourdan Lewis),3.050,3.910
4,11:46,1,10,DAL 25,13,27,Peyton Barber up the middle for no gain (tackle by Daniel Ross and Caraun Reid),3.910,3.360
4,11:05,2,10,DAL 25,13,27,Jameis Winston pass complete short middle to Cameron Brate for 4 yards (tackle by Leighton Vander Esch),3.360,3.200
4,10:25,3,6,DAL 21,13,27,Jameis Winston left tackle for 5 yards (tackle by Leighton Vander Esch),3.200,2.530
4,9:36,4,1,DAL 16,13,27,"Jameis Winston up the middle for no gain (tackle by Leighton Vander Esch). Penalty on Demarcus Lawrence: Defensive Delay of Game, 5 yards (no play)",2.530,4.840
4,9:25,1,10,DAL 11,13,27,Jameis Winston pass complete short right to Jacquizz Rodgers for 9 yards (tackle by Xavier Woods and Jaylon Smith),4.840,5.850
4,8:46,2,1,DAL 2,13,27,Peyton Barber left tackle for no gain (tackle by Maliek Collins),5.850,5.120
4,8:02,3,1,DAL 2,13,27,Jameis Winston pass incomplete short right intended for Chris Godwin,5.120,3.250
4,7:57,4,1,DAL 2,13,27,"Penalty on TAM: Delay of Game, 5 yards (no play)",3.250,2.980
4,7:57,4,6,DAL 7,13,27,Jameis Winston up the middle for 5 yards (tackle by Antwaun Woods),2.980,0.380
4,7:48,1,10,DAL 2,13,27,"Penalty on Tyron Smith: False Start, 1 yard (no play)",-0.380,-0.420
4,7:48,1,11,DAL 1,13,27,Ezekiel Elliott up the middle for 2 yards (tackle by Beau Allen),-0.420,-0.710
4,7:17,2,9,DAL 3,13,27,Ezekiel Elliott right guard for -1 yards (tackle by Carl Nassib and Adarius Taylor),-0.710,-1.420
4,6:34,3,10,DAL 2,13,27,Dak Prescott pass complete short middle to Cole Beasley for 13 yards (tackle by Brent Grimes),-1.420,-0.220
4,5:50,1,10,DAL 15,13,27,Ezekiel Elliott right end for 12 yards (tackle by Andrew Adams),-0.220,0.740
4,5:07,1,10,DAL 27,13,27,"Ezekiel Elliott right end for 3 yards (tackle by Andrew Adams). Penalty on Tyron Smith: Offensive Holding, 10 yards",0.740,0.280
4,4:51,1,17,DAL 20,13,27,Rod Smith left tackle for -1 yards (tackle by Lavonte David),0.280,-0.940
4,4:47,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,4:47,2,18,DAL 19,13,27,Ezekiel Elliott up the middle for 4 yards (tackle by Beau Allen and Lavonte David),-0.940,-1.020
4,4:42,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,4:42,3,14,DAL 23,13,27,Dak Prescott pass complete short right to Amari Cooper for 8 yards (tackle by Gerald McCoy and Andrew Adams),-1.020,-1.310
4,4:36,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,4:36,4,6,DAL 31,13,27,"Chris Jones punts 40 yards, fair catch by Adam Humphries at TB-29",-1.310,-0.870
4,4:28,1,10,TAM 29,13,27,"Jameis Winston pass complete short right to Cameron Brate for 7 yards (tackle by Jourdan Lewis and Leighton Vander Esch). Penalty on Demarcus Lawrence: Defensive Holding, 5 yards (no play)",0.870,1.200
4,4:20,1,10,TAM 34,13,27,Jameis Winston pass incomplete deep right intended for DeSean Jackson (defended by Jeff Heath),1.200,0.660
4,4:11,2,10,TAM 34,13,27,Jameis Winston pass complete short right to Jacquizz Rodgers for 7 yards (tackle by Chidobe Awuzie and Leighton Vander Esch),0.660,0.890
4,3:45,3,3,TAM 41,13,27,Jameis Winston pass complete short middle to Adam Humphries for 4 yards (tackle by Jaylon Smith),0.890,1.930
4,3:24,1,10,TAM 45,13,27,Jameis Winston pass complete short middle to Jacquizz Rodgers for 11 yards (tackle by Jourdan Lewis),1.930,2.650
4,3:03,1,10,DAL 44,13,27,Jameis Winston pass complete short middle to Jacquizz Rodgers for 8 yards (tackle by Xavier Woods and Jaylon Smith),2.650,3.190
4,2:41,2,2,DAL 36,13,27,Jameis Winston pass complete short right to Cameron Brate for 4 yards (tackle by Chidobe Awuzie),3.190,3.450
4,2:35,1,10,DAL 32,13,27,Jameis Winston pass complete deep middle to Bobo Wilson for 25 yards (tackle by Jeff Heath),3.450,5.600
4,2:07,1,7,DAL 7,19,27,"Jameis Winston pass complete short right to Mike Evans for 7 yards, touchdown",5.600,7.000
4,2:05,,,DAL 15,20,27,Cairo Santos kicks extra point good,0.000,0.000
4,2:05,,,TAM 35,20,27,"Cairo Santos kicks onside 9 yards, returned by Leighton Vander Esch for no gain (tackle by De'Vante Harris)",0.000,-2.650
4,2:04,1,10,TAM 44,20,27,Ezekiel Elliott up the middle for 2 yards (tackle by Isaiah Johnson),2.650,2.380
4,2:00,2,8,TAM 42,20,27,Ezekiel Elliott right end for 11 yards (tackle by De'Vante Harris),2.380,3.510
4,1:15,1,10,TAM 31,20,27,Dak Prescott kneels for -1 yards,3.510,2.830
4,0:34,2,11,TAM 32,20,27,Dak Prescott kneels for -1 yards,2.830,2.020
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
