Quarter,Time,Down,ToGo,Location,NOR,BAL,Detail,EPB,EPA
1,7:16,1,10,BAL 26,0,0,"Penalty on Terrell Suggs: Encroachment, 5 yards (no play)",3.840,4.570
1,7:01,1,5,BAL 21,0,0,Alvin Kamara left guard for 8 yards (tackle by Eric Weddle and C.J. Mosley),4.570,4.710
1,6:31,1,10,BAL 13,0,0,Drew Brees pass incomplete short middle intended for Tre'Quan Smith,4.710,4.050
1,6:25,2,10,BAL 13,0,0,Taysom Hill up the middle for 8 yards (tackle by Tavon Young and C.J. Mosley),4.050,4.780
1,5:47,3,2,BAL 5,0,0,Mark Ingram right guard for 1 yard (tackle by Brent Urban),4.780,3.040
1,5:02,4,1,BAL 4,0,0,"Taysom Hill aborted snap, recovered by Michael Pierce at BAL-6 (tackle by Max Unger)",3.040,0.380
1,4:57,1,10,BAL 6,0,0,Alex Collins left guard for 9 yards (tackle by A.J. Klein),-0.380,-0.070
1,4:24,2,1,BAL 15,0,0,Joe Flacco pass complete short left to Alex Collins for 6 yards (tackle by Kurt Coleman),-0.070,0.340
1,3:39,1,10,BAL 21,0,0,Joe Flacco pass incomplete short left intended for Hayden Hurst (defended by Alex Okafor),0.340,-0.200
1,3:33,2,10,BAL 21,0,0,Willie Snead right end for 13 yards (tackle by Demario Davis and A.J. Klein),-0.200,1.200
1,2:55,1,10,BAL 34,0,0,Joe Flacco pass complete deep middle to John Brown for 16 yards (tackle by Ken Crawley),1.200,2.260
1,2:18,1,10,BAL 50,0,0,Gus Edwards right guard for no gain (tackle by Cameron Jordan),2.260,1.710
1,1:40,2,10,BAL 50,0,0,Alex Collins right end for -2 yards (tackle by A.J. Klein),1.710,0.760
1,0:59,3,12,BAL 48,0,0,Joe Flacco pass complete short middle to Alex Collins for 1 yard (tackle by Vonn Bell),0.760,-0.130
1,0:26,4,11,BAL 49,0,0,"Sam Koch punts 38 yards, fair catch by Alvin Kamara at NO-13",-0.130,0.320
1,0:20,1,10,NOR 13,0,0,Drew Brees pass incomplete short right intended for Tre'Quan Smith,-0.320,-0.770
1,0:15,2,10,NOR 13,0,0,Alvin Kamara left tackle for 3 yards (tackle by Michael Pierce and Matt Judon),-0.770,-1.060
Quarter,Time,Down,ToGo,Location,NOR,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,NOR 16,0,0,"Drew Brees pass incomplete deep right intended for Michael Thomas. Penalty on Jimmy Smith: Defensive Pass Interference, 25 yards (no play)",-1.060,1.660
2,14:54,1,10,NOR 41,0,0,Mark Ingram left guard for 2 yards (tackle by Kenny Young),1.660,1.390
2,14:22,2,8,NOR 43,0,0,"Drew Brees for 3 yards. Drew Brees fumbles, recovered by Drew Brees at NO-37 Drew Brees pass complete short middle to Ben Watson for 3 yards (tackle by Eric Weddle)",1.390,1.090
2,13:42,3,5,NOR 46,0,0,Drew Brees pass incomplete short right intended for Tre'Quan Smith,1.090,-0.320
2,13:39,4,5,NOR 46,0,0,"Penalty on Drew Brees: False Start, 5 yards (no play)",-0.320,-0.650
2,13:39,4,10,NOR 41,0,0,Thomas Morstead punts 36 yards downed by Craig Robertson,-0.650,-0.480
2,13:27,1,10,BAL 23,0,0,Chris Moore right end for 9 yards (tackle by Marcus Williams and Vonn Bell),0.480,1.150
2,12:57,2,1,BAL 32,0,0,Joe Flacco pass incomplete short middle intended for Nick Boyle (defended by Demario Davis),1.150,0.430
2,12:53,3,1,BAL 32,0,0,Maxx Williams up the middle for 1 yard (tackle by P.J. Williams),0.430,1.140
2,12:15,1,10,BAL 33,0,0,Joe Flacco pass incomplete short right,1.140,0.590
2,12:06,2,10,BAL 33,0,0,Alex Collins up the middle for 9 yards (tackle by Marcus Williams and A.J. Klein),0.590,1.090
2,11:32,3,1,BAL 42,0,0,Joe Flacco up the middle for 4 yards (tackle by Alex Okafor),1.090,1.990
2,10:53,1,10,BAL 46,0,0,Joe Flacco pass incomplete short left intended for Alex Collins,1.990,1.450
2,10:47,2,10,BAL 46,0,0,Lamar Jackson right end for 4 yards (tackle by Cameron Jordan),1.450,1.290
2,10:05,3,6,BAL 50,0,0,Joe Flacco pass complete short middle to John Brown for 13 yards (tackle by Ken Crawley). Penalty on Cameron Jordan: Defensive Offside (Declined),1.290,3.120
2,9:43,1,10,NOR 37,0,0,Alex Collins left tackle for no gain (tackle by David Onyemata),3.120,2.570
2,9:05,2,10,NOR 37,0,0,Joe Flacco pass complete short middle to Alex Collins for 3 yards (tackle by Demario Davis and David Onyemata),2.570,2.280
2,8:19,3,7,NOR 34,0,0,Joe Flacco pass incomplete deep left intended for Michael Crabtree,2.280,1.060
2,8:14,4,7,NOR 34,0,0,Joe Flacco pass complete short left to John Brown for 13 yards (tackle by Ken Crawley),1.060,4.170
2,7:32,1,10,NOR 21,0,0,Javorius Allen up the middle for 2 yards (tackle by A.J. Klein),4.170,3.900
2,6:55,2,8,NOR 19,0,0,Joe Flacco pass incomplete deep right intended for Willie Snead (defended by Marshon Lattimore),3.900,3.180
2,6:50,3,8,NOR 19,0,0,Lamar Jackson pass complete short middle to John Brown for 5 yards (tackle by Demario Davis),3.180,2.610
2,6:07,4,3,NOR 14,0,3,Justin Tucker 31 yard field goal good,2.610,3.000
2,6:04,,,BAL 35,0,3,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,6:04,1,10,NOR 25,0,3,Drew Brees pass complete short left to Dan Arnold for 10 yards (tackle by Eric Weddle),0.610,1.270
2,5:22,1,10,NOR 35,0,3,Drew Brees pass complete deep left to Michael Thomas for 32 yards (tackle by Jimmy Smith),1.270,3.380
2,4:48,1,10,BAL 33,0,3,Drew Brees pass complete short left to Mark Ingram for 8 yards,3.380,3.920
2,4:07,2,2,BAL 25,0,3,Alvin Kamara left guard for 1 yard (tackle by C.J. Mosley and Kenny Young),3.920,3.340
2,3:42,3,1,BAL 24,0,3,Drew Brees up the middle for 2 yards (tackle by Brandon Williams),3.340,4.110
2,3:14,1,10,BAL 22,0,3,Alvin Kamara right guard for 12 yards (tackle by Tony Jefferson),4.110,4.910
2,2:39,1,10,BAL 10,0,3,Alvin Kamara up the middle for 5 yards (tackle by Chris Wormley),4.910,5.150
2,2:00,2,5,BAL 5,0,3,"Drew Brees pass incomplete short left intended for Michael Thomas. Penalty on Jimmy Smith: Defensive Pass Interference, 4 yards (no play)",5.150,6.970
2,1:57,1,1,BAL 1,6,3,"Drew Brees pass complete short right to Ben Watson for 1 yard, touchdown",6.970,7.000
2,1:53,,,BAL 15,7,3,Wil Lutz kicks extra point good,0.000,0.000
2,1:53,,,NOR 35,7,3,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,1:53,1,10,BAL 25,7,3,Joe Flacco pass complete short middle to Willie Snead for 8 yards (tackle by P.J. Williams),0.610,1.140
2,1:33,2,2,BAL 33,7,3,Joe Flacco pass complete short middle to Willie Snead for 9 yards (tackle by Alex Anzalone),1.140,1.730
2,1:17,1,10,BAL 42,7,3,Joe Flacco pass complete short middle to John Brown for 56 yards (tackle by Marcus Williams),1.730,6.740
2,0:23,1,2,NOR 2,7,3,Javorius Allen up the middle for no gain (tackle by David Onyemata),6.740,5.720
2,0:20,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:20,2,2,NOR 2,7,3,"Joe Flacco pass incomplete short middle intended for Mark Andrews. Penalty on Marcus Williams: Illegal Contact, 1 yard (no play)",5.720,6.970
2,0:13,1,1,NOR 1,7,3,Joe Flacco pass incomplete short right,6.970,5.910
2,0:08,2,1,NOR 1,7,9,"Lamar Jackson up the middle for 1 yard, touchdown",5.910,7.000
2,0:04,,,NOR 15,7,10,Justin Tucker kicks extra point good,0.000,0.000
2,0:04,,,BAL 35,7,10,"Justin Tucker kicks off 40 yards, returned by Zach Line for no gain (tackle by Cyrus Jones)",0.000,1.270
Quarter,Time,Down,ToGo,Location,NOR,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,7,10,"Wil Lutz kicks off 62 yards, returned by Chris Moore for no gain (tackle by Taysom Hill)",0.000,0.480
3,14:54,1,10,BAL 23,7,10,Alex Collins left guard for 7 yards (tackle by Demario Davis),0.480,0.880
3,14:19,2,3,BAL 30,7,10,Alex Collins left guard for 6 yards (tackle by Vonn Bell and Sheldon Rankins),0.880,1.330
3,13:40,1,10,BAL 36,7,10,Joe Flacco pass complete short left to Michael Crabtree for 11 yards (tackle by Marshon Lattimore),1.330,2.060
3,13:05,1,10,BAL 47,7,10,Joe Flacco pass complete short left to Michael Crabtree for 9 yards (tackle by Marshon Lattimore),2.060,2.730
3,12:27,2,1,NOR 44,7,10,Gus Edwards left guard for no gain (tackle by Manti Te'o),2.730,2.020
3,11:48,3,1,NOR 44,7,10,Alex Collins right end for -3 yards (tackle by Demario Davis),2.020,0.130
3,11:09,4,4,NOR 47,7,10,Sam Koch punts 46 yards downed by Chris Moore,0.130,0.380
3,11:00,1,10,NOR 1,7,10,Mark Ingram up the middle for 1 yard (tackle by Chris Wormley),-0.380,-0.710
3,10:18,2,9,NOR 2,7,10,Drew Brees pass complete short left to Tre'Quan Smith for 7 yards (tackle by Brandon Carr),-0.710,-0.480
3,9:36,3,2,NOR 9,7,10,Mark Ingram left end for 8 yards (tackle by C.J. Mosley),-0.480,-0.060
3,9:00,1,10,NOR 17,7,10,Mark Ingram right tackle for 3 yards (tackle by Michael Pierce),-0.060,-0.060
3,8:26,2,7,NOR 20,7,10,Alvin Kamara right tackle for -3 yards (tackle by Tim Williams),-0.060,-1.250
3,7:47,3,10,NOR 17,7,10,Drew Brees pass incomplete short left intended for Michael Thomas,-1.250,-2.320
3,7:43,4,10,NOR 17,7,10,"Thomas Morstead punts 52 yards, returned by Cyrus Jones for 8 yards (tackle by Zach Wood)",-2.320,-1.530
3,7:32,1,10,BAL 39,7,10,Joe Flacco pass complete short right to Nick Boyle for 8 yards (tackle by Manti Te'o),1.530,2.070
3,7:01,2,2,BAL 47,7,10,Joe Flacco pass incomplete deep right intended for Michael Crabtree,2.070,1.360
3,6:56,3,2,BAL 47,7,10,Lamar Jackson up the middle for 4 yards (tackle by A.J. Klein),1.360,2.320
3,6:21,1,10,NOR 49,7,10,Alex Collins right guard for 6 yards (tackle by Sheldon Rankins),2.320,2.590
3,5:52,2,4,NOR 43,7,10,Joe Flacco pass incomplete short middle intended for Willie Snead,2.590,1.880
3,5:50,3,4,NOR 43,7,10,Joe Flacco pass complete deep right to Michael Crabtree for 18 yards (tackle by Marcus Williams),1.880,3.910
3,5:28,1,10,NOR 25,7,10,Javorius Allen right guard for 1 yard (tackle by Marshon Lattimore),3.910,3.500
3,4:49,2,9,NOR 24,7,10,Joe Flacco pass complete short right to Chris Moore for 14 yards (tackle by Ken Crawley),3.500,4.910
3,4:08,1,10,NOR 10,7,10,Alex Collins left guard for 2 yards (tackle by Sheldon Rankins),4.910,4.570
3,3:36,2,8,NOR 8,7,16,"Joe Flacco pass complete short right to Mark Andrews for 8 yards, touchdown",4.570,7.000
3,3:30,,,NOR 15,7,17,Justin Tucker kicks extra point good,0.000,0.000
3,3:30,,,BAL 35,7,17,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,3:30,1,10,NOR 25,7,17,Alvin Kamara right guard for 5 yards (tackle by Tavon Young),0.610,0.740
3,2:50,2,5,NOR 30,7,17,Drew Brees pass complete short middle to Michael Thomas for 6 yards (tackle by C.J. Mosley),0.740,1.330
3,2:13,1,10,NOR 36,7,17,Drew Brees pass incomplete short right,1.330,0.790
3,2:08,2,10,NOR 36,7,17,Mark Ingram up the middle for 2 yards (tackle by Willie Henry and Tim Williams),0.790,0.370
3,1:24,3,8,NOR 38,7,17,Drew Brees pass complete short right to Michael Thomas for 9 yards (tackle by Anthony Levine),0.370,2.060
3,0:39,1,10,NOR 47,7,17,Drew Brees pass complete deep left to Tre'Quan Smith for 26 yards (tackle by Jimmy Smith),2.060,3.780
3,0:11,1,10,BAL 27,7,17,Drew Brees pass complete short middle to Tre'Quan Smith for 11 yards (tackle by Kenny Young),3.780,4.510
Quarter,Time,Down,ToGo,Location,NOR,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BAL 16,7,17,Alvin Kamara left guard for 9 yards (tackle by C.J. Mosley),4.510,5.540
4,14:21,2,1,BAL 7,7,17,Alvin Kamara left guard for 2 yards (tackle by Michael Pierce),5.540,6.060
4,13:44,1,5,BAL 5,7,17,Drew Brees pass complete short right to Michael Thomas for no gain (tackle by Tavon Young),6.060,5.150
4,13:06,2,5,BAL 5,7,17,Alvin Kamara left guard for 3 yards (tackle by Za'Darius Smith),5.150,4.950
4,12:38,3,2,BAL 2,13,17,"Alvin Kamara up the middle for 2 yards, touchdown",4.950,7.000
4,12:32,,,BAL 15,14,17,"Wil Lutz kicks extra point good. Penalty on Cyrus Jones: Defensive Offside, 5 yards",0.000,0.000
4,12:32,,,NOR 40,14,17,"Wil Lutz kicks off 60 yards, touchback.",0.000,0.610
4,12:32,1,10,BAL 25,14,17,Alex Collins left end for no gain (tackle by Manti Te'o and Alex Okafor),0.610,0.060
4,12:15,2,10,BAL 25,14,17,Joe Flacco pass incomplete short middle intended for Michael Crabtree,0.060,-0.620
4,12:09,3,10,BAL 25,14,17,Joe Flacco sacked by Alex Okafor for -10 yards,-0.620,-2.440
4,11:28,4,20,BAL 15,14,17,"Sam Koch punts 53 yards, returned by Alvin Kamara for 12 yards (tackle by Cyrus Jones)",-2.440,-1.860
4,11:16,1,10,NOR 44,14,17,Drew Brees sacked by Terrell Suggs for -7 yards,1.860,0.370
4,10:31,2,17,NOR 37,14,17,Drew Brees pass complete short middle to Ben Watson for 9 yards (tackle by Tony Jefferson and C.J. Mosley),0.370,0.890
4,10:05,3,8,NOR 46,14,17,Drew Brees pass complete short right to Ben Watson for 10 yards (tackle by Tony Jefferson),0.890,2.650
4,9:33,1,10,BAL 44,14,17,Alvin Kamara left tackle for 4 yards (tackle by Tavon Young),2.650,2.650
4,8:59,2,6,BAL 40,14,17,Drew Brees pass complete short left to Michael Thomas for 13 yards (tackle by Jimmy Smith and C.J. Mosley),2.650,3.780
4,8:22,1,10,BAL 27,14,17,Alvin Kamara up the middle for 6 yards (tackle by C.J. Mosley),3.780,4.040
4,7:38,2,4,BAL 21,14,17,Drew Brees pass incomplete short middle intended for Dan Arnold (defended by Brandon Carr),4.040,3.340
4,7:34,3,4,BAL 21,14,17,Taysom Hill left guard for 3 yards (tackle by Eric Weddle and Za'Darius Smith),3.340,2.400
4,7:03,4,1,BAL 18,14,17,Drew Brees up the middle for 1 yard (tackle by C.J. Mosley),2.400,4.440
4,6:29,1,10,BAL 17,14,17,Taysom Hill left end for 11 yards (tackle by C.J. Mosley),4.440,5.830
4,5:46,1,6,BAL 6,14,17,Mark Ingram up the middle for 1 yard (tackle by Tony Jefferson),5.830,5.150
4,5:04,2,5,BAL 5,20,17,"Drew Brees pass complete short right to Michael Thomas for 5 yards, touchdown",5.150,7.000
4,4:58,,,BAL 15,21,17,"Wil Lutz kicks extra point good. Penalty on Za'Darius Smith: Unnecessary Roughness, 15 yards",0.000,0.000
4,4:58,,,NOR 50,21,17,"Thomas Morstead kicks off 45 yards, returned by Chris Moore for no gain (tackle by Taysom Hill)",0.000,-0.280
4,4:54,1,10,BAL 14,21,17,"Joe Flacco pass incomplete deep right intended for Michael Crabtree. Penalty on Marshon Lattimore: Defensive Pass Interference, 16 yards (no play)",-0.280,0.940
4,4:49,1,10,BAL 30,21,17,Joe Flacco pass incomplete deep left intended for Michael Crabtree,0.940,0.390
4,4:44,2,10,BAL 30,21,17,Joe Flacco pass complete deep right to John Brown for 17 yards,0.390,2.060
4,4:38,1,10,BAL 47,21,17,Joe Flacco pass complete short right to Javorius Allen for 3 yards (tackle by David Onyemata),2.060,1.920
4,4:01,2,7,BAL 50,21,17,Joe Flacco pass incomplete short right,1.920,1.220
4,3:52,3,7,BAL 50,21,17,Joe Flacco pass incomplete short middle intended for Chris Moore (defended by Marshon Lattimore),1.220,-0.060
4,3:47,4,7,BAL 50,21,17,"Joe Flacco pass incomplete short middle intended for Willie Snead. Penalty on P.J. Williams: Defensive Pass Interference, 10 yards (no play)",-0.060,2.920
4,3:41,1,10,NOR 40,21,17,Alex Collins right tackle for 4 yards (tackle by Alex Anzalone),2.920,2.910
4,3:35,2,6,NOR 36,21,17,Joe Flacco pass incomplete deep middle intended for Hayden Hurst (defended by Ken Crawley),2.910,2.210
4,3:30,3,6,NOR 36,21,17,Joe Flacco pass incomplete short middle intended for Willie Snead,2.210,0.880
4,3:25,,,,,,Timeout #1 by New Orleans Saints,,
4,3:25,4,6,NOR 36,21,17,Joe Flacco pass incomplete short left intended for Willie Snead,0.880,-1.330
4,3:19,1,10,NOR 36,21,17,Drew Brees pass complete deep right to Dan Arnold for 25 yards (tackle by Tony Jefferson),1.330,2.980
4,3:14,1,10,BAL 39,21,17,Alvin Kamara right guard for 2 yards (tackle by Brent Urban),2.980,2.710
4,2:31,2,8,BAL 37,21,17,Taysom Hill right end for 9 yards (tackle by C.J. Mosley),2.710,3.710
4,2:25,1,10,BAL 28,21,17,"Penalty on NOR: Delay of Game, 5 yards (no play)",3.710,3.380
4,2:25,1,15,BAL 33,21,17,Alvin Kamara right guard for 8 yards (tackle by Brandon Williams),3.380,3.570
4,2:18,,,,,,Timeout #1 by Baltimore Ravens,,
4,2:18,2,7,BAL 25,21,17,Drew Brees pass complete short right to Michael Thomas for 4 yards (tackle by Patrick Onwuasor),3.570,3.400
4,2:15,3,3,BAL 21,21,17,Drew Brees pass incomplete deep right,3.400,2.160
4,2:15,4,3,BAL 21,24,17,Wil Lutz 39 yard field goal good,2.160,3.000
4,2:07,,,NOR 35,24,17,"Wil Lutz kicks off 67 yards, returned by Chris Moore for no gain (tackle by Josh Robinson)",0.000,0.150
4,2:03,1,10,BAL 19,24,17,"Joe Flacco pass incomplete short middle intended for Mark Andrews. Penalty on Marcus Davenport: Face Mask (15 Yards), 15 yards (no play)",0.150,1.200
4,1:59,1,10,BAL 34,24,17,Joe Flacco pass complete short left to Willie Snead for 6 yards (tackle by Ken Crawley),1.200,1.470
4,1:38,2,4,BAL 40,24,17,Joe Flacco pass complete short middle to Michael Crabtree for 18 yards (tackle by Demario Davis),1.470,2.790
4,1:17,1,10,NOR 42,24,17,Joe Flacco pass complete short middle to Michael Crabtree for 10 yards (tackle by A.J. Klein),2.790,3.450
4,0:56,1,10,NOR 32,24,17,Joe Flacco pass complete short right to Javorius Allen for 17 yards (tackle by Kurt Coleman),3.450,4.580
4,0:47,1,10,NOR 15,24,17,Joe Flacco pass complete short left to Javorius Allen for 1 yard (tackle by Ken Crawley),4.580,4.110
4,0:28,2,9,NOR 14,24,23,"Joe Flacco pass complete short right to John Brown for 14 yards, touchdown",4.110,7.000
4,0:24,,,NOR 15,24,23,Justin Tucker kicks extra point no good wide right,0.000,-1.000
4,0:24,,,BAL 35,24,23,"Justin Tucker kicks onside 13 yards, returned by Alvin Kamara for no gain",0.000,-2.390
4,0:23,1,10,BAL 48,24,23,Drew Brees kneels for -1 yards,2.390,1.710
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
