Unnamed: 0,NOR,BAL
First Downs,26,25
Rush-Yds-TDs,39-134-1,23-77-1
Cmp-Att-Yd-TD-INT,22-30-212-2-0,24-40-284-2-0
Sacked-Yards,1-7,1-10
Net Pass Yards,205,274
Total Yards,339,351
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,6-52,5-54
Third Down Conv.,6-14,5-12
Fourth Down Conv.,4-5,1-2
Time of Possession,33:31,26:29
