Unnamed: 0,NYG,WAS
First Downs,15,21
Rush-Yds-TDs,20-75-2,26-74-1
Cmp-Att-Yd-TD-INT,18-32-268-0-1,21-34-305-2-0
Sacked-Yards,4-28,4-47
Net Pass Yards,240,258
Total Yards,315,332
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,8-63,3-25
Third Down Conv.,1-10,5-15
Fourth Down Conv.,0-1,1-1
Time of Possession,27:24,32:36
