Quarter,Time,Tm,Detail,NYG,WAS
1.0,9:53,Giants,Eli Manning 2 yard rush (Lawrence Tynes kick),7,0
2.0,11:25,Redskins,Tim Hightower 1 yard rush (Graham Gano kick),7,7
,2:48,Giants,Ahmad Bradshaw 6 yard rush (Lawrence Tynes kick),14,7
,0:37,Redskins,Anthony Armstrong 6 yard pass from Rex Grossman (Graham Gano kick),14,14
3.0,13:03,Redskins,Ryan Kerrigan 9 yard interception return (Graham Gano kick),14,21
4.0,5:04,Redskins,Jabar Gaffney 4 yard pass from Rex Grossman (Graham Gano kick),14,28
