Quarter,Time,Tm,Detail,ATL,TAM
1.0,1:45,Buccaneers,Rian Lindell 30 yard field goal,0,3
2.0,12:07,Falcons,Matt Bryant 46 yard field goal,3,3
,10:14,Buccaneers,Bobby Rainey 43 yard rush (Rian Lindell kick),3,10
,7:05,Buccaneers,Mason Foster 37 yard interception return (Rian Lindell kick),3,17
,3:16,Buccaneers,Bobby Rainey 3 yard rush (Rian Lindell kick),3,24
,0:56,Falcons,Matt Bryant 49 yard field goal,6,24
3.0,9:34,Buccaneers,Bobby Rainey 4 yard pass from Mike Glennon (Rian Lindell kick),6,31
,1:54,Buccaneers,Vincent Jackson 3 yard pass from Mike Glennon (Rian Lindell kick),6,38
,1:02,Falcons,Harry Douglas 80 yard pass from Matt Ryan (Matt Bryant kick),13,38
4.0,7:15,Buccaneers,Rian Lindell 46 yard field goal,13,41
,5:22,Falcons,Antone Smith 50 yard rush (Tony Gonzalez pass from Dominique Davis),21,41
,1:45,Falcons,Roddy White 6 yard pass from Matt Ryan (Matt Bryant kick),28,41
