Unnamed: 0,ATL,TAM
First Downs,24,24
Rush-Yds-TDs,20-152-1,38-186-2
Cmp-Att-Yd-TD-INT,24-43-288-2-2,20-25-231-2-0
Sacked-Yards,3-20,2-7
Net Pass Yards,268,224
Total Yards,420,410
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,7-45,11-121
Third Down Conv.,1-7,3-11
Fourth Down Conv.,1-2,1-2
Time of Possession,26:46,33:14
