Quarter,Time,Tm,Detail,BUF,NWE
1.0,7:32,Patriots,Sony Michel 4 yard rush (Stephen Gostkowski kick),0,7
2.0,9:59,Patriots,James White 27 yard rush (Stephen Gostkowski kick),0,14
3.0,13:29,Bills,Stephen Hauschka 35 yard field goal,3,14
,10:06,Bills,Stephen Hauschka 41 yard field goal,6,14
,5:05,Patriots,Julian Edelman 32 yard pass from Tom Brady (Stephen Gostkowski kick),6,21
4.0,7:44,Patriots,Stephen Gostkowski 24 yard field goal,6,24
,1:08,Bills,Zay Jones 31 yard pass from Josh Allen,12,24
