Unnamed: 0,CLE,CIN
First Downs,15,10
Rush-Yds-TDs,19-102-0,31-106-0
Cmp-Att-Yd-TD-INT,27-56-248-1-3,14-28-118-3-2
Sacked-Yards,4-20,0-0
Net Pass Yards,228,118
Total Yards,330,224
Fumbles-Lost,2-1,0-0
Turnovers,4,2
Penalties-Yards,5-40,8-64
Third Down Conv.,4-18,1-14
Fourth Down Conv.,1-4,0-0
Time of Possession,32:24,27:36
