Quarter,Time,Tm,Detail,SDG,CAR
1.0,8:21,Panthers,John Kasay 28 yard field goal,0,3
,3:28,Panthers,John Kasay 21 yard field goal,0,6
3.0,8:13,Chargers,LaDainian Tomlinson 8 yard rush (Nate Kaeding kick),7,6
,2:36,Chargers,Nate Kaeding 44 yard field goal,10,6
4.0,1:42,Chargers,Jesse Chatman 5 yard rush (Nate Kaeding kick),17,6
