Unnamed: 0,SDG,CAR
First Downs,19,20
Rush-Yds-TDs,27-114-2,30-116-0
Cmp-Att-Yd-TD-INT,21-32-196-0-0,17-36-155-0-1
Sacked-Yards,1-8,1-8
Net Pass Yards,188,147
Total Yards,302,263
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,7-83,8-94
Third Down Conv.,7-14,5-14
Fourth Down Conv.,0-0,0-2
Time of Possession,29:07,30:53
