Unnamed: 0,ARI,ATL
First Downs,18,22
Rush-Yds-TDs,11-35-0,34-142-0
Cmp-Att-Yd-TD-INT,24-39-294-1-2,30-41-361-2-1
Sacked-Yards,0-0,1-3
Net Pass Yards,294,358
Total Yards,329,500
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,5-34,9-76
Third Down Conv.,1-7,7-16
Fourth Down Conv.,0-0,1-1
Time of Possession,22:57,37:03
