Unnamed: 0,SDG,CIN
First Downs,23,18
Rush-Yds-TDs,22-64-1,38-102-1
Cmp-Att-Yd-TD-INT,27-40-256-1-1,16-21-269-4-0
Sacked-Yards,1-7,0-0
Net Pass Yards,249,269
Total Yards,313,371
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,1-5,6-57
Third Down Conv.,6-13,8-14
Fourth Down Conv.,0-1,1-2
Time of Possession,29:51,30:09
