Quarter,Time,Down,ToGo,Location,SDG,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Clint Stitser kicks off 67 yards, returned by Darren Sproles for 17 yards (tackle by Brandon Johnson)",0.000,0.280
1,14:54,1,10,SDG 20,0,0,"Mike Tolbert left end for -13 yards. Mike Tolbert fumbles, recovered by Vincent Jackson at SDG-7",0.280,-2.170
1,14:12,2,29,SDG 1,0,0,Jacob Hester middle for 1 yard (tackle by Michael Johnson),-2.170,-3.530
1,13:36,3,28,SDG 2,0,0,Mike Tolbert middle for 6 yards (tackle by Dhani Jones and Carlos Dunlap),-3.530,-2.490
1,13:06,4,22,SDG 8,0,0,Mike Scifres punts 24 yards,-2.490,-3.450
1,12:59,1,10,SDG 32,0,0,Cedric Benson right tackle for -2 yards (tackle by Brandon Siler),3.450,2.630
1,12:21,2,12,SDG 34,0,0,Carson Palmer pass complete deep middle to Jermaine Gresham for 23 yards (tackle by Quentin Jammer and Antoine Cason),2.630,4.840
1,11:40,1,10,SDG 11,0,0,Cedric Benson right tackle for -3 yards (tackle by Kevin Burnett and Antwan Applewhite),4.840,3.690
1,11:03,2,13,SDG 14,0,0,Cedric Benson left tackle for 11 yards (tackle by Antoine Cason and Eric Weddle),3.690,4.890
1,10:26,,,,0,0,Timeout #1 by Cincinnati Bengals,0.000,4.890
1,10:26,3,2,SDG 3,0,6,"Carson Palmer pass complete short middle to Jermaine Gresham for 3 yards, touchdown. Penalty on Paul Oliver: Defensive Pass Interfere (Declined)",4.890,7.000
1,,,,SDG 2,0,7,Clint Stitser kicks extra point good,0.000,0.000
1,,,,CIN 30,0,7,"Clint Stitser kicks off 72 yards, returned by Darren Sproles for 17 yards (tackle by Roddrick Muckelroy)",0.000,-0.220
1,10:14,1,10,SDG 15,0,7,Mike Tolbert left guard for 4 yards (tackle by Rey Maualuga and Domata Peko),-0.220,-0.110
1,9:38,2,6,SDG 19,0,7,Philip Rivers pass incomplete short right intended for Vincent Jackson,-0.110,-0.880
1,9:34,3,6,SDG 19,0,7,Philip Rivers pass complete short middle to Randy McMichael for 5 yards (tackle by Roy Williams and Brandon Johnson),-0.880,-1.770
1,8:55,4,1,SDG 24,0,7,Mike Scifres punts 37 yards,-1.770,-1.530
1,8:45,1,10,CIN 39,0,7,"Cedric Benson right tackle for 4 yards (tackle by Antonio Garay). Penalty on Quan Cosby: Offensive Holding, 10 yards (no play)",1.530,0.870
1,8:22,1,20,CIN 29,0,7,Cedric Benson right tackle for 7 yards (tackle by Steve Gregory and Shaun Phillips),0.870,0.580
1,7:42,2,13,CIN 36,0,7,Cedric Benson left tackle for 9 yards (tackle by Eric Weddle),0.580,1.090
1,7:00,3,4,CIN 45,0,7,Cedric Peerman right end for 1 yard (tackle by Brandon Siler and Kevin Burnett),1.090,-0.320
1,6:19,4,3,CIN 46,0,7,Kevin Huber punts 35 yards,-0.320,-0.150
1,6:11,1,10,SDG 19,0,7,"Mike Tolbert left tackle for 1 yard (tackle by Reggie Nelson and Dhani Jones). Mike Tolbert fumbles (forced by Reggie Nelson), recovered by Roy Williams at SDG-34 and returned for 1 yards (tackle by Kion Wilson)",0.150,-3.380
1,6:02,1,10,SDG 33,0,7,Cedric Benson right guard for 3 yards (tackle by Antwan Applewhite),3.380,3.240
1,5:30,2,7,SDG 30,0,7,Cedric Benson right tackle for 6 yards (tackle by Eric Weddle),3.240,3.340
1,5:08,3,1,SDG 24,0,7,Carson Palmer right guard for no gain (tackle by Luis Castillo and Jacques Cesaire),3.340,2.020
1,4:27,4,1,SDG 24,0,7,Cedric Benson left tackle for no gain (tackle by Kevin Burnett),2.020,-0.540
1,4:13,1,10,SDG 24,0,7,Ryan Mathews left tackle for -1 yards (tackle by Keith Rivers and Michael Johnson),0.540,-0.140
1,3:38,2,11,SDG 23,0,7,Darren Sproles left guard for 2 yards (tackle by Robert Geathers),-0.140,-0.560
1,2:56,3,9,SDG 25,0,7,Philip Rivers pass incomplete deep middle intended for Vincent Jackson,-0.560,-1.700
1,2:50,4,9,SDG 25,0,7,Mike Scifres punts 34 yards,-1.700,-1.660
1,2:41,1,10,CIN 41,0,7,Bernard Scott left tackle for 1 yard (tackle by Dante Hughes and Brandon Siler),1.660,1.260
1,2:03,2,9,CIN 42,0,7,Carson Palmer pass complete short right to Jerome Simpson for 15 yards (tackle by Eric Weddle),1.260,2.720
1,1:18,1,10,SDG 43,0,7,Bernard Scott left tackle for 8 yards (tackle by Brandon Siler and Eric Weddle),2.720,3.260
1,0:40,2,2,SDG 35,0,7,Bernard Scott right guard for 3 yards (tackle by Eric Weddle),3.260,3.450
Quarter,Time,Down,ToGo,Location,SDG,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 32,0,7,Carson Palmer pass complete short middle to Jermaine Gresham for 22 yards (tackle by Eric Weddle),3.450,4.910
2,14:16,1,10,SDG 10,0,7,Bernard Scott right guard for 1 yard (tackle by Antonio Garay and Antwan Applewhite),4.910,4.380
2,13:42,2,9,SDG 9,0,7,Carson Palmer pass complete short right to Bernard Scott for -1 yards (tackle by Antoine Cason),4.380,3.130
2,13:01,3,10,SDG 10,0,13,"Carson Palmer pass complete short left to Jerome Simpson for 10 yards, touchdown",3.130,7.000
,,,,,,,"SDG challenged the pass completion ruling, and the play was upheld.",,
2,,,,SDG 2,0,13,Clint Stitser kicks extra point no good,0.000,-1.000
2,,,,CIN 30,0,13,"Clint Stitser kicks off 55 yards, returned by Darren Sproles for 14 yards (tackle by Dan Skuta)",0.000,0.870
2,12:48,1,10,SDG 29,0,13,Philip Rivers pass complete deep middle to Vincent Jackson for 17 yards (tackle by Johnathan Joseph),0.870,1.990
2,12:10,1,10,SDG 46,0,13,Philip Rivers pass complete deep middle to Legedu Naanee for 16 yards (tackle by Dhani Jones),1.990,3.050
2,11:28,1,10,CIN 38,0,13,Philip Rivers pass incomplete short left intended for Darren Sproles,3.050,2.510
2,11:24,2,10,CIN 38,0,13,Philip Rivers pass complete short right to Darren Sproles for -1 yards (tackle by Keith Rivers),2.510,1.680
2,10:42,3,11,CIN 39,0,13,Philip Rivers pass incomplete deep left intended for Vincent Jackson,1.680,0.660
2,10:35,4,11,CIN 39,0,13,"Mike Scifres punts 32 yards, fair catch by Quan Cosby",0.660,0.380
2,10:28,1,10,CIN 7,0,13,Cedric Benson right end for -1 yards (tackle by Jacques Cesaire),-0.380,-0.850
2,9:52,2,11,CIN 6,0,13,Cedric Benson left end for 4 yards (tackle by Steve Gregory and Antoine Cason),-0.850,-1.070
2,9:09,3,7,CIN 10,0,13,Carson Palmer pass complete short middle to Jerome Simpson for 21 yards (tackle by Eric Weddle),-1.070,1.000
2,8:32,1,10,CIN 31,0,13,"Penalty on Antonio Garay: Encroachment, 5 yards (no play)",1.000,1.730
2,8:24,1,5,CIN 36,0,13,Carson Palmer pass complete deep right to Andre Caldwell for 44 yards (tackle by Quentin Jammer),1.730,4.240
2,7:44,1,10,SDG 20,0,13,"Cedric Benson middle for -5 yards (tackle by Antwan Applewhite). Cedric Benson fumbles (forced by Antwan Applewhite), recovered by Ogemdi Nwagbuo at SDG-25 (tackle by Andrew Whitworth)",4.240,-0.610
2,7:34,1,10,SDG 25,0,13,Ryan Mathews middle for 2 yards (tackle by Domata Peko and Pat Sims),0.610,0.330
2,6:54,2,8,SDG 27,0,13,Philip Rivers pass complete short right to Legedu Naanee for 11 yards (tackle by Johnathan Joseph),0.330,1.470
2,6:18,1,10,SDG 38,0,13,Philip Rivers pass complete short middle to Ryan Mathews for 16 yards (tackle by Keith Rivers and Dhani Jones),1.470,2.520
2,5:53,1,10,CIN 46,0,13,Ryan Mathews right guard for 5 yards (tackle by Geno Atkins),2.520,2.650
2,5:15,2,5,CIN 41,0,13,Philip Rivers pass complete short middle to Legedu Naanee for 13 yards (tackle by Roy Williams),2.650,3.710
2,4:37,1,10,CIN 28,0,13,Philip Rivers pass incomplete short left intended for Legedu Naanee,3.710,3.170
2,4:31,2,10,CIN 28,0,13,Ryan Mathews right tackle for 4 yards (tackle by Dhani Jones),3.170,3.010
