Unnamed: 0,CAR,WAS
First Downs,19,20
Rush-Yds-TDs,35-113-1,19-108-0
Cmp-Att-Yd-TD-INT,19-28-197-1-1,26-47-291-1-2
Sacked-Yards,4-30,3-13
Net Pass Yards,167,278
Total Yards,280,386
Fumbles-Lost,2-1,2-2
Turnovers,2,4
Penalties-Yards,3-35,5-26
Third Down Conv.,6-15,7-15
Fourth Down Conv.,2-3,1-3
Time of Possession,35:36,24:24
