Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Washington to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,WAS 25,0,0,Antonio Gibson left guard for 2 yards (tackle by Bravvion Roy),0.610,0.330
1,14:28,2,8,WAS 27,0,0,Dwayne Haskins pass incomplete deep right intended for Cam Sims,0.330,-0.360
1,14:22,3,8,WAS 27,0,0,Dwayne Haskins pass incomplete short left intended for Logan Thomas,-0.360,-1.570
1,14:18,4,8,WAS 27,0,0,"Tress Way punts 40 yards, fair catch by Pharoh Cooper at CAR-33",-1.570,-1.140
1,14:10,1,10,CAR 33,0,0,Teddy Bridgewater pass complete short left to D.J. Moore for 9 yards (tackle by Kendall Fuller),1.140,1.810
1,13:33,2,1,CAR 42,0,0,Rodney Smith left tackle for 6 yards (tackle by Khaleke Hudson and Jeremy Reaves),1.810,2.130
1,12:55,1,10,CAR 48,0,0,"Penalty on Montez Sweat: Neutral Zone Infraction, 5 yards (no play)",2.130,2.860
1,12:29,1,5,WAS 47,0,0,Teddy Bridgewater pass complete short middle to Robby Anderson for 8 yards (tackle by Cole Holcomb),2.860,2.980
1,11:50,1,10,WAS 39,0,0,Mike Davis right tackle for 4 yards (tackle by Jonathan Allen),2.980,2.980
1,11:09,2,6,WAS 35,0,0,Teddy Bridgewater pass incomplete short left intended for Robby Anderson,2.980,2.280
1,11:05,3,6,WAS 35,0,0,Teddy Bridgewater pass complete short left to Robby Anderson for 1 yard (tackle by Kendall Fuller),2.280,1.070
1,10:21,4,5,WAS 34,0,0,Teddy Bridgewater sacked by Daron Payne for -9 yards,1.070,-1.800
1,10:15,1,10,WAS 43,0,0,Antonio Gibson left guard for 5 yards (tackle by Jermaine Carter),1.800,1.930
1,9:37,2,5,WAS 48,0,0,Antonio Gibson right guard for 7 yards (tackle by Bravvion Roy and Adarius Taylor),1.930,2.590
1,9:00,1,10,CAR 45,0,0,Antonio Gibson right tackle for 5 yards (tackle by Adarius Taylor),2.590,2.720
1,8:25,2,5,CAR 40,0,0,Peyton Barber left guard for 10 yards (tackle by Tre Boston),2.720,3.580
1,8:03,1,10,CAR 30,0,0,"Dwayne Haskins sacked by Marquis Haynes for no gain. Dwayne Haskins fumbles (forced by Marquis Haynes), recovered by Jermaine Carter at CAR-28 and returned for 19 yards (tackle by Peyton Barber)",3.580,-2.060
1,7:54,1,10,CAR 47,0,0,Curtis Samuel left end for no gain (tackle by Jonathan Allen),2.060,1.520
1,7:21,2,10,CAR 47,0,0,Teddy Bridgewater pass incomplete short right intended for D.J. Moore (defended by Jonathan Bostic),1.520,0.830
1,7:14,3,10,CAR 47,0,0,Teddy Bridgewater pass incomplete short right intended for Robby Anderson (defended by Ronald Darby),0.830,-0.260
1,7:08,4,10,CAR 47,0,0,Joseph Charlton punts 48 yards downed by Trenton Cannon,-0.260,0.380
1,6:58,1,10,WAS 5,0,0,Antonio Gibson up the middle for 6 yards (tackle by Shaq Thompson),-0.380,-0.340
1,6:25,2,4,WAS 11,0,0,Antonio Gibson left end for 13 yards (tackle by Derrick Brown),-0.340,0.540
1,5:45,1,10,WAS 24,0,0,Antonio Gibson right guard for 3 yards (tackle by Jermaine Carter),0.540,0.400
1,5:08,2,7,WAS 27,0,0,Dwayne Haskins pass incomplete deep left intended for Robert Foster,0.400,-0.300
1,5:03,3,7,WAS 27,0,0,Dwayne Haskins pass incomplete short middle intended for Cam Sims (defended by Derrick Brown),-0.300,-1.570
1,4:57,4,7,WAS 27,0,0,"Tress Way punts 49 yards, fair catch by Pharoh Cooper at CAR-24",-1.570,-0.540
1,4:49,1,10,CAR 24,0,0,Curtis Samuel left end for 4 yards (tackle by Tim Settle and Jeremy Reaves),0.540,0.540
1,4:10,2,6,CAR 28,0,0,Teddy Bridgewater pass complete short left to Curtis Samuel for 16 yards (tackle by Jonathan Bostic and Kamren Curl),0.540,1.860
1,3:27,1,10,CAR 44,0,0,Mike Davis right tackle for 1 yard (tackle by Daron Payne and Jonathan Bostic),1.860,1.450
1,2:45,2,9,CAR 45,0,0,Teddy Bridgewater pass complete short left to Robby Anderson for -1 yards (tackle by Kendall Fuller),1.450,0.630
1,1:59,3,10,CAR 44,0,0,Teddy Bridgewater pass incomplete deep middle intended for Robby Anderson (defended by Ronald Darby),0.630,-0.460
1,1:53,4,10,CAR 44,6,0,"Joseph Charlton punts 43 yards, muffed catch by Steven Sims, recovered by Brandon Zylstra at WAS--8, touchdown",-0.460,7.000
1,1:42,,,WAS 15,6,0,Joey Slye kicks extra point no good wide right,0.000,-1.000
1,1:42,,,CAR 35,6,0,"Joey Slye kicks off 61 yards, returned by Danny Johnson for 22 yards (tackle by Sam Franklin and Trenton Cannon)",0.000,0.670
1,1:36,1,10,WAS 26,6,0,Dwayne Haskins pass complete short right to Logan Thomas for 5 yards (tackle by Juston Burris),0.670,0.810
1,1:05,2,5,WAS 31,6,0,Antonio Gibson left guard for 4 yards (tackle by Adarius Taylor and Zach Kerr),0.810,0.630
1,0:32,3,1,WAS 35,6,0,Logan Thomas right end for no gain (tackle by Efe Obada),0.630,-1.040
Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,WAS 35,6,0,"Tress Way punts 65 yards, touchback.",-1.040,-0.280
2,14:51,1,10,CAR 20,6,0,Rodney Smith up the middle for 7 yards (tackle by Cole Holcomb and Jonathan Allen),0.280,0.680
2,14:17,2,3,CAR 27,6,0,Mike Davis left tackle for 2 yards (tackle by Kamren Curl),0.680,0.230
2,13:33,3,1,CAR 29,6,0,Alex Armah right guard for 3 yards (tackle by Jonathan Bostic and Chase Young),0.230,1.070
2,12:52,1,10,CAR 32,6,0,Rodney Smith up the middle for 7 yards (tackle by Cole Holcomb),1.070,1.470
2,12:13,2,3,CAR 39,6,0,"Mike Davis up the middle for 5 yards (tackle by Kendall Fuller and Cole Holcomb). Penalty on Daron Payne: Illegal Use of Hands, 5 yards",1.470,2.190
2,11:43,1,10,CAR 49,6,0,Curtis Samuel right end for 45 yards (tackle by Jeremy Reaves),2.190,5.830
2,10:53,1,6,WAS 6,6,0,Rodney Smith up the middle for 1 yard (tackle by Chase Young),5.830,5.150
2,10:10,2,5,WAS 5,6,0,Mike Davis right end for 3 yards (tackle by Jonathan Allen),5.150,4.950
2,9:27,3,2,WAS 2,6,0,"Penalty on WAS: Defensive Too Many Men on Field, 1 yard (no play)",4.950,5.170
2,9:14,3,1,WAS 1,6,0,Mike Davis left guard for no gain (tackle by Jonathan Allen),5.170,3.550
2,8:39,4,1,WAS 1,12,0,"Mike Davis left end for 1 yard, touchdown",3.550,7.000
2,8:37,,,WAS 15,13,0,Joey Slye kicks extra point good,0.000,0.000
2,8:37,,,CAR 35,13,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,8:37,1,10,WAS 25,13,0,Dwayne Haskins pass complete short right to Antonio Gibson for -2 yards (tackle by Shaq Thompson and Juston Burris),0.610,-0.210
2,8:00,2,12,WAS 23,13,0,Dwayne Haskins pass complete short right to J.D. McKissic for 4 yards (tackle by Tre Boston),-0.210,-0.360
2,7:20,3,8,WAS 27,13,0,Dwayne Haskins pass complete deep left to Steven Sims for 17 yards,-0.360,1.860
2,6:48,1,10,WAS 44,13,0,Dwayne Haskins pass short right intended for Logan Thomas is intercepted by Tahir Whitehead at CAR-45 and returned for no gain,1.860,-1.930
2,6:40,1,10,CAR 45,13,0,Teddy Bridgewater pass complete short middle to Robby Anderson for 1 yard (tackle by Kamren Curl),1.930,1.520
2,6:04,2,9,CAR 46,13,0,Teddy Bridgewater sacked by Cole Holcomb for -7 yards,1.520,-0.100
2,5:16,3,16,CAR 39,13,0,Teddy Bridgewater pass complete deep middle to Curtis Samuel for 44 yards (tackle by Jeremy Reaves),-0.100,4.440
2,4:31,,,,,,Timeout #1 by Carolina Panthers,,
2,4:31,1,10,WAS 17,13,0,Teddy Bridgewater pass complete short left to D.J. Moore for no gain (tackle by Kendall Fuller),4.440,3.850
2,3:53,2,10,WAS 17,13,0,Curtis Samuel left guard for 3 yards (tackle by Daron Payne),3.850,3.500
2,3:12,3,7,WAS 14,19,0,"Teddy Bridgewater pass complete short middle to Robby Anderson for 14 yards, touchdown",3.500,7.000
2,3:06,,,WAS 15,20,0,"Joey Slye kicks extra point good. Penalty on Jimmy Moreland: Defensive Offside, 5 yards",0.000,0.000
2,3:06,,,CAR 40,20,0,"Joey Slye kicks off 60 yards, touchback.",0.000,0.610
2,3:06,1,10,WAS 25,20,0,Antonio Gibson right end for 22 yards (tackle by Juston Burris),0.610,2.060
2,2:47,1,10,WAS 47,20,0,Dwayne Haskins pass incomplete short middle intended for Antonio Gibson,2.060,1.520
2,2:44,2,10,WAS 47,20,0,J.D. McKissic right tackle for 9 yards (tackle by Juston Burris and Shaq Thompson),1.520,2.020
2,2:23,3,1,CAR 44,20,0,J.D. McKissic left tackle for 3 yards (tackle by Marquis Haynes),2.020,2.850
2,2:05,1,10,CAR 41,20,0,Dwayne Haskins pass complete short middle to J.D. McKissic for 12 yards (tackle by Donte Jackson),2.850,3.640
2,1:58,1,10,CAR 29,20,0,J.D. McKissic left end for -1 yards (tackle by Zach Kerr),3.640,2.970
2,1:37,2,11,CAR 30,20,0,Dwayne Haskins pass complete short left to J.D. McKissic for no gain (tackle by Donte Jackson and Jeremy Chinn),2.970,2.280
2,1:32,,,,,,Timeout #2 by Carolina Panthers,,
2,1:32,3,11,CAR 30,20,0,Dwayne Haskins pass incomplete deep left intended for Cam Sims,2.280,1.410
2,1:24,4,11,CAR 30,20,3,Dustin Hopkins 48 yard field goal good,1.410,3.000
2,1:20,,,WAS 35,20,3,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,1:20,1,10,CAR 25,20,3,Teddy Bridgewater pass complete short middle to Robby Anderson for 13 yards (tackle by Kendall Fuller),0.610,1.470
2,0:57,1,10,CAR 38,20,3,Teddy Bridgewater pass complete short middle to D.J. Moore for 10 yards (tackle by Kamren Curl),1.470,2.130
2,0:37,1,10,CAR 48,20,3,Teddy Bridgewater pass incomplete deep left intended for D.J. Moore,2.130,1.580
2,0:32,2,10,CAR 48,20,3,Teddy Bridgewater pass incomplete deep middle intended for Pharoh Cooper (defended by Ronald Darby),1.580,0.890
2,0:27,3,10,CAR 48,20,3,Teddy Bridgewater pass complete short right to Rodney Smith for 12 yards (tackle by Jimmy Moreland),0.890,2.920
2,0:21,1,10,WAS 40,20,3,Teddy Bridgewater pass short middle (defended by Chase Young) intended for D.J. Moore is intercepted by Kamren Curl at WAS-27 and returned for 12 yards,2.920,-1.530
2,0:12,1,10,WAS 39,20,3,Dwayne Haskins pass incomplete short right intended for Antonio Gandy-Golden,1.530,0.990
2,0:07,2,10,WAS 39,20,3,Dwayne Haskins pass deep right intended for Steven Sims is intercepted by Tre Boston at CAR-38 and returned for no gain,0.990,-1.470
2,0:01,1,10,CAR 38,20,3,Teddy Bridgewater kneels for -1 yards,1.470,0.790
Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,20,3,"Dustin Hopkins kicks off 65 yards, returned by Trenton Cannon for 29 yards (tackle by Khaleke Hudson and Troy Apke)",0.000,0.870
3,14:53,1,10,CAR 29,20,3,Mike Davis right end for 3 yards (tackle by Jonathan Bostic),0.870,0.730
3,14:27,2,7,CAR 32,20,3,Rodney Smith up the middle for 1 yard (tackle by Kamren Curl),0.730,0.170
