Quarter,Time,Tm,Detail,CAR,WAS
1.0,1:42,Panthers,Brandon Zylstra fumble recovery in end zone (Joey Slye kick failed),6,0
2.0,8:37,Panthers,Mike Davis 1 yard rush (Joey Slye kick),13,0
,3:06,Panthers,Robbie Chosen 14 yard pass from Teddy Bridgewater (Joey Slye kick),20,0
,1:20,Washington,Dustin Hopkins 48 yard field goal,20,3
3.0,4:01,Washington,Dustin Hopkins 26 yard field goal,20,6
4.0,1:50,Washington,J.D. McKissic 29 yard pass from Taylor Heinicke (Dustin Hopkins kick),20,13
