Quarter,Time,Tm,Detail,MIN,KAN
1.0,10:02,Vikings,Adrian Peterson 11 yard rush (Ryan Longwell kick),7,0
2.0,9:18,Vikings,Ryan Longwell 22 yard field goal,10,0
,3:32,Chiefs,Dave Rayner 39 yard field goal,10,3
3.0,2:58,Chiefs,Dave Rayner 49 yard field goal,10,6
4.0,9:23,Chiefs,Dwayne Bowe 16 yard pass from Damon Huard (Dave Rayner kick),10,13
