Unnamed: 0,MIN,KAN
First Downs,18,14
Rush-Yds-TDs,29-123-1,31-50-0
Cmp-Att-Yd-TD-INT,14-29-169-0-0,20-29-206-1-0
Sacked-Yards,5-36,1-5
Net Pass Yards,133,201
Total Yards,256,251
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,6-45,10-61
Third Down Conv.,4-15,6-15
Fourth Down Conv.,0-2,0-0
Time of Possession,28:23,31:37
