Quarter,Time,Down,ToGo,Location,MIN,KAN,Detail,EPB,EPA
1,0:42,2,1,KAN 17,7,0,Larry Johnson left tackle for 3 yards (tackle by Ben Leber),0.050,0.280
Quarter,Time,Down,ToGo,Location,MIN,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 20,7,0,Larry Johnson left tackle for 5 yards (tackle by Ben Leber),0.280,0.410
2,14:23,2,5,KAN 25,7,0,Larry Johnson left end for 8 yards (tackle by Cedric Griffin),0.410,1.140
2,13:44,1,10,KAN 33,7,0,Michael Bennett right end for -2 yards (tackle by Antoine Winfield),1.140,0.320
2,13:07,2,12,KAN 31,7,0,Damon Huard pass complete short right to Michael Bennett for 6 yards (tackle by Cedric Griffin),0.320,0.430
2,12:26,3,6,KAN 37,7,0,Damon Huard pass complete short left to Kris Wilson for 6 yards (tackle by Chad Greenway),0.430,1.800
2,12:14,1,10,KAN 43,7,0,Eddie Drummond right end for -3 yards (tackle by E.J. Henderson),1.800,0.850
2,11:33,2,13,KAN 40,7,0,"Penalty on Pat Williams: Encroachment, 5 yards (no play)",0.850,1.520
2,11:31,2,8,KAN 45,7,0,Larry Johnson left end for -2 yards (tackle by Jayme Mitchell),1.520,0.560
2,10:51,3,10,KAN 43,7,0,"Damon Huard sacked by Spencer Johnson for 0 yards. Damon Huard fumbles (forced by Spencer Johnson), recovered by Chad Greenway at KAN-33 (tackle by Casey Wiegmann)",0.560,-3.380
,,,,,,,"KAN challenged the fumble ruling, and the play was upheld.",,
2,10:39,1,10,KAN 33,7,0,Kelly Holcomb pass complete deep left to Visanthe Shiancoe for 25 yards (tackle by Bernard Pollard),3.380,5.370
2,10:11,1,8,KAN 8,7,0,Adrian Peterson up the middle for no gain (tackle by Ron Edwards),5.370,4.570
2,9:32,2,8,KAN 8,7,0,Mewelde Moore pass incomplete short right intended for Visanthe Shiancoe,4.570,3.580
,,,,,,,"MIN challenged the pass completion ruling, and the play was upheld.",,
2,9:24,3,8,KAN 8,7,0,"Kelly Holcomb pass incomplete short left intended for Sidney Rice (defended by Jared Allen). Penalty on Jared Allen: Delay of Game, 4 yards",3.580,3.030
2,9:21,4,4,KAN 4,10,0,Ryan Longwell 22 yard field goal good,3.030,3.000
2,,,,MIN 30,10,0,"Ryan Longwell kicks off 63 yards, returned by Eddie Drummond for 36 yards (tackle by Antoine Winfield)",0.000,1.800
2,9:11,1,10,KAN 43,10,0,Larry Johnson up the middle for 1 yard (tackle by Kenechi Udeze),1.800,1.390
2,8:39,2,9,KAN 44,10,0,Larry Johnson up the middle for 6 yards (tackle by Chad Greenway),1.390,1.490
2,8:03,3,3,,10,0,Larry Johnson left guard for 2 yards (tackle by Kenechi Udeze),1.490,0.070
2,7:18,4,1,MIN 48,10,0,"Dustin Colquitt punts 48 yards, touchback",0.070,-0.280
2,7:09,1,10,MIN 20,10,0,Adrian Peterson right end for 5 yards (tackle by Bernard Pollard),0.280,0.410
2,6:35,2,5,MIN 25,10,0,Adrian Peterson up the middle for 4 yards (tackle by Jared Allen),0.410,0.230
,,,,,,,"MIN challenged the fumble ruling, and the original play was overturned.",,
2,6:23,3,1,MIN 29,10,0,"Adrian Peterson up the middle for no gain (tackle by Jared Allen). Adrian Peterson fumbles (forced by Jared Allen), recovered by Patrick Surtain at MIN-29",0.230,-3.710
2,6:12,1,10,MIN 28,10,0,Larry Johnson up the middle for -1 yards (tackle by Ben Leber),3.710,3.030
2,5:36,2,11,MIN 29,10,0,Damon Huard pass incomplete deep right intended for Kris Wilson,3.030,2.340
2,5:30,3,11,MIN 29,10,0,Damon Huard pass complete short middle to Tony Gonzalez for 14 yards (tackle by E.J. Henderson),2.340,4.580
2,4:53,1,10,MIN 15,10,0,"Larry Johnson up the middle for -5 yards (tackle by Kenechi Udeze). Penalty on Larry Johnson: Delay of Game, 5 yards",4.580,2.670
2,4:20,2,20,MIN 25,10,0,Damon Huard pass complete short left to Michael Bennett for 4 yards (tackle by E.J. Henderson),2.670,2.540
2,3:40,3,16,MIN 21,10,0,Damon Huard pass incomplete deep middle intended for Tony Gonzalez,2.540,2.060
2,3:40,4,16,MIN 21,10,3,Dave Rayner 39 yard field goal good,2.060,3.000
2,,,,KAN 30,10,3,"Dave Rayner kicks off 72 yards, returned by Aundrae Allison for 22 yards (tackle by Dimitri Patterson)",0.000,0.280
2,3:26,1,10,MIN 20,10,3,Kelly Holcomb pass complete short middle to Visanthe Shiancoe for 5 yards (tackle by Derrick O. Johnson),0.280,0.410
2,2:54,2,5,MIN 25,10,3,Adrian Peterson up the middle for 6 yards (tackle by Alfonso Boone),0.410,1.000
2,2:15,1,10,MIN 31,10,3,Adrian Peterson left end for 1 yard (tackle by Jarrad Page),1.000,0.600
2,2:00,2,9,MIN 32,10,3,Kelly Holcomb pass complete short right to Adrian Peterson for 35 yards (tackle by Patrick Surtain),0.600,3.380
2,1:15,1,10,KAN 33,10,3,Mewelde Moore up the middle for 3 yards (tackle by Jared Allen),3.380,3.240
2,0:34,,,,10,3,Timeout #2 by Minnesota Vikings,0.000,3.240
2,0:34,2,7,KAN 30,10,3,Kelly Holcomb pass incomplete deep middle intended for Robert Ferguson,3.240,2.540
2,0:28,3,7,KAN 30,10,3,Kelly Holcomb sacked by Jared Allen for -10 yards,2.540,0.590
2,0:03,,,,10,3,Timeout #3 by Minnesota Vikings,0.000,0.000
2,0:03,,,,10,3,Timeout #2 by Kansas City Chiefs,0.000,0.590
2,0:02,4,17,KAN 40,10,3,Kelly Holcomb sacked by Jared Allen for -11 yards,0.590,0.870
Quarter,Time,Down,ToGo,Location,MIN,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 30,10,3,"Dave Rayner kicks off 75 yards, returned by Aundrae Allison for 23 yards (tackle by Dimitri Patterson)",0.000,0.040
3,14:51,1,10,MIN 18,10,3,Adrian Peterson right end for 12 yards (tackle by Bernard Pollard),0.040,0.940
3,14:29,1,10,MIN 30,10,3,Adrian Peterson up the middle for -1 yards (tackle by Jared Allen),0.940,0.260
3,14:29,2,11,MIN 29,10,3,Kelly Holcomb pass incomplete short right intended for Jim Kleinsasser,0.260,-0.430
3,13:47,3,11,MIN 29,10,3,Adrian Peterson up the middle for 14 yards (tackle by Jarrad Page),-0.430,1.800
3,13:09,1,10,MIN 43,10,3,Adrian Peterson right end for 9 yards (tackle by Ty Law),1.800,2.470
3,12:38,2,1,KAN 48,10,3,Kelly Holcomb sacked by Turk McBride for 0 yards,2.470,1.750
3,11:53,3,1,KAN 48,10,3,Adrian Peterson up the middle for 8 yards (tackle by Kendrell Bell),1.750,2.920
3,11:15,1,10,KAN 40,10,3,"Mewelde Moore up the middle for 11 yards (tackle by Ty Law). Penalty on Ron Edwards: Defensive Holding, 5 yards",2.920,3.970
3,10:54,1,10,KAN 24,10,3,"Kelly Holcomb pass incomplete short right intended for Bobby Wade (defended by Ty Law). Penalty on Jeff Dugan: Illegal Shift, 5 yards (no play)",3.970,3.640
3,10:48,1,15,KAN 29,10,3,Adrian Peterson left end for -5 yards (tackle by Jimmy Wilkerson),3.640,2.080
3,10:06,2,20,KAN 34,10,3,Kelly Holcomb pass incomplete (defended by Jared Allen),2.080,1.420
3,10:02,3,20,KAN 34,10,3,Mewelde Moore left tackle for no gain (tackle by Derrick O. Johnson),1.420,1.060
3,10:02,4,20,KAN 34,10,3,Chris Kluwe punts 26 yards,1.060,0.380
3,9:19,1,10,KAN 8,10,3,Larry Johnson up the middle for -3 yards (tackle by Ben Leber),-0.380,-1.000
3,8:33,2,13,KAN 5,10,3,Damon Huard pass complete short left to Dwayne Bowe for 17 yards (tackle by Dwight Smith),-1.000,0.410
3,8:05,1,10,KAN 22,10,3,Larry Johnson left tackle for -2 yards (tackle by Pat Williams),0.410,-0.400
3,7:24,2,12,KAN 20,10,3,Damon Huard pass complete short right to Tony Gonzalez for 15 yards (tackle by Darren Sharper),-0.400,1.270
3,6:45,1,10,KAN 35,10,3,Larry Johnson right end for -1 yards (tackle by Ben Leber),1.270,0.590
3,6:02,2,11,KAN 34,10,3,Damon Huard pass complete short left to Tony Gonzalez for 16 yards (tackle by Cedric Griffin),0.590,2.260
3,5:24,1,10,,10,3,Damon Huard pass incomplete right intended for Larry Johnson,2.260,1.710
3,5:14,2,10,,10,3,Damon Huard pass complete short left to Larry Johnson for -5 yards (tackle by E.J. Henderson),1.710,0.370
3,4:35,3,15,KAN 45,10,3,Damon Huard pass complete short left to Samie Parker for 22 yards (tackle by Darren Sharper),0.370,3.380
3,3:51,1,10,MIN 33,10,3,Larry Johnson right tackle for 2 yards (tackle by Kenechi Udeze),3.380,3.110
3,3:14,2,8,MIN 31,10,3,Damon Huard pass incomplete deep right intended for Kris Wilson,3.110,2.410
3,3:09,,,,10,3,Timeout #1 by Minnesota Vikings,0.000,2.410
3,3:09,3,8,MIN 31,10,3,Damon Huard pass incomplete deep right intended for Dwayne Bowe (defended by Darren Sharper),2.410,1.320
3,3:09,4,8,MIN 31,10,6,Dave Rayner 49 yard field goal good,1.320,3.000
3,,,,KAN 30,10,6,"Dave Rayner kicks off 70 yards, touchback",0.000,0.280
3,2:58,1,10,MIN 20,10,6,Adrian Peterson right tackle for -2 yards (tackle by Napoleon Harris and Derrick O. Johnson),0.280,-0.630
3,2:21,2,12,MIN 18,10,6,Adrian Peterson right end for 2 yards,-0.630,-0.960
3,1:40,3,10,MIN 20,10,6,Kelly Holcomb pass complete short right to Sidney Rice for 11 yards (tackle by Ty Law),-0.960,1.000
3,1:11,1,10,MIN 31,10,6,Adrian Peterson up the middle for no gain (tackle by Jared Allen),1.000,0.460
3,0:30,2,10,MIN 31,10,6,Kelly Holcomb pass incomplete short right intended for Jim Kleinsasser,0.460,-0.230
3,0:26,3,10,MIN 31,10,6,Kelly Holcomb pass incomplete short left intended for Bobby Wade,-0.230,-1.310
3,0:26,4,10,MIN 31,10,6,"Chris Kluwe punts 53 yards, fair catch by Eddie Drummond",-1.310,0.140
3,0:10,1,10,KAN 16,10,6,Damon Huard pass complete short left to Dwayne Bowe for 15 yards (tackle by Cedric Griffin),-0.140,1.000
Quarter,Time,Down,ToGo,Location,MIN,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,KAN 31,10,6,Larry Johnson up the middle for 2 yards (tackle by Chad Greenway),1.000,0.730
4,14:29,2,8,KAN 33,10,6,Damon Huard pass complete short right to Tony Gonzalez for 4 yards (tackle by Darren Sharper),0.730,0.560
4,13:56,3,4,KAN 37,10,6,Damon Huard pass complete short middle to Tony Gonzalez for 15 yards (tackle by Chad Greenway),0.560,2.390
4,13:15,1,10,MIN 48,10,6,Damon Huard pass incomplete deep middle intended for Dwayne Bowe,2.390,1.850
4,13:10,2,10,MIN 48,10,6,Damon Huard pass complete short left to Dwayne Bowe for 17 yards (tackle by E.J. Henderson),1.850,3.510
4,12:24,1,10,MIN 31,10,6,"Larry Johnson right tackle for 10 yards (tackle by Cedric Griffin and Kenechi Udeze). Penalty on Jeff Webb: Offensive Holding, 10 yards",3.510,3.510
4,12:09,1,10,MIN 31,10,6,Michael Bennett right tackle for 1 yard (tackle by Darrion Scott),3.510,3.100
4,11:29,2,9,MIN 30,10,6,Michael Bennett left end for 7 yards (tackle by Chad Greenway),3.100,3.340
4,10:48,3,2,MIN 23,10,6,Damon Huard pass complete short right to Dwayne Bowe for 6 yards (tackle by Antoine Winfield),3.340,4.440
4,10:06,1,10,MIN 17,10,6,Larry Johnson up the middle for 1 yard (tackle by Kenechi Udeze),4.440,4.000
4,9:29,,,,10,6,Timeout #1 by Kansas City Chiefs,0.000,4.000
4,9:29,2,9,MIN 16,10,12,"Damon Huard pass complete left to Dwayne Bowe for 16 yards, touchdown",4.000,7.000
4,,,,MIN 2,10,13,Dave Rayner kicks extra point good,0.000,0.000
4,,,,KAN 30,10,13,"Dave Rayner kicks off 75 yards, returned by Aundrae Allison for 15 yards (tackle by Dimitri Patterson)",0.000,-0.380
4,9:18,1,10,MIN 10,10,13,Kelly Holcomb pass complete short right to Adrian Peterson for 5 yards (tackle by Jared Allen),-0.380,-0.350
4,8:45,2,5,MIN 15,10,13,Kelly Holcomb pass complete deep right to Visanthe Shiancoe for 21 yards (tackle by Derrick O. Johnson),-0.350,1.330
4,8:08,1,10,MIN 36,10,13,Adrian Peterson left end for 6 yards (tackle by Greg Wesley),1.330,1.600
4,7:29,2,4,MIN 42,10,13,"Kelly Holcomb pass incomplete. Penalty on Kelly Holcomb: Intentional Grounding, 10 yards",1.600,-0.430
4,7:24,3,14,MIN 32,10,13,Kelly Holcomb pass incomplete short middle intended for Bobby Wade (defended by Greg Wesley),-0.430,-1.240
4,7:15,4,14,MIN 32,10,13,"Chris Kluwe punts 50 yards, returned by Eddie Drummond for 44 yards. Penalty on Dimitri Patterson: Offensive Holding, 10 yards",-1.240,0.280
4,7:02,1,10,KAN 14,10,13,Larry Johnson left tackle for 2 yards (tackle by Ray Edwards),-0.280,-0.510
4,6:28,2,8,KAN 16,10,13,"Damon Huard pass complete short right to Tony Gonzalez for 2 yards (tackle by Antoine Winfield). Penalty on Larry Johnson: Illegal Shift, 5 yards (no play)",-0.510,-1.000
4,6:05,2,13,KAN 11,10,13,Damon Huard pass complete short middle to Tony Gonzalez for 7 yards (tackle by Chad Greenway),-1.000,-0.920
4,5:23,3,6,KAN 18,10,13,Damon Huard pass complete deep middle to Tony Gonzalez for 25 yards (tackle by Darren Sharper),-0.920,1.800
4,4:39,1,10,KAN 43,10,13,Michael Bennett left end for 1 yard (tackle by Dwight Smith and Ray Edwards),1.800,1.390
4,4:01,2,9,KAN 44,10,13,Damon Huard pass complete short right to Michael Bennett for -1 yards (tackle by Antoine Winfield),1.390,0.560
4,3:18,3,10,KAN 43,10,13,Damon Huard pass incomplete deep left intended for Samie Parker,0.560,-0.520
4,3:18,4,10,KAN 43,10,13,"Dustin Colquitt punts 33 yards, returned by Bobby Wade for 13 yards (tackle by Kendrell Bell)",-0.520,-1.400
4,3:00,1,10,MIN 37,10,13,Adrian Peterson right tackle for 3 yards (tackle by Donnie Edwards),1.400,1.260
4,2:22,2,7,MIN 40,10,13,Kelly Holcomb pass incomplete short left intended for Robert Ferguson,1.260,0.560
4,2:18,3,7,MIN 40,10,13,Kelly Holcomb pass incomplete short middle intended for Sidney Rice (defended by Alfonso Boone),0.560,-0.720
4,2:18,4,7,MIN 40,10,13,"Chris Kluwe punts 47 yards, returned by Eddie Drummond for 12 yards (tackle by Vinny Ciurciu). Penalty on Cullen Loeffler: Unnecessary Roughness, 15 yards",-0.720,-1.600
4,2:03,1,10,KAN 40,10,13,Larry Johnson up the middle for 3 yards (tackle by Kenechi Udeze),1.600,1.460
4,2:00,2,7,KAN 43,10,13,Larry Johnson up the middle for 1 yard (tackle by Chad Greenway),1.460,0.890
4,1:54,,,,10,13,Timeout #2 by Minnesota Vikings,0.000,0.890
4,1:54,3,6,KAN 44,10,13,Larry Johnson left tackle for 2 yards (tackle by Ben Leber),0.890,-0.320
4,1:47,,,,10,13,Timeout #3 by Minnesota Vikings,0.000,-0.320
4,1:47,4,4,KAN 46,10,13,"Dustin Colquitt punts 54 yards, touchback",-0.320,-0.280
4,1:39,1,10,MIN 20,10,13,Kelly Holcomb pass complete short left to Mewelde Moore for 4 yards (tackle by Tyron Brackenridge),0.280,0.270
4,1:16,2,6,MIN 24,10,13,Kelly Holcomb pass incomplete short right intended for Bobby Wade,0.270,-0.430
4,1:13,3,6,MIN 24,10,13,Kelly Holcomb pass complete short right to Bobby Wade for 5 yards (tackle by Ty Law),-0.430,-1.440
4,1:13,4,1,MIN 29,10,13,"Kelly Holcomb up the middle for no gain (tackle by Turk McBride). Penalty on KAN: Defensive 12 On-field, 5 yards (no play)",-1.440,1.200
4,0:46,1,10,MIN 34,10,13,Kelly Holcomb pass complete short middle to Bobby Wade for 10 yards (tackle by Donnie Edwards),1.200,1.860
4,0:46,1,10,MIN 44,10,13,Kelly Holcomb sacked by Tamba Hali and Derrick O. Johnson for -6 yards,1.860,0.510
4,0:46,2,16,MIN 38,10,13,Kelly Holcomb spiked the ball,0.510,-0.160
4,0:07,3,16,MIN 38,10,13,Kelly Holcomb pass incomplete short left intended for Mewelde Moore,-0.160,-0.850
4,0:02,4,16,MIN 38,10,13,"Kelly Holcomb pass incomplete intended for Mewelde Moore (defended by Kendrell Bell). Penalty on Kelly Holcomb: Delay of Game, 5 yards (no play)",-0.850,-1.180
4,0:01,4,22,MIN 33,10,13,"Kelly Holcomb pass complete short middle to Mewelde Moore for 8 yards, lateral to Aundrae Allison for 9 yards, lateral to Bobby Wade for -7 yards. Bobby Wade fumbles, recovered by Steve Hutchinson at MIN-43 and returned for 1 yards",-1.180,1.140
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
