Quarter,Time,Down,ToGo,Location,NYG,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Lawrence Tynes kicks off 66 yards, returned by Steve Slaton for 20 yards (tackle by Jason Pierre-Paul)",0.000,0.540
1,14:53,1,10,HOU 24,0,0,Matt Schaub pass complete short left to Owen Daniels for 19 yards (tackle by Antrel Rolle),0.540,1.800
1,14:11,1,10,HOU 43,0,0,Matt Schaub pass incomplete short left intended for Andre Johnson (defended by Osi Umenyiora),1.800,1.250
1,14:08,2,10,HOU 43,0,0,"Matt Schaub sacked by Osi Umenyiora for -3 yards. Matt Schaub fumbles (forced by Osi Umenyiora), recovered by Rashad Butler at HOU-40",1.250,0.170
1,13:23,3,13,HOU 40,0,0,Matt Schaub pass complete short middle to Arian Foster for -4 yards (tackle by Barry Cofield and Osi Umenyiora),0.170,-0.980
1,12:51,4,17,HOU 36,0,0,"Matt Turk punts 50 yards, returned by Darius Reynaud for 4 yards (tackle by James Casey). Penalty on Terrell Thomas: Illegal Block Above the , 9 yards",-0.980,0.380
1,12:34,1,10,NYG 9,0,0,Ahmad Bradshaw left end for -3 yards (tackle by Amobi Okoye and Bernard Pollard),-0.380,-1.000
1,11:46,2,13,NYG 6,0,0,Eli Manning pass incomplete short right intended for Bear Pascoe (defended by Bernard Pollard),-1.000,-1.770
1,11:39,,,,0,0,Timeout #1 by New York Giants,0.000,-1.770
1,11:39,3,13,NYG 6,0,0,Eli Manning pass incomplete short middle intended for Ahmad Bradshaw,-1.770,-2.490
1,11:34,4,13,NYG 6,0,0,"Matt Dodge punts 50 yards, returned by David Anderson for 2 yards (tackle by Dave Tollefson)",-2.490,-1.990
1,11:24,1,10,HOU 46,0,0,Arian Foster right tackle for 3 yards (tackle by Chris Canty),1.990,1.860
1,10:50,2,7,HOU 49,0,0,Arian Foster middle for 3 yards (tackle by Barry Cofield),1.860,1.550
1,10:07,3,4,NYG 48,0,0,Matt Schaub pass incomplete short right intended for Andre Johnson (defended by Jason Pierre-Paul),1.550,0.070
1,10:03,4,4,NYG 48,0,0,"Matt Turk punts 37 yards, muffed catch by Darius Reynaud, recovered by Chase Blackburn and returned for no gain",0.070,0.220
1,9:51,1,10,NYG 15,0,0,Eli Manning pass complete short right to Ramses Barden for 8 yards (tackle by Brian Cushing and Glover Quin),-0.220,0.480
1,9:13,2,2,NYG 23,0,0,Eli Manning pass complete deep right to Kevin Boss for 19 yards (tackle by Troy Nolan),0.480,1.730
1,8:33,1,10,NYG 42,0,0,Ahmad Bradshaw left end for 23 yards (tackle by Troy Nolan),1.730,3.250
1,7:59,1,10,HOU 35,0,0,Eli Manning pass complete short right to Steve Smith for 7 yards (tackle by Glover Quin and Brian Cushing),3.250,3.650
1,7:17,2,3,HOU 28,0,0,Ahmad Bradshaw left end for 2 yards (tackle by Zach Diles and DeMeco Ryans),3.650,3.200
1,6:32,3,1,HOU 26,0,0,Brandon Jacobs right guard for 5 yards (tackle by Kareem Jackson),3.200,4.170
1,5:58,1,10,HOU 21,0,0,Eli Manning pass complete short left to Hakeem Nicks for 15 yards (tackle by DeMeco Ryans),4.170,5.830
1,5:24,1,6,HOU 6,6,0,"Eli Manning pass complete short left to Hakeem Nicks for 6 yards, touchdown",5.830,7.000
1,,,,HOU 2,7,0,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,NYG 30,7,0,"Lawrence Tynes kicks off 71 yards, returned by Steve Slaton for 21 yards (tackle by Michael Boley). Penalty on Darryl Sharpton: Illegal Block Above the , 10 yards",0.000,-0.380
1,5:10,1,10,HOU 10,7,0,Arian Foster left tackle for -3 yards (tackle by Jonathan Goff),-0.380,-1.000
1,4:30,2,13,HOU 7,7,0,Matt Schaub pass complete short left to Owen Daniels for 13 yards (tackle by Terrell Thomas),-1.000,0.280
1,4:12,1,10,HOU 20,7,0,Matt Schaub pass incomplete deep middle intended for Andre Johnson is intercepted by Corey Webster at HOU-40,0.280,-2.920
1,4:03,1,10,HOU 40,7,0,Eli Manning pass complete short right to Travis Beckum for 8 yards (tackle by Kareem Jackson),2.920,3.450
1,3:26,2,2,HOU 32,7,0,Brandon Jacobs middle for 4 yards (tackle by DeMeco Ryans and Earl Mitchell),3.450,3.710
1,2:42,1,10,HOU 28,7,0,Eli Manning pass complete short left to Hakeem Nicks for 27 yards (tackle by Eugene Wilson),3.710,6.970
1,2:09,1,1,HOU 1,13,0,"Brandon Jacobs right guard for 1 yard, touchdown",6.970,7.000
1,,,,HOU 2,14,0,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,NYG 30,14,0,"Lawrence Tynes kicks off 71 yards, returned by Steve Slaton for 15 yards (tackle by Brian Jackson). Penalty on Frank Okam: Offensive Holding, 7 yards",0.000,-0.380
1,1:56,1,10,HOU 7,14,0,Matt Schaub pass incomplete deep right intended for Owen Daniels (defended by Jonathan Goff),-0.380,-0.780
1,1:50,2,10,HOU 7,14,0,Arian Foster middle for no gain (tackle by Justin Tuck),-0.780,-1.420
1,1:10,3,10,HOU 7,14,0,Matt Schaub pass incomplete short right intended for Kevin Walter,-1.420,-2.490
1,1:05,4,10,HOU 7,14,0,"Matt Turk punts 36 yards, returned by Darius Reynaud for -2 yards (tackle by James Casey). Penalty on Corey Webster: Offensive Holding, 10 yards",-2.490,-1.930
1,0:54,1,10,NYG 45,14,0,Eli Manning pass complete short left to Hakeem Nicks for 16 yards (tackle by Brice McCain),1.930,2.980
1,0:10,1,10,HOU 39,14,0,Eli Manning pass complete short right to Hakeem Nicks for 7 yards,2.980,3.390
Quarter,Time,Down,ToGo,Location,NYG,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,HOU 32,14,0,Eli Manning pass complete short right to Hakeem Nicks for 14 yards (tackle by Brice McCain),3.390,4.370
2,14:24,1,10,HOU 18,14,0,Ahmad Bradshaw left end for 6 yards (tackle by DeMeco Ryans),4.370,4.810
2,13:38,,,,14,0,Timeout #2 by New York Giants,0.000,4.810
2,13:38,2,4,HOU 12,14,0,Ahmad Bradshaw left end for no gain (tackle by Shaun Cody),4.810,4.030
