Unnamed: 0,KAN,SDG
First Downs,22,19
Rush-Yds-TDs,39-154-1,16-69-0
Cmp-Att-Yd-TD-INT,19-28-221-1-0,17-31-205-2-1
Sacked-Yards,3-10,2-23
Net Pass Yards,211,182
Total Yards,365,251
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,7-73,4-49
Third Down Conv.,7-14,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,39:00,21:00
