Quarter,Time,Tm,Detail,KAN,SDG
1.0,3:15,Chargers,John Phillips 1 yard pass from Philip Rivers (Nick Novak kick),0,7
2.0,14:51,Chiefs,Jamaal Charles 16 yard rush (Cairo Santos kick),7,7
,3:11,Chiefs,Cairo Santos 28 yard field goal,10,7
,0:14,Chargers,Antonio Gates 27 yard pass from Philip Rivers (Nick Novak kick),10,14
3.0,8:35,Chiefs,Cairo Santos 40 yard field goal,13,14
4.0,14:50,Chiefs,Anthony Sherman 11 yard pass from Alex Smith (Cairo Santos kick),20,14
,9:36,Chargers,Nick Novak 24 yard field goal,20,17
,1:57,Chargers,Nick Novak 48 yard field goal,20,20
,0:21,Chiefs,Cairo Santos 48 yard field goal,23,20
