Unnamed: 0,WAS,SFO
First Downs,12,16
Rush-Yds-TDs,27-136-1,29-66-1
Cmp-Att-Yd-TD-INT,11-20-106-0-0,20-29-256-1-1
Sacked-Yards,5-29,2-10
Net Pass Yards,77,246
Total Yards,213,312
Fumbles-Lost,1-1,3-2
Turnovers,1,3
Penalties-Yards,7-53,5-47
Third Down Conv.,2-13,5-13
Fourth Down Conv.,0-0,2-2
Time of Possession,29:55,30:05
