Quarter,Time,Down,ToGo,Location,TEN,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 57 yards, returned by Darius Jennings for no gain (tackle by T.J. McDonald)",0.000,1.270
1,14:52,1,10,TEN 35,0,0,Derrick Henry left guard for 2 yards (tackle by Robert Quinn and Davon Godchaux),1.270,0.990
1,14:28,2,8,TEN 37,0,0,Marcus Mariota pass complete short left to Delanie Walker for 8 yards (tackle by Jerome Baker),0.990,1.930
1,13:47,1,10,TEN 45,0,0,Derrick Henry left tackle for 1 yard (tackle by T.J. McDonald),1.930,1.520
1,13:03,2,9,TEN 46,0,0,Derrick Henry left tackle for 3 yards (tackle by Jerome Baker),1.520,1.220
1,12:22,3,6,TEN 49,0,0,Marcus Mariota pass complete deep middle to Corey Davis for 17 yards (tackle by Xavien Howard),1.220,3.310
1,11:37,1,10,MIA 34,0,0,Derrick Henry left end for 5 yards (tackle by Minkah Fitzpatrick),3.310,3.450
1,11:11,2,5,MIA 29,0,0,Marcus Mariota pass complete short right to Corey Davis for 1 yard (tackle by Minkah Fitzpatrick),3.450,2.870
1,10:29,3,4,MIA 28,0,0,Marcus Mariota pass incomplete deep left intended for Taywan Taylor,2.870,1.650
1,10:22,4,4,MIA 28,3,0,Ryan Succop 47 yard field goal good,1.650,3.000
1,10:18,,,TEN 35,3,0,"Ryan Succop kicks off 66 yards, returned by Jakeem Grant for no gain (tackle by Daren Bates and Aaron Wallace)",0.000,0.410
1,10:13,1,10,MIA 22,3,0,Kenyan Drake left end for 10 yards,0.410,1.070
1,9:43,1,10,MIA 32,3,0,"Penalty on Laremy Tunsil: False Start, 5 yards (no play)",1.070,0.740
1,9:22,1,15,MIA 27,3,0,Ryan Tannehill pass complete short right to Danny Amendola for 7 yards (tackle by Wesley Woodyard),0.740,0.800
1,8:45,2,8,MIA 34,3,0,Kenyan Drake right tackle for 1 yard (tackle by DaQuan Jones and Brian Orakpo),0.800,0.230
1,8:19,3,7,MIA 35,3,0,Ryan Tannehill pass complete short left to Danny Amendola for 3 yards (tackle by Logan Ryan),0.230,-0.850
1,7:46,4,4,MIA 38,3,0,"Matt Haack punts 62 yards, touchback.",-0.850,-0.280
