Quarter,Time,Tm,Detail,SEA,CHI
1,8:33,Bears,Earl Bennett 12 yard pass from Jay Cutler (Robbie Gould kick),0,7
2,2:15,Seahawks,Marshawn Lynch 4 yard rush (Stephen Hauschka kick),7,7
,0:05,Seahawks,Stephen Hauschka 31 yard field goal,10,7
3,3:10,Bears,Matt Forte 12 yard pass from Jay Cutler (Robbie Gould kick),10,14
4,0:24,Seahawks,Golden Tate 14 yard pass from Russell Wilson (Stephen Hauschka kick),17,14
,0:00,Bears,Robbie Gould 46 yard field goal,17,17
OT,7:33,Seahawks,Sidney Rice 13 yard pass from Russell Wilson,23,17
