Unnamed: 0,SEA,CHI
First Downs,25,22
Rush-Yds-TDs,32-176-1,33-132-0
Cmp-Att-Yd-TD-INT,23-37-293-2-0,17-26-233-2-0
Sacked-Yards,2-10,0-0
Net Pass Yards,283,233
Total Yards,459,365
Fumbles-Lost,2-1,3-0
Turnovers,1,0
Penalties-Yards,8-55,5-45
Third Down Conv.,8-15,6-12
Fourth Down Conv.,1-1,0-1
Time of Possession,34:35,32:52
