Quarter,Time,Tm,Detail,PHI,DAL
1.0,11:47,Cowboys,Ezekiel Elliott 1 yard rush (Greg Zuerlein kick),0,7
,9:57,Eagles,Fletcher Cox fumble recovery in end zone (Jake Elliott kick),7,7
,1:31,Cowboys,Dalton Schultz 19 yard pass from Dak Prescott (Greg Zuerlein kick),7,14
2.0,7:10,Cowboys,Ezekiel Elliott 3 yard rush (Greg Zuerlein kick failed),7,20
3.0,14:07,Cowboys,Trevon Diggs 59 yard interception return (Greg Zuerlein kick),7,27
,7:08,Eagles,Zach Ertz 3 yard pass from Jalen Hurts (Jake Elliott kick),14,27
4.0,11:26,Cowboys,Cedrick Wilson Jr. 2 yard pass from Dak Prescott (Greg Zuerlein kick),14,34
,6:56,Cowboys,Dalton Schultz 22 yard pass from Dak Prescott (Greg Zuerlein kick),14,41
,3:09,Eagles,Greg Ward 15 yard pass from Jalen Hurts (Jake Elliott kick),21,41
