Unnamed: 0,MIN,ARI
First Downs,22,21
Rush-Yds-TDs,27-177-0,21-103-1
Cmp-Att-Yd-TD-INT,22-32-244-3-0,29-36-400-3-2
Sacked-Yards,1-2,3-29
Net Pass Yards,242,371
Total Yards,419,474
Fumbles-Lost,2-0,1-0
Turnovers,0,2
Penalties-Yards,3-16,5-40
Third Down Conv.,2-10,3-9
Fourth Down Conv.,0-0,1-1
Time of Possession,28:08,31:52
