Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Matt Prater kicks off 65 yards, touchback.",,
1,15:00,1,10,MIN 25,0,0,Dalvin Cook right tackle for 11 yards (tackle by Isaiah Simmons),,
1,14:27,1,10,MIN 36,6,0,"Kirk Cousins pass complete deep right to K.J. Osborn for 64 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
1,14:16,,,ARI 15,7,0,Greg Joseph kicks extra point good,,
1,14:16,,,MIN 35,7,0,"Greg Joseph kicks off 65 yards, touchback.",,
1,14:16,1,10,ARI 25,7,0,Kyler Murray pass complete short middle to Maxx Williams for 4 yards (tackle by Nick Vigil),,
1,13:49,2,6,ARI 29,7,0,Chase Edmonds left tackle for no gain (tackle by Danielle Hunter),,
1,13:08,3,6,ARI 29,7,0,"Penalty on D.J. Humphries: False Start, 5 yards (accepted) (no play)",,
1,12:55,,,,,,Timeout #1 by Arizona Cardinals,,
1,12:55,3,11,ARI 24,7,0,"Penalty on Kelvin Beachum: False Start, 5 yards (accepted) (no play)",,
1,12:55,3,16,ARI 19,7,0,Kyler Murray pass complete short middle to DeAndre Hopkins for 8 yards (tackle by Xavier Woods and Mackensie Alexander),,
1,12:13,4,8,ARI 27,7,0,"Andy Lee punts 58 yards, returned by Dede Westbrook for 10 yards (tackle by Charles Washington). Penalty on Troy Dye: Offensive Illegal Block Above the Waist, 10 yards (offset) . Penalty on Antonio Hamilton: Unnecessary Roughness / Defense, 15 yards (offset)",,
1,11:56,1,10,MIN 25,7,0,Dalvin Cook left end for 2 yards (tackle by Isaiah Simmons),,
1,11:22,2,8,MIN 27,7,0,Kirk Cousins pass complete short right to Justin Jefferson for 6 yards (tackle by Byron Murphy and Jordan Hicks),,
1,10:41,3,2,MIN 33,7,0,Kirk Cousins pass incomplete short middle intended for Tyler Conklin (defended by Zaven Collins),,
1,10:35,4,2,MIN 33,7,0,"Jordan Berry punts 46 yards, returned by Rondale Moore for 6 yards (tackle by Stephen Weatherly)",,
1,10:25,1,10,ARI 27,7,0,Chase Edmonds up the middle for 14 yards (tackle by Harrison Smith),,
1,9:55,1,10,ARI 41,7,0,Kyler Murray pass complete short left to DeAndre Hopkins for 15 yards (tackle by Eric Kendricks),,
1,9:30,1,10,MIN 44,7,0,Kyler Murray pass complete short middle to DeAndre Hopkins for 16 yards (tackle by Harrison Smith),,
1,8:52,1,10,MIN 28,7,0,Kyler Murray left tackle for no gain (tackle by Danielle Hunter),,
1,8:13,2,10,MIN 28,7,0,Kyler Murray pass complete short right to Chase Edmonds for 4 yards (tackle by Eric Kendricks),,
1,7:24,3,6,MIN 24,7,0,Kyler Murray scrambles right end for 9 yards (tackle by Harrison Smith),,
1,6:38,1,10,MIN 15,7,0,Kyler Murray pass complete short left to Rondale Moore for no gain (tackle by Xavier Woods),,
1,6:05,2,10,MIN 15,7,0,Kyler Murray pass incomplete short right,,
1,5:57,3,10,MIN 15,7,6,"Kyler Murray pass complete to DeAndre Hopkins for 15 yards, touchdown",,
1,5:49,,,MIN 15,7,7,Matt Prater kicks extra point good,,
1,5:49,,,ARI 35,7,7,"Matt Prater kicks off 65 yards, touchback.",,
1,5:49,1,10,MIN 25,7,7,Dalvin Cook right end for 16 yards (tackle by Budda Baker),,
1,5:05,1,10,MIN 41,7,7,Dalvin Cook right tackle for 14 yards (tackle by Jalen Thompson),,
1,4:25,1,10,ARI 45,7,7,Kirk Cousins pass complete short middle to Dalvin Cook for 14 yards (tackle by Zaven Collins),,
1,3:45,1,10,ARI 31,7,7,Kirk Cousins pass complete short left to Adam Thielen for 5 yards (tackle by Isaiah Simmons and Marco Wilson),,
1,3:07,2,5,ARI 26,7,7,Kirk Cousins scrambles up the middle for 6 yards (tackle by Isaiah Simmons),,
1,2:24,1,10,ARI 20,7,7,Kirk Cousins pass complete short middle to Dalvin Cook for 3 yards (tackle by Jalen Thompson),,
1,1:42,2,7,ARI 17,7,7,Dalvin Cook up the middle for 7 yards (tackle by Jordan Hicks),,
1,1:03,1,10,ARI 10,7,7,Alexander Mattison up the middle for 3 yards (tackle by Corey Peters and Isaiah Simmons),,
1,0:28,2,7,ARI 7,13,7,"Kirk Cousins pass complete short middle to Adam Thielen for 7 yards, touchdown",,
1,0:24,,,ARI 15,14,7,Greg Joseph kicks extra point good,,
1,0:24,,,MIN 35,14,7,"Greg Joseph kicks off 65 yards, touchback.",,
1,0:24,1,10,ARI 25,14,7,Chase Edmonds up the middle for 6 yards (tackle by Eric Kendricks),,
1,0:06,2,4,ARI 31,14,7,Kyler Murray pass complete short right to Maxx Williams for 3 yards (tackle by Bashaud Breeland),,
Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,ARI 34,14,7,James Conner up the middle for -1 yards (tackle by Stephen Weatherly),,
2,14:21,4,2,ARI 33,14,7,"Andy Lee punts 51 yards, fair catch by Dede Westbrook at MIN-16",,
2,14:14,1,10,MIN 16,14,7,Dalvin Cook right end for no gain (tackle by Rashard Lawrence),,
2,13:33,2,10,MIN 16,14,7,Dalvin Cook up the middle for 15 yards (tackle by Jalen Thompson),,
2,12:53,1,10,MIN 31,14,7,Alexander Mattison up the middle for 2 yards (tackle by Zach Allen),,
2,12:13,2,8,MIN 33,14,7,Kirk Cousins pass complete short left to Tyler Conklin for 9 yards (tackle by Markus Golden),,
2,11:36,1,10,MIN 42,14,7,Dalvin Cook left end for no gain (tackle by Isaiah Simmons),,
2,10:56,2,10,MIN 42,14,7,Kirk Cousins scrambles up the middle for 29 yards (tackle by Jalen Thompson),,
2,10:18,1,10,ARI 29,14,7,Dalvin Cook up the middle for 9 yards (tackle by Byron Murphy),,
2,9:41,2,1,ARI 20,14,7,Alexander Mattison up the middle for 6 yards (tackle by Budda Baker),,
2,9:05,1,10,ARI 14,20,7,"Kirk Cousins pass complete short left to Justin Jefferson for 14 yards, touchdown. Penalty on Budda Baker: Defensive Holding, 5 yards (declined)",,
2,8:56,,,ARI 15,20,7,Greg Joseph kicks extra point no good,,
2,8:56,,,MIN 35,20,7,"Greg Joseph kicks off 65 yards, touchback.",,
2,8:56,1,10,ARI 25,20,7,Kyler Murray pass incomplete,,
2,8:47,2,10,ARI 25,20,7,Kyler Murray pass complete short middle to Maxx Williams for 34 yards (tackle by Nick Vigil),,
2,7:56,1,10,MIN 41,20,7,James Conner left tackle for 6 yards (tackle by Armon Watts and Stephen Weatherly),,
2,7:13,2,4,MIN 35,20,7,Kyler Murray pass complete short left to Maxx Williams for 9 yards (tackle by Harrison Smith),,
2,6:34,1,10,MIN 26,20,7,James Conner up the middle for 2 yards (tackle by Michael Pierce),,
2,5:59,2,8,MIN 24,20,7,Kyler Murray sacked by Danielle Hunter for -8 yards,,
2,5:16,3,16,MIN 32,20,7,Kyler Murray pass complete deep middle to Christian Kirk for 19 yards (tackle by Eric Kendricks and Mackensie Alexander),,
2,4:32,1,10,MIN 13,20,7,Chase Edmonds left tackle for 8 yards (tackle by Eric Kendricks and Harrison Smith),,
2,3:49,2,2,MIN 5,20,7,"Kyler Murray pass complete short middle to Rondale Moore for 3 yards. Rondale Moore fumbles (forced by Bashaud Breeland). Penalty on A.J. Green: Offensive Holding, 10 yards (accepted)",,
2,3:24,2,9,MIN 12,20,13,"Kyler Murray up the middle for 12 yards, touchdown",,
2,3:15,,,MIN 15,20,14,Matt Prater kicks extra point good,,
2,3:15,,,ARI 35,20,14,"Matt Prater kicks off 65 yards, touchback.",,
2,3:15,1,10,MIN 25,20,14,Kirk Cousins pass complete short left to Adam Thielen for -3 yards (tackle by Budda Baker),,
2,2:33,2,13,MIN 22,20,14,Dalvin Cook up the middle for 12 yards (tackle by Jalen Thompson and Robert Alford),,
2,2:00,3,1,MIN 34,20,14,Dalvin Cook up the middle for no gain (tackle by Corey Peters and Jordan Hicks),,
2,1:54,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:54,4,1,MIN 34,20,14,Jordan Berry punts 43 yards out of bounds,,
2,1:46,1,10,ARI 23,20,20,"Kyler Murray pass complete deep left to Rondale Moore for 77 yards, touchdown",,
2,1:33,,,MIN 15,20,21,Matt Prater kicks extra point good,,
2,1:33,,,ARI 35,20,21,"Matt Prater kicks off 65 yards, touchback.",,
2,1:33,1,10,MIN 25,20,21,Kirk Cousins pass complete short left to K.J. Osborn for 4 yards (tackle by Antonio Hamilton),,
2,1:29,2,6,MIN 29,20,21,Kirk Cousins pass complete short right to Adam Thielen for 15 yards (tackle by Byron Murphy),,
2,1:05,,,,,,Timeout #2 by Minnesota Vikings,,
2,1:05,1,10,MIN 44,20,21,Kirk Cousins pass complete short right to Tyler Conklin for 6 yards (tackle by Jalen Thompson),,
2,1:00,2,4,ARI 50,20,21,Dalvin Cook up the middle for 10 yards (tackle by Antonio Hamilton),,
2,0:40,1,10,ARI 40,20,21,Dalvin Cook left tackle for no gain (tackle by Isaiah Simmons),,
2,0:35,,,,,,Timeout #3 by Minnesota Vikings,,
2,0:35,2,10,ARI 40,20,21,Kirk Cousins pass incomplete short middle intended for Tyler Conklin,,
2,0:26,3,10,ARI 40,20,21,Kirk Cousins pass complete short right to K.J. Osborn for 6 yards (tackle by Robert Alford),,
2,0:25,4,4,ARI 34,23,21,Greg Joseph 52 yard field goal good,,
2,0:21,,,MIN 35,23,21,"Greg Joseph kicks off 45 yards, returned by Demetrius Harris for 14 yards (tackle by Ryan Connelly)",,
2,0:16,1,10,ARI 34,23,21,Kyler Murray pass complete short right to Rondale Moore for 4 yards (tackle by Eric Kendricks),,
2,0:10,2,6,ARI 38,23,21,Kyler Murray pass complete short left to Rondale Moore for 18 yards (tackle by Xavier Woods),,
2,0:01,1,10,MIN 44,23,24,Matt Prater 62 yard field goal good,,
Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,23,24,"Greg Joseph kicks off 62 yards, returned by Rondale Moore for 21 yards (tackle by Mackensie Alexander)",,
3,14:56,1,10,ARI 24,23,24,Chase Edmonds right tackle for 8 yards (tackle by Blake Lynch),,
3,14:09,2,2,ARI 32,29,24,"Kyler Murray pass short right intended for Rondale Moore is intercepted by Nick Vigil at ARI-38 and returned for 38 yards, touchdown",,
3,14:00,,,ARI 15,30,24,Greg Joseph kicks extra point good,,
3,14:00,,,MIN 35,30,24,"Greg Joseph kicks off 65 yards, touchback.",,
3,14:00,1,10,ARI 25,30,24,James Conner left tackle for 9 yards (tackle by Harrison Smith),,
3,13:19,2,1,ARI 34,30,24,James Conner up the middle for 3 yards (tackle by Danielle Hunter and Nick Vigil),,
3,12:45,1,10,ARI 37,30,24,Kyler Murray pass complete short left to Rondale Moore for 6 yards (tackle by Blake Lynch),,
3,12:08,2,4,ARI 43,30,24,James Conner left tackle for 4 yards (tackle by Danielle Hunter and Dalvin Tomlinson),,
3,11:26,1,10,ARI 47,30,24,Kyler Murray pass complete short left to Chase Edmonds for 13 yards (tackle by Patrick Peterson and Nick Vigil),,
3,10:39,1,10,MIN 40,30,24,Chase Edmonds for 6 yards (tackle by Nick Vigil and Eric Kendricks),,
3,9:57,2,4,MIN 34,30,24,Kyler Murray pass complete deep right to Maxx Williams for 25 yards (tackle by Harrison Smith),,
3,9:16,1,9,MIN 9,30,30,"Kyler Murray pass complete short right to A.J. Green for 9 yards, touchdown",,
3,9:11,,,MIN 15,30,31,Matt Prater kicks extra point good,,
3,9:11,,,ARI 35,30,31,"Matt Prater kicks off 69 yards, returned by Ihmir Smith-Marsette for 22 yards (tackle by Chris Banjo)",,
3,9:06,1,10,MIN 18,30,31,Dalvin Cook up the middle for 13 yards (tackle by Budda Baker),,
3,8:31,1,10,MIN 31,30,31,Kirk Cousins pass incomplete short left intended for Adam Thielen (defended by Zaven Collins),,
3,8:27,2,10,MIN 31,30,31,Dalvin Cook right end for 2 yards (tackle by Budda Baker),,
3,7:44,3,8,MIN 33,30,31,"Penalty on Brian O'Neill: False Start, 5 yards (accepted) (no play)",,
3,7:25,3,13,MIN 28,30,31,Kirk Cousins pass complete short left to Justin Jefferson for 12 yards (tackle by Budda Baker and Markus Golden),,
3,6:29,4,1,MIN 40,30,31,"Jordan Berry punts 50 yards, returned by Rondale Moore for 8 yards (tackle by Troy Dye)",,
3,6:20,1,10,ARI 18,30,31,Kyler Murray pass complete short right to Christian Kirk for 11 yards (tackle by Harrison Smith and Nick Vigil),,
3,5:41,1,10,ARI 29,30,31,Chase Edmonds up the middle for 3 yards (tackle by Stephen Weatherly),,
3,4:57,2,7,ARI 32,30,31,Kyler Murray pass complete deep right to A.J. Green for 29 yards (tackle by Bashaud Breeland),,
3,4:22,1,10,MIN 39,30,31,Chase Edmonds up the middle for 1 yard (tackle by Eric Kendricks),,
3,3:43,2,9,MIN 38,30,31,Kyler Murray pass deep middle intended for Christian Kirk is intercepted by Xavier Woods at MIN-4 and returned for 27 yards (tackle by Justin Murray),,
3,3:29,1,10,MIN 31,30,31,Kirk Cousins pass incomplete short left intended for Justin Jefferson,,
3,3:25,2,10,MIN 31,30,31,Dalvin Cook up the middle for 3 yards (tackle by J.J. Watt and Jordan Hicks),,
3,2:48,3,7,MIN 34,30,31,Kirk Cousins pass incomplete short right intended for Justin Jefferson,,
3,2:42,4,7,MIN 34,30,31,"Jordan Berry punts, returned by Rondale Moore for no gain (tackle by Kris Boyd). Penalty on Tanner Vallejo: Roughing the Kicker, 15 yards (accepted) (no play)",,
3,2:34,1,10,MIN 49,30,31,Dalvin Cook up the middle for no gain (tackle by Michael Dogbe),,
3,1:54,2,10,MIN 49,30,31,Kirk Cousins pass incomplete short left intended for Dalvin Cook,,
3,1:50,,,,,,Timeout #1 by Arizona Cardinals,,
3,1:50,3,10,MIN 49,30,31,Kirk Cousins pass complete short left to Justin Jefferson for 13 yards (tackle by Robert Alford),,
3,1:11,1,10,ARI 38,30,31,Dalvin Cook for -2 yards (tackle by Budda Baker),,
3,0:29,2,12,ARI 40,30,31,Dalvin Cook for 8 yards (tackle by Jordan Hicks),,
Quarter,Time,Down,ToGo,Location,MIN,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,ARI 32,30,31,"Kirk Cousins sacked by Markus Golden for -2 yards. Kirk Cousins fumbles (forced by Markus Golden), recovered by Kirk Cousins at ARI-34 (tackle by Markus Golden)",,
4,14:16,4,6,ARI 34,33,31,Greg Joseph 52 yard field goal good,,
4,14:12,,,MIN 35,33,31,"Greg Joseph kicks off 65 yards, touchback.",,
4,14:12,1,10,ARI 25,33,31,James Conner up the middle for 6 yards (tackle by Harrison Smith),,
