Unnamed: 0,WAS,BAL
First Downs,18,18
Rush-Yds-TDs,20-60-0,19-118-0
Cmp-Att-Yd-TD-INT,29-41-260-1-1,30-47-210-1-0
Sacked-Yards,1-10,3-22
Net Pass Yards,250,188
Total Yards,310,306
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,4-46,9-65
Third Down Conv.,3-12,3-15
Fourth Down Conv.,1-2,1-3
Time of Possession,29:35,30:25
