Quarter,Time,Tm,Detail,WAS,BAL
1.0,10:13,Ravens,Crockett Gillmore 7 yard pass from Joe Flacco (Justin Tucker kick),0,7
,4:52,Redskins,Jamison Crowder 85 yard punt return (Dustin Hopkins kick failed),6,7
2.0,14:56,Ravens,Justin Tucker 31 yard field goal,6,10
3.0,8:28,Redskins,Pierre Garcon 21 yard pass from Kirk Cousins (Dustin Hopkins kick),13,10
,0:14,Redskins,Dustin Hopkins 27 yard field goal,16,10
