Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Michael Koenen kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,ATL 20,0,0,Michael Turner up the middle for 2 yards (tackle by Adam Hayward),0.280,0.000
1,14:31,2,8,ATL 22,0,0,Michael Turner up the middle for 4 yards (tackle by Mason Foster and Roy Miller),0.000,-0.160
1,13:51,3,4,ATL 26,0,0,Matt Ryan pass complete short left to Julio Jones for 13 yards (tackle by E.J. Biggers),-0.160,1.530
1,13:20,1,10,ATL 39,0,0,Jacquizz Rodgers right tackle for 20 yards (tackle by Ronde Barber),1.530,2.850
1,12:42,1,10,TAM 41,0,0,Jacquizz Rodgers left end for 3 yards (tackle by Ronde Barber),2.850,2.710
1,12:08,2,7,TAM 38,0,0,Jacquizz Rodgers left tackle for 9 yards (tackle by Mark Barron and Lavonte David),2.710,3.640
1,11:30,1,10,TAM 29,0,0,"Michael Turner right tackle for no gain (tackle by Leonard Johnson). Penalty on Harry Douglas: Illegal Motion, 5 yards (no play)",3.640,3.310
1,11:05,1,15,TAM 34,0,0,Matt Ryan pass complete short middle to Michael Turner for 8 yards (tackle by Gary Gibson),3.310,3.510
1,10:21,2,7,TAM 26,0,0,Michael Turner left tackle for 8 yards (tackle by Lavonte David),3.510,4.370
1,9:43,1,10,TAM 18,0,0,Jacquizz Rodgers right guard for no gain (tackle by Gary Gibson),4.370,3.800
1,9:00,2,10,TAM 18,0,0,Matt Ryan pass complete short left to Tony Gonzalez for 7 yards (tackle by Mark Barron),3.800,4.260
1,8:21,3,3,TAM 11,0,0,Matt Ryan pass complete short middle to Jacquizz Rodgers for -2 yards (tackle by Daniel Te'o-Nesheim and Mason Foster),4.260,2.620
1,7:43,4,5,TAM 13,3,0,Matt Bryant 31 yard field goal good,2.620,3.000
1,7:38,,,ATL 35,3,0,"Matt Bosher kicks off 68 yards, returned by LeQuan Lewis for 22 yards",0.000,0.150
1,7:31,1,10,TAM 19,3,0,Josh Freeman pass complete short middle to Mike Williams for 8 yards (tackle by Akeem Dent),0.150,0.750
1,6:51,2,2,TAM 27,3,0,Josh Freeman pass complete short middle to Doug Martin for 5 yards (tackle by Sean Weatherspoon),0.750,1.070
1,6:05,1,10,TAM 32,3,0,Doug Martin right tackle for 8 yards (tackle by Akeem Dent),1.070,1.610
1,5:19,2,2,TAM 40,3,0,Josh Freeman pass complete short middle to Dallas Clark for 21 yards (tackle by Stephen Nicholas),1.610,2.980
1,4:35,1,10,ATL 39,3,0,Doug Martin up the middle for no gain (tackle by William Moore),2.980,2.440
1,3:57,2,10,ATL 39,3,0,Josh Freeman pass complete deep right to Tiquan Underwood for 22 yards,2.440,4.440
1,3:19,1,10,ATL 17,3,0,Doug Martin left end for 5 yards (tackle by Dunta Robinson),4.440,4.690
1,2:46,2,5,ATL 12,3,0,Doug Martin up the middle for 6 yards (tackle by Thomas DeCoud),4.690,5.830
1,2:04,1,6,ATL 6,3,0,Doug Martin right tackle for 5 yards (tackle by Kroy Biermann),5.830,5.910
1,1:19,2,1,ATL 1,3,6,"Doug Martin left end for 1 yard, touchdown",5.910,7.000
1,1:19,,,ATL 2,3,7,Connor Barth kicks extra point good,0.000,0.000
1,1:12,,,TAM 35,3,7,"Michael Koenen kicks off 70 yards, returned by Jacquizz Rodgers for 30 yards (tackle by Erik Lorig)",0.000,0.610
1,1:05,1,10,ATL 25,3,7,Matt Ryan pass complete short right to Roddy White for 7 yards (tackle by Adam Hayward),0.610,1.010
1,0:35,2,3,ATL 32,3,7,Michael Turner right tackle for no gain (tackle by Adam Hayward and Leonard Johnson),1.010,0.300
Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,ATL 32,3,7,Matt Ryan pass complete short middle to Tony Gonzalez for 20 yards (tackle by Ahmad Black),0.300,2.390
2,14:22,1,10,TAM 48,3,7,Matt Ryan pass complete short middle to Julio Jones for 15 yards (tackle by Leonard Johnson),2.390,3.380
2,13:45,1,10,TAM 33,3,7,Michael Turner up the middle for -3 yards (tackle by Daniel Te'o-Nesheim),3.380,2.430
2,13:05,2,13,TAM 36,3,7,Matt Ryan pass complete short left to Harry Douglas for 6 yards (tackle by LeQuan Lewis),2.430,2.540
2,12:30,3,7,TAM 30,3,7,Matt Ryan pass complete short right to Tony Gonzalez for 16 yards (tackle by Leonard Johnson and Ronde Barber),2.540,4.650
2,11:46,1,10,TAM 14,3,7,Jacquizz Rodgers left end for -4 yards (tackle by Lavonte David),4.650,3.480
2,11:05,2,14,TAM 18,3,7,Matt Ryan for 13 yards,3.480,4.960
2,10:33,3,1,TAM 5,9,7,"Jacquizz Rodgers right end for 5 yards, touchdown",4.960,7.000
2,10:33,,,TAM 2,10,7,Matt Bryant kicks extra point good,0.000,0.000
2,10:25,,,ATL 35,10,7,"Matt Bosher kicks off 69 yards, returned by LeQuan Lewis for 24 yards (tackle by Cliff Matthews)",0.000,0.280
2,10:19,1,10,TAM 20,10,7,"Doug Martin right guard for 4 yards (tackle by Sean Weatherspoon). Penalty on TAM: Illegal Block Above the Waist (Offsetting), Penalty on William Moore: Personal Foul (Offsetting) (no play)",0.280,0.000
2,9:49,,,,10,7,Timeout #1 by Tampa Bay Buccaneers,0.000,0.280
2,9:49,1,10,TAM 20,10,7,Josh Freeman sacked by Dunta Robinson for -7 yards,0.280,-1.280
2,9:14,2,17,TAM 13,10,7,"Josh Freeman pass complete short right to Doug Martin for 42 yards (tackle by Kroy Biermann). Penalty on Demar Dotson: Offensive Holding (Declined), Penalty on Jamon Meredith: Illegal Use of Hands, 6 yards (no play)",-1.280,-1.730
2,8:39,2,23,TAM 7,10,7,Josh Freeman pass complete short right to Luke Stocker for 5 yards (tackle by Akeem Dent),-1.730,-2.360
2,7:55,3,18,TAM 12,10,7,Josh Freeman sacked by Kroy Biermann for -1 yards,-2.360,-2.490
2,7:27,4,19,TAM 11,10,7,"Michael Koenen punts 58 yards, returned by Dominique Franks for 10 yards (tackle by Keith Tandy)",-2.490,-1.660
2,7:13,1,10,ATL 41,10,7,Jacquizz Rodgers left guard for no gain (tackle by Mason Foster),1.660,1.120
2,6:36,2,10,ATL 41,10,7,Matt Ryan pass complete short right to Roddy White for 6 yards (tackle by Leonard Johnson),1.120,1.220
2,6:00,3,4,ATL 47,10,7,Matt Ryan pass incomplete short right intended for Roddy White is intercepted by Ronde Barber at TAM-41 and returned for 28 yards (tackle by Julio Jones). Penalty on ATL: Offensive Holding (Declined),1.220,-3.510
2,5:47,1,10,ATL 31,10,7,Mike Williams pass complete deep left to Vincent Jackson for 28 yards (tackle by Stephen Nicholas),3.510,6.510
2,5:01,1,3,ATL 3,10,7,Doug Martin right guard for 2 yards (tackle by Sean Weatherspoon and Corey Peters),6.510,5.910
2,4:18,2,1,ATL 1,10,7,Josh Freeman pass incomplete short left intended for Luke Stocker,5.910,5.170
2,4:10,3,1,ATL 1,10,7,Doug Martin left end for -3 yards (tackle by Mike Peterson),5.170,3.030
2,3:41,4,4,ATL 4,10,10,Connor Barth 22 yard field goal good,3.030,3.000
2,3:37,,,TAM 35,10,10,"Michael Koenen kicks off 65 yards, touchback",0.000,0.280
2,3:37,1,10,ATL 20,10,10,Matt Ryan pass complete short middle to Jason Snelling for 10 yards (tackle by Adam Hayward and Roy Miller),0.280,0.940
2,2:59,1,10,ATL 30,10,10,Matt Ryan pass complete short left to Jason Snelling for 14 yards (tackle by Lavonte David),0.940,1.860
2,2:25,1,10,ATL 44,10,10,Matt Ryan pass incomplete deep right intended for Harry Douglas,1.860,1.320
2,2:20,2,10,ATL 44,10,10,Michael Turner left end for 9 yards (tackle by Ronde Barber),1.320,1.820
2,2:00,3,1,TAM 47,10,10,Matt Ryan pass complete short left to Roddy White for 29 yards (tackle by Ronde Barber),1.820,4.370
2,1:53,1,10,TAM 18,10,10,Michael Turner left tackle for no gain (tackle by Daniel Te'o-Nesheim and Mark Barron),4.370,0.000
2,1:14,,,,10,10,Timeout #2 by Tampa Bay Buccaneers,0.000,3.800
2,1:14,2,10,TAM 18,10,10,"Matt Ryan pass incomplete deep left intended for Julio Jones. Penalty on Julio Jones: Offensive Pass Interference, 10 yards (no play)",3.800,2.480
2,1:08,2,20,TAM 28,10,10,Matt Ryan pass complete short left to Jason Snelling for 9 yards (tackle by Michael Bennett),2.480,0.000
2,0:22,,,,10,10,Timeout #1 by Atlanta Falcons,0.000,2.970
2,0:22,3,11,TAM 19,10,10,Matt Ryan pass complete short middle to Julio Jones for 15 yards (tackle by Lavonte David),2.970,0.000
2,0:15,,,,10,10,Timeout #2 by Atlanta Falcons,0.000,6.280
2,0:15,1,4,TAM 4,10,10,Matt Ryan pass incomplete short left intended for Julio Jones,6.280,5.340
2,0:10,2,4,TAM 4,10,10,Matt Ryan pass incomplete short middle intended for Julio Jones,5.340,0.000
2,0:04,,,,10,10,Timeout #3 by Atlanta Falcons,0.000,4.490
2,0:04,3,4,TAM 4,10,10,Matt Bryant 22 yard field goal no good,4.490,-0.370
Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,10,10,"Matt Bosher kicks off 68 yards, returned by LeQuan Lewis for 17 yards (tackle by Antone Smith)",0.000,-0.280
3,14:56,1,10,TAM 14,10,10,Doug Martin right end for -3 yards (tackle by Jonathan Babineaux),-0.280,-1.000
3,14:12,2,13,TAM 11,10,10,Josh Freeman pass complete short right to Doug Martin for 8 yards (tackle by Stephen Nicholas and Jonathan Babineaux),-1.000,-0.800
3,13:31,3,5,TAM 19,10,10,Josh Freeman pass complete short middle to Tiquan Underwood for 7 yards (tackle by Robert McClain),-0.800,0.670
3,12:46,1,10,TAM 26,10,10,Doug Martin right guard for 3 yards (tackle by William Moore and Corey Peters),0.670,0.540
3,12:06,2,7,TAM 29,10,10,Doug Martin left tackle for 3 yards (tackle by Dunta Robinson),0.540,0.230
3,11:28,3,4,TAM 32,10,10,Josh Freeman pass complete short left to Dallas Clark for 13 yards (tackle by Thomas DeCoud and Stephen Nicholas),0.230,1.930
3,10:41,1,10,TAM 45,10,10,Doug Martin left guard for 2 yards (tackle by John Abraham),1.930,1.650
3,10:01,2,8,TAM 47,10,10,Doug Martin left tackle for -2 yards (tackle by Sean Weatherspoon),1.650,0.700
3,9:20,3,10,TAM 45,10,10,Josh Freeman pass complete deep left to Vincent Jackson for 31 yards,0.700,3.970
3,9:05,1,10,ATL 24,10,10,Josh Freeman pass incomplete deep middle intended for Tiquan Underwood,3.970,3.430
3,8:57,2,10,ATL 24,10,10,Josh Freeman pass incomplete deep left intended for Vincent Jackson,3.430,2.740
3,8:49,3,10,ATL 24,10,10,Josh Freeman pass incomplete deep right intended for Mike Williams,2.740,1.870
3,8:42,4,10,ATL 24,10,13,Connor Barth 42 yard field goal good,1.870,3.000
3,8:37,,,TAM 35,10,13,"Michael Koenen kicks off 72 yards, touchback",0.000,0.280
3,8:37,1,10,ATL 20,16,13,"Matt Ryan pass complete deep right to Julio Jones for 80 yards, touchdown",0.280,7.000
3,8:37,,,TAM 2,17,13,Matt Bryant kicks extra point good,0.000,0.000
3,8:26,,,ATL 35,17,13,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
3,8:26,1,10,TAM 20,17,13,Josh Freeman pass incomplete deep right intended for Vincent Jackson (defended by Asante Samuel),0.280,-0.270
3,8:18,2,10,TAM 20,17,13,Doug Martin left guard for 4 yards (tackle by Dunta Robinson),-0.270,-0.430
3,7:43,3,6,TAM 24,17,13,Josh Freeman pass complete short right to Tiquan Underwood for 5 yards (tackle by Robert McClain),-0.430,-1.440
3,7:43,4,1,TAM 29,17,13,"Penalty on TAM: Delay of Game, 5 yards (no play)",-1.440,-1.770
3,6:50,4,6,TAM 24,17,13,"Michael Koenen punts 42 yards, fair catch by Dominique Franks",-1.770,-1.200
3,6:41,1,10,ATL 34,17,13,Matt Ryan pass complete short right to Michael Turner for no gain,1.200,0.660
3,6:08,2,10,ATL 34,17,13,Jacquizz Rodgers right guard for 3 yards (tackle by Lavonte David),0.660,0.370
3,5:26,3,7,ATL 37,17,13,Matt Ryan pass incomplete short left intended for Roddy White,0.370,-0.910
3,5:21,4,7,ATL 37,17,13,"Matt Bosher punts 45 yards, fair catch by Roscoe Parrish",-0.910,-0.040
3,5:12,1,10,TAM 18,17,13,"Penalty on TAM: False Start, 5 yards (no play)",0.040,-0.450
3,5:12,1,15,TAM 13,17,13,"Josh Freeman pass complete short left to Erik Lorig for 3 yards (tackle by Stephen Nicholas). Penalty on Demar Dotson: Illegal Use of Hands, 6 yards (no play)",-0.450,-0.800
3,4:41,1,21,TAM 7,17,13,Josh Freeman pass complete short right to Vincent Jackson for 10 yards (tackle by Dunta Robinson),-0.800,-0.650
3,3:56,2,11,TAM 17,17,13,Josh Freeman pass complete deep middle to Tiquan Underwood for 39 yards (tackle by Sean Weatherspoon),-0.650,2.650
3,3:08,1,10,ATL 44,17,13,Doug Martin left end for -1 yards (tackle by Dunta Robinson),2.650,1.980
