Unnamed: 0,ATL,TAM
First Downs,20,16
Rush-Yds-TDs,24-79-2,21-50-2
Cmp-Att-Yd-TD-INT,26-32-353-1-1,20-31-284-0-0
Sacked-Yards,1-8,2-8
Net Pass Yards,345,276
Total Yards,424,326
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,2-15,5-24
Third Down Conv.,8-13,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,29:22,30:38
