Quarter,Time,Tm,Detail,OAK,DEN
2.0,8:01,Raiders,Sebastian Janikowski 26 yard field goal,3,0
,2:58,Broncos,Matt Prater 44 yard field goal,3,3
,1:06,Raiders,Johnnie Lee Higgins 89 yard punt return (Sebastian Janikowski kick),10,3
3.0,9:18,Broncos,Peyton Hillis 6 yard rush (Matt Prater kick),10,10
,5:26,Raiders,Darren McFadden 1 yard rush (Sebastian Janikowski kick),17,10
4.0,14:08,Raiders,Ashley Lelie 4 yard pass from JaMarcus Russell (Sebastian Janikowski kick),24,10
,9:42,Raiders,Darren McFadden 1 yard rush (Sebastian Janikowski kick),31,10
