Unnamed: 0,OAK,DEN
First Downs,18,23
Rush-Yds-TDs,41-158-2,28-115-1
Cmp-Att-Yd-TD-INT,11-12-160-1-0,16-37-204-0-1
Sacked-Yards,0-0,0-0
Net Pass Yards,160,204
Total Yards,318,319
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,10-90,4-39
Third Down Conv.,8-13,9-16
Fourth Down Conv.,0-0,1-2
Time of Possession,32:04,27:56
