Quarter,Time,Down,ToGo,Location,NOR,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Garrett Hartley kicks off 66 yards, returned by Bernard Scott for 24 yards (tackle by Pierson Prioleau)",0.000,0.810
1,14:54,1,10,CIN 28,0,0,Cedric Benson right end for 3 yards (tackle by Alex Brown),0.810,0.670
1,14:15,2,7,CIN 31,0,0,Cedric Benson left tackle for 3 yards (tackle by Remi Ayodele),0.670,0.370
1,13:31,3,4,CIN 34,0,0,Carson Palmer pass complete short left to Jermaine Gresham for 3 yards (tackle by Scott Shanle),0.370,-0.910
1,13:19,4,1,CIN 37,0,0,"Kevin Huber punts 55 yards, returned by Tracy Porter for 7 yards (tackle by Cary Harris). Penalty on Danny Clark: Offensive Holding, 5 yards",-0.910,0.380
1,13:05,1,10,NOR 5,0,0,Reggie Bush left end for 10 yards (tackle by Jonathan Wade and Dhani Jones),-0.380,-0.220
1,12:32,1,10,NOR 15,0,0,Chris Ivory right guard for 2 yards (tackle by Domata Peko and Roy Williams),-0.220,-0.440
1,11:51,2,8,NOR 17,0,0,Drew Brees pass complete short left to Lance Moore for 9 yards (tackle by Johnathan Joseph),-0.440,0.670
1,11:26,1,10,NOR 26,0,0,Drew Brees pass complete deep left to Marques Colston for 43 yards (tackle by Roy Williams),0.670,3.510
1,10:44,1,10,CIN 31,0,0,Drew Brees pass complete short middle to Devery Henderson for no gain,3.510,2.970
1,10:08,2,10,CIN 31,0,0,Reggie Bush left end for 4 yards (tackle by Jonathan Wade),2.970,2.810
1,9:35,3,6,CIN 27,0,0,Drew Brees sacked by Carlos Dunlap and Geno Atkins for -8 yards,2.810,0.970
1,8:57,4,14,CIN 35,0,0,"Thomas Morstead punts 35 yards, touchback. Penalty on Brandon Johnson: Running Into the Kicker, 5 yards (no play)",0.970,1.410
1,8:49,4,9,CIN 30,3,0,Garrett Hartley 48 yard field goal good,1.410,3.000
1,,,,NOR 30,3,0,"Garrett Hartley kicks off 66 yards, returned by Bernard Scott for 29 yards (tackle by Jeff Charleston)",0.000,1.140
1,8:38,1,10,CIN 33,3,0,Cedric Benson right guard for 6 yards (tackle by Jonathan Vilma),1.140,1.400
1,7:57,2,4,CIN 39,3,0,Carson Palmer pass incomplete short middle intended for Terrell Owens,1.400,0.700
1,7:53,3,4,CIN 39,3,0,Carson Palmer pass complete short left to Brian Leonard for -2 yards (tackle by Malcolm Jenkins),0.700,-0.910
1,7:34,4,6,CIN 37,3,0,Kevin Huber punts 58 yards,-0.910,0.380
1,7:22,1,10,NOR 5,3,0,"Julius Jones right guard for 7 yards (tackle by Dhani Jones and Nedu Ndukwe). Penalty on Jahri Evans: Offensive Holding, 2 yards (no play)",-0.380,-0.460
1,6:53,1,12,NOR 3,3,0,Drew Brees pass incomplete short left intended for Julius Jones,-0.460,-0.930
1,6:47,2,12,NOR 3,3,0,Julius Jones middle for 4 yards (tackle by Dhani Jones),-0.930,-1.190
1,5:58,,,,3,0,Timeout #1 by New Orleans Saints,0.000,-1.190
1,5:58,3,8,NOR 7,3,0,Drew Brees pass complete short middle to Julius Jones for 4 yards (tackle by Reggie Nelson and Dhani Jones),-1.190,-2.490
1,5:24,4,4,NOR 11,3,0,"Thomas Morstead punts 53 yards, returned by Quan Cosby for 11 yards (tackle by Usama Young)",-2.490,-2.060
1,5:11,1,10,CIN 47,3,0,Bernard Scott right tackle for 1 yard (tackle by Jonathan Vilma and Alex Brown),2.060,1.650
1,4:32,2,9,CIN 48,3,0,Carson Palmer sacked by Jonathan Vilma for -6 yards,1.650,0.170
1,3:58,3,15,CIN 42,3,0,Carson Palmer pass complete short right to Jermaine Gresham for 17 yards (tackle by Darren Sharper),0.170,2.850
1,3:19,1,10,NOR 41,3,0,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",2.850,2.520
1,2:47,1,15,NOR 46,3,0,Carson Palmer pass incomplete deep middle intended for Chad Johnson,2.520,1.630
1,2:40,2,15,NOR 46,3,0,Bernard Scott left end for 18 yards (tackle by Tracy Porter),1.630,3.710
1,2:12,1,10,NOR 28,3,0,Carson Palmer pass incomplete deep right intended for Terrell Owens,3.710,3.170
1,2:05,2,10,NOR 28,3,0,"Bernard Scott right guard for 4 yards (tackle by Jonathan Vilma). Penalty on Reggie Kelly: Offensive Holding, 10 yards (no play)",3.170,1.820
1,1:33,,,,3,0,Timeout #1 by Cincinnati Bengals,0.000,1.820
1,1:33,2,20,NOR 38,3,0,Carson Palmer pass incomplete short middle intended for Jermaine Gresham,1.820,1.160
1,1:28,3,20,NOR 38,3,0,Carson Palmer pass complete short left to Jordan Shipley for 8 yards (tackle by Tracy Porter),1.160,1.410
1,1:04,4,12,NOR 30,3,0,Carson Palmer pass complete short left to Brian Leonard for 12 yards (tackle by Scott Shanle),1.410,4.370
1,0:31,1,10,NOR 18,3,0,Bernard Scott right tackle for 4 yards (tackle by Jeff Charleston),4.370,4.430
Quarter,Time,Down,ToGo,Location,NOR,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,NOR 14,3,0,Cedric Benson right guard for 5 yards (tackle by Danny Clark),4.430,4.740
2,14:19,3,1,NOR 9,3,0,"Cedric Benson middle for no gain (tackle by Jonathan Vilma). Penalty on Anthony Collins: Illegal Formation, 4 yards (no play)",4.740,3.820
2,13:48,3,5,NOR 13,3,0,Carson Palmer pass complete short left to Terrell Owens for 2 yards (tackle by Tracy Porter),3.820,2.800
2,13:07,4,3,NOR 11,3,3,Clint Stitser 29 yard field goal good,2.800,3.000
2,,,,CIN 30,3,3,"Clint Stitser kicks off 51 yards, returned by Heath Evans for 13 yards (tackle by Dan Skuta)",0.000,1.070
2,12:57,1,10,NOR 32,3,3,Drew Brees pass complete short right to Lance Moore for 7 yards (tackle by Johnathan Joseph),1.070,1.470
2,12:36,2,3,NOR 39,3,3,Chris Ivory right end for 6 yards (tackle by Brandon Johnson),1.470,1.930
2,12:11,1,10,NOR 45,9,3,"Chris Ivory left guard for 55 yards, touchdown",1.930,7.000
2,,,,CIN 2,10,3,Garrett Hartley kicks extra point good,0.000,0.000
2,,,,NOR 30,10,3,"Garrett Hartley kicks off 66 yards, returned by Bernard Scott for 41 yards (tackle by Jeff Charleston)",0.000,1.930
2,11:53,1,10,CIN 45,10,3,"Carson Palmer pass incomplete deep left intended for Terrell Owens. Penalty on Tracy Porter: Defensive Pass Interfere, 45 yards (no play)",1.930,4.910
2,11:45,1,10,NOR 10,10,3,Cedric Benson right end for -4 yards (tackle by Roman Harper),4.910,3.580
