Unnamed: 0,MIN,PHI
First Downs,20,25
Rush-Yds-TDs,11-62-0,34-163-2
Cmp-Att-Yd-TD-INT,27-46-221-1-3,26-31-333-1-1
Sacked-Yards,2-19,3-10
Net Pass Yards,202,323
Total Yards,264,486
Fumbles-Lost,1-0,1-0
Turnovers,3,1
Penalties-Yards,5-25,8-60
Third Down Conv.,4-12,7-13
Fourth Down Conv.,0-0,0-0
Time of Possession,23:46,36:14
