Quarter,Time,Tm,Detail,MIN,PHI
1.0,9:15,Eagles,Jalen Hurts 3 yard rush (Jake Elliott kick),0,7
2.0,14:52,Eagles,Quez Watkins 53 yard pass from Jalen Hurts (Jake Elliott kick),0,14
,9:39,Vikings,Irv Smith Jr. 2 yard pass from Kirk Cousins (Greg Joseph kick),7,14
,1:58,Eagles,Jalen Hurts 26 yard rush (Jake Elliott kick),7,21
,0:00,Eagles,Jake Elliott 38 yard field goal,7,24
