Unnamed: 0,ARI,LAR
First Downs,18,18
Rush-Yds-TDs,26-78-2,20-66-1
Cmp-Att-Yd-TD-INT,26-37-238-1-0,25-37-209-1-1
Sacked-Yards,2-18,3-19
Net Pass Yards,220,190
Total Yards,298,256
Fumbles-Lost,2-0,2-1
Turnovers,0,2
Penalties-Yards,10-67,5-29
Third Down Conv.,5-15,3-11
Fourth Down Conv.,3-3,2-2
Time of Possession,32:01,27:59
