Quarter,Time,Down,ToGo,Location,OAK,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,6,"Sebastian Janikowski kicks off 64 yards, returned by Micheal Spurlock for 99 yards, touchdown",0.000,7.000
1,15:00,,,OAK 2,0,7,Nick Novak kicks extra point good,0.000,0.000
1,14:48,,,SDG 35,0,7,"Nick Novak kicks off 66 yards, returned by Mike Goodson for 15 yards (tackle by Bront Bird)",0.000,-0.280
1,14:41,1,10,OAK 14,0,7,Darren McFadden left tackle for 5 yards (tackle by Cam Thomas and Demorrio Williams),-0.280,-0.040
1,14:05,2,5,OAK 19,0,7,Darren McFadden right tackle for 4 yards (tackle by Cam Thomas and Eric Weddle),-0.040,-0.320
1,13:25,3,1,OAK 23,0,7,Terrelle Pryor right end for -1 yards (tackle by Corey Lynch),-0.320,-1.900
1,12:51,4,2,OAK 22,0,7,Shane Lechler punts 58 yards (tackle by Keenan Clayton),-1.900,-0.940
1,12:38,1,10,SDG 30,0,7,Jackie Battle left end for no gain (tackle by Tommy Kelly),0.940,0.390
1,12:01,2,10,SDG 30,0,7,Jackie Battle left end for 3 yards (tackle by Tommy Kelly),0.390,0.100
1,11:17,3,7,SDG 33,0,7,Philip Rivers sacked by Lamarr Houston for -6 yards,0.100,-1.570
1,10:42,4,13,SDG 27,0,7,"Mike Scifres punts 44 yards, returned by Denarius Moore for no gain",-1.570,-0.870
1,10:30,1,10,OAK 29,0,7,Terrelle Pryor pass incomplete short middle intended for Marcel Reece,0.870,0.330
1,10:24,2,10,OAK 29,0,7,Darren McFadden up the middle for 7 yards (tackle by Demorrio Williams),0.330,0.560
1,9:44,3,3,OAK 36,0,7,Terrelle Pryor pass incomplete short middle intended for Brandon Myers,0.560,-0.980
1,9:38,4,3,OAK 36,0,7,"Shane Lechler punts 35 yards, out of bounds",-0.980,-0.870
1,9:31,1,10,SDG 29,0,7,Jackie Battle left tackle for 1 yard (tackle by Lamarr Houston and Philip Wheeler),0.870,0.460
1,8:51,2,9,SDG 30,0,7,Philip Rivers pass complete short right to Eddie Royal for 11 yards (tackle by Matt Giordano and Michael Huff),0.460,1.660
1,8:03,1,10,SDG 41,0,7,Philip Rivers pass incomplete short left intended for Eddie Royal,1.660,1.120
1,7:59,2,10,SDG 41,0,7,Ronnie Brown right guard for 3 yards (tackle by Michael Mitchell),1.120,0.830
1,7:17,3,7,SDG 44,0,7,"Philip Rivers pass complete deep left to Eddie Royal for 31 yards (tackle by Joselio Hanson). Penalty on Desmond Bryant: Roughing the Passer, 13 yards",0.830,4.780
1,6:36,1,10,OAK 12,0,7,Jackie Battle right end for -4 yards (tackle by Omar Gaither),4.780,3.530
1,5:55,2,14,OAK 16,0,7,"Penalty on Jeromey Clary: False Start, 5 yards (no play)",3.530,3.010
1,5:36,2,19,OAK 21,0,7,Ronnie Brown up the middle for 6 yards (tackle by Lamarr Houston),3.010,3.000
1,4:55,3,13,OAK 15,0,7,Philip Rivers pass complete short left to Ronnie Brown for 3 yards (tackle by Joselio Hanson),3.000,2.630
1,4:14,4,10,OAK 12,0,10,Nick Novak 30 yard field goal good,2.630,3.000
1,4:11,,,SDG 35,0,10,"Nick Novak kicks off 68 yards, touchback",0.000,0.280
1,4:11,1,10,OAK 20,0,10,"Terrelle Pryor pass incomplete deep right intended for Darrius Heyward-Bey. Penalty on Quentin Jammer: Illegal Contact, 5 yards (no play)",0.280,0.610
1,4:04,1,10,OAK 25,0,10,Darren McFadden left end for 3 yards (tackle by Demorrio Williams),0.610,0.470
1,3:23,2,7,OAK 28,0,10,Darren McFadden left end for 5 yards (tackle by Corey Lynch and Cam Thomas),0.470,0.430
1,2:42,3,2,OAK 33,0,10,Terrelle Pryor pass complete short right to Rod Streater for 10 yards (tackle by Antoine Cason),0.430,1.800
1,2:01,1,10,OAK 43,0,10,Terrelle Pryor pass complete short left to Brandon Myers for 17 yards (tackle by Eric Weddle and Antoine Cason),1.800,2.920
1,1:12,1,10,SDG 40,0,10,Mike Goodson right end for 9 yards (tackle by Eric Weddle and Kendall Reyes),2.920,3.590
1,0:28,2,1,SDG 31,0,10,Terrelle Pryor pass complete short left to Darrius Heyward-Bey for 4 yards (tackle by Marcus Gilchrist and Antoine Cason),3.590,3.780
Quarter,Time,Down,ToGo,Location,OAK,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 27,0,10,Terrelle Pryor pass incomplete short right intended for Brandon Myers,3.780,3.230
2,14:52,2,10,SDG 27,0,10,Darren McFadden right end for 8 yards (tackle by Eric Weddle),3.230,0.000
2,14:20,,,,0,10,Timeout #1 by Oakland Raiders,0.000,3.640
2,14:20,3,2,SDG 19,0,10,Terrelle Pryor for 6 yards (tackle by Takeo Spikes),3.640,4.710
2,13:42,1,10,SDG 13,0,10,Darren McFadden left end for -4 yards (tackle by Antoine Cason and Bront Bird),4.710,3.500
2,13:03,2,14,SDG 17,0,10,"Terrelle Pryor pass incomplete deep left intended for Rod Streater. Penalty on Mike Goodson: Personal Foul (Offsetting), Penalty on Takeo Spikes: Personal Foul (Offsetting) (no play)",3.500,3.500
2,12:55,2,14,SDG 17,0,10,Terrelle Pryor right end for 8 yards (tackle by Demorrio Williams),3.500,3.880
2,12:17,3,6,SDG 9,6,10,"Terrelle Pryor pass complete short right to Darrius Heyward-Bey for 9 yards, touchdown",3.880,7.000
2,12:17,,,SDG 2,7,10,Sebastian Janikowski kicks extra point good,0.000,0.000
2,,,,OAK 35,,,"Sebastian Janikowski kicks off 64 yards, returned by Micheal Spurlock for 18 yards (tackle by Taiwan Jones)",,
2,12:03,1,10,SDG 19,7,10,Philip Rivers pass complete short left to Jackie Battle for 2 yards (tackle by Brandian Ross and Miles Burris),0.150,-0.060
2,11:18,2,8,SDG 21,7,10,Philip Rivers pass incomplete short left intended for Eddie Royal,-0.060,-0.810
2,11:14,3,8,SDG 21,7,10,Philip Rivers pass complete short middle to Micheal Spurlock for 7 yards (tackle by Chimdi Chekwa),-0.810,-1.500
2,10:34,4,1,SDG 28,7,10,Eric Weddle up the middle for 6 yards (tackle by Kaelin Burnett and David Ausberry),-1.500,1.200
2,9:45,1,10,SDG 34,7,10,Philip Rivers pass complete short left to Eddie Royal for 8 yards (tackle by Brandian Ross),1.200,1.740
2,9:10,2,2,SDG 42,7,10,Jackie Battle left end for 5 yards (tackle by Lamarr Houston),1.740,2.060
2,8:28,1,10,SDG 47,7,10,"Penalty on Tommy Kelly: Encroachment, 5 yards (no play)",2.060,2.790
2,8:07,1,5,OAK 48,7,10,"Jackie Battle up the middle for no gain (tackle by Matt Shaughnessy). Penalty on Lamarr Houston: Defensive Offside, 5 yards (no play)",2.790,2.720
2,7:42,1,10,OAK 43,7,10,Philip Rivers pass incomplete deep left intended for Danario Alexander (defended by Matt Giordano),2.720,2.180
2,7:33,2,10,OAK 43,7,10,Curtis Brinkley up the middle for 7 yards (tackle by Philip Wheeler),2.180,2.410
2,6:48,3,3,OAK 36,7,10,Philip Rivers pass complete short middle to Antonio Gates for 4 yards (tackle by Brandian Ross),2.410,3.450
2,6:04,1,10,OAK 32,7,10,Jackie Battle up the middle for 5 yards (tackle by Miles Burris and Lamarr Houston),3.450,3.580
2,5:28,2,5,OAK 27,7,10,"Penalty on Tyronne Green: False Start, 5 yards (no play)",3.580,2.900
2,5:06,2,10,OAK 32,7,10,Philip Rivers pass complete short left to Jackie Battle for 11 yards (tackle by Brandian Ross),2.900,4.170
2,4:20,1,10,OAK 21,7,10,Jackie Battle up the middle for 2 yards (tackle by Michael Mitchell and Lamarr Houston),4.170,3.900
2,3:41,2,8,OAK 19,7,10,Philip Rivers pass complete short right to Jackie Battle for 8 yards (tackle by Joselio Hanson),3.900,4.840
2,2:55,1,10,OAK 11,7,16,"Philip Rivers pass complete short right to Antonio Gates for 11 yards, touchdown",4.840,7.000
2,2:55,,,OAK 2,7,17,Nick Novak kicks extra point good,0.000,0.000
2,2:48,,,SDG 35,7,17,"Nick Novak kicks off 65 yards, returned by Coye Francies for 21 yards (tackle by Andrew Gachkar)",0.000,0.340
2,2:42,1,10,OAK 21,7,17,Terrelle Pryor pass incomplete deep left intended for Denarius Moore,0.340,-0.200
2,2:36,2,10,OAK 21,7,17,Terrelle Pryor pass complete short middle to Darren McFadden for 3 yards (tackle by Bront Bird and Corey Liuget),-0.200,-0.490
2,2:00,3,7,OAK 24,7,17,Terrelle Pryor pass incomplete deep right intended for Denarius Moore,-0.490,-1.770
2,1:53,4,7,OAK 24,7,17,"Shane Lechler punts 51 yards, returned by Micheal Spurlock for 5 yards (tackle by Omar Gaither)",-1.770,-0.940
2,1:42,1,10,SDG 30,7,17,Philip Rivers sacked by Desmond Bryant and Lamarr Houston for -5 yards,0.940,-0.280
2,1:09,2,15,SDG 25,7,17,Ronnie Brown left end for 5 yards (tackle by Miles Burris),-0.280,0.000
2,1:01,,,,7,17,Timeout #2 by Oakland Raiders,0.000,-0.300
2,1:01,3,10,SDG 30,7,17,Ronnie Brown up the middle for 3 yards (tackle by Lamarr Houston),-0.300,0.000
2,0:57,,,,7,17,Timeout #3 by Oakland Raiders,0.000,-1.180
2,0:57,4,7,SDG 33,7,17,"Mike Scifres punts 53 yards, returned by Denarius Moore for 19 yards (tackle by Bront Bird). Penalty on Dante Rosario: Unnecessary Roughness, 15 yards",-1.180,-2.130
2,0:47,1,10,OAK 48,7,17,Terrelle Pryor up the middle for 5 yards (tackle by Andrew Gachkar),2.130,2.260
2,0:25,2,5,SDG 47,7,17,Terrelle Pryor pass complete short left to Darren McFadden for -1 yards (tackle by Shareece Wright),2.260,1.420
2,0:18,3,6,SDG 48,7,17,"Terrelle Pryor pass incomplete short middle intended for Brandon Myers. Penalty on Shaun Phillips: Neutral Zone Infraction, 5 yards (no play)",1.420,2.080
2,0:12,3,1,SDG 43,7,17,Terrelle Pryor left end for 6 yards (tackle by Andrew Gachkar),2.080,2.320
Quarter,Time,Down,ToGo,Location,OAK,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 35,7,17,"Nick Novak kicks off 69 yards, touchback",0.000,0.280
3,15:00,1,10,OAK 20,7,17,Darren McFadden left end for -4 yards (tackle by Corey Liuget),0.280,-0.940
3,14:19,2,14,OAK 16,7,17,Terrelle Pryor pass incomplete short left intended for Brandon Myers,-0.940,-1.690
3,14:12,3,14,OAK 16,7,17,"Terrelle Pryor pass complete short middle to Rod Streater for 15 yards (tackle by Eric Weddle). Rod Streater fumbles (forced by Eric Weddle), recovered by Eric Weddle at OAK-32 (tackle by Rod Streater). Penalty on Corey Liuget: Roughing the Passer, 15 yards (no play)",-1.690,1.000
3,14:01,1,10,OAK 31,7,17,Terrelle Pryor pass incomplete short right intended for Marcel Reece,1.000,0.460
3,13:55,2,10,OAK 31,7,17,Terrelle Pryor pass incomplete short left intended for Marcel Reece (defended by Bront Bird),0.460,-0.230
3,13:49,3,10,OAK 31,7,17,Terrelle Pryor pass complete deep left to Brandon Myers for 22 yards (tackle by Corey Lynch and Marcus Gilchrist),-0.230,2.460
3,13:09,1,10,SDG 47,7,17,Darren McFadden right end for 3 yards (tackle by Jarret Johnson and Kendall Reyes),2.460,2.320
3,12:32,2,7,SDG 44,7,17,Darren McFadden left guard for 3 yards (tackle by Demorrio Williams and Kendall Reyes),2.320,2.010
3,11:51,3,4,SDG 41,7,17,Terrelle Pryor for 8 yards (tackle by Andrew Gachkar),2.010,3.380
3,11:08,1,10,SDG 33,7,17,Darren McFadden left tackle for 5 yards (tackle by Larry English),3.380,3.510
3,10:28,2,5,SDG 28,7,17,Terrelle Pryor pass incomplete deep right intended for Darrius Heyward-Bey is intercepted by Quentin Jammer at SDG-0,3.510,-0.280
3,10:21,1,10,SDG 20,7,17,Jackie Battle up the middle for 5 yards (tackle by Omar Gaither and Tommy Kelly),0.280,0.410
3,9:42,2,5,SDG 25,7,17,Jackie Battle right guard for no gain (tackle by Desmond Bryant and Tommy Kelly),0.410,-0.300
3,9:00,3,5,SDG 25,7,17,Philip Rivers pass incomplete short left intended for Micheal Spurlock,-0.300,-1.700
3,8:54,4,5,SDG 25,7,17,"Mike Scifres punts 58 yards, returned by Denarius Moore for 5 yards (tackle by Melvin Ingram). Penalty on Jamize Olawale: Illegal Block Above the Waist, 10 yards",-1.700,0.350
3,8:42,1,10,OAK 12,7,17,Darren McFadden left end for 2 yards (tackle by Antoine Cason),-0.350,-0.610
3,8:01,2,8,OAK 14,7,17,Darren McFadden left end for no gain (tackle by Bront Bird and Antoine Cason),-0.610,-1.190
3,7:25,3,8,OAK 14,7,17,Terrelle Pryor pass incomplete short middle intended for Rod Streater (defended by Corey Lynch),-1.190,-2.470
3,7:19,4,8,OAK 14,7,17,Shane Lechler punts 33 yards,-2.470,-2.460
3,7:10,1,10,OAK 47,7,17,Jackie Battle left end for 2 yards (tackle by Omar Gaither),2.460,2.180
3,6:30,2,8,OAK 45,7,17,Philip Rivers pass complete short left to Jackie Battle for 10 yards (tackle by Omar Gaither and Michael Mitchell),2.180,3.250
3,5:48,1,10,OAK 35,7,17,Jackie Battle up the middle for 1 yard (tackle by Matt Shaughnessy),3.250,2.840
3,5:06,2,9,OAK 34,7,23,"Philip Rivers pass complete deep left to Danario Alexander for 34 yards, touchdown",2.840,7.000
