Quarter,Time,Tm,Detail,OAK,SDG
1.0,14:48,Chargers,Micheal Spurlock 99 yard kickoff return (Nick Novak kick),0,7
,4:11,Chargers,Nick Novak 30 yard field goal,0,10
2.0,12:11,Raiders,Darrius Heyward-Bey 9 yard pass from Terrelle Pryor (Sebastian Janikowski kick),7,10
,2:48,Chargers,Antonio Gates 11 yard pass from Philip Rivers (Nick Novak kick),7,17
3.0,4:59,Chargers,Danario Alexander 34 yard pass from Philip Rivers (Nick Novak kick),7,24
4.0,7:43,Raiders,Terrelle Pryor 3 yard rush (Sebastian Janikowski kick),14,24
,1:52,Raiders,Denarius Moore 5 yard pass from Terrelle Pryor (Sebastian Janikowski kick),21,24
