Unnamed: 0,OAK,SDG
First Downs,17,14
Rush-Yds-TDs,29-115-1,31-70-0
Cmp-Att-Yd-TD-INT,13-28-150-2-1,13-17-151-2-0
Sacked-Yards,0-0,2-11
Net Pass Yards,150,140
Total Yards,265,210
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,9-67,8-60
Third Down Conv.,8-15,2-11
Fourth Down Conv.,0-0,1-1
Time of Possession,28:18,31:42
