Quarter,Time,Tm,Detail,DAL,WAS
1.0,6:34,Cowboys,Jalen Tolbert 3 yard pass from Dak Prescott (Brandon Aubrey kick),7,0
2.0,14:57,Commanders,Brian Robinson Jr. 1 yard pass from Sam Howell (Joey Slye kick),7,7
,7:04,Commanders,Joey Slye 36 yard field goal,7,10
,4:36,Cowboys,Tony Pollard 1 yard rush (Brandon Aubrey kick),14,10
,0:23,Cowboys,CeeDee Lamb 4 yard pass from Dak Prescott (Brandon Aubrey kick),21,10
3.0,8:42,Cowboys,CeeDee Lamb 6 yard pass from Dak Prescott (Brandon Aubrey kick),28,10
,4:13,Cowboys,Brandin Cooks 5 yard pass from Dak Prescott (Brandon Aubrey kick),35,10
4.0,1:06,Cowboys,Brandon Aubrey 50 yard field goal,38,10
