Unnamed: 0,TEN,JAX
First Downs,20,19
Rush-Yds-TDs,29-110-0,27-100-1
Cmp-Att-Yd-TD-INT,23-40-261-1-2,17-26-261-2-1
Sacked-Yards,1-11,7-40
Net Pass Yards,250,221
Total Yards,360,321
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,6-42,5-30
Third Down Conv.,6-15,7-14
Fourth Down Conv.,0-0,0-1
Time of Possession,30:37,29:23
