Unnamed: 0,GNB,DET
First Downs,14,21
Rush-Yds-TDs,22-76-0,38-115-1
Cmp-Att-Yd-TD-INT,16-27-162-1-0,22-34-246-0-2
Sacked-Yards,2-15,2-8
Net Pass Yards,147,238
Total Yards,223,353
Fumbles-Lost,1-1,1-1
Turnovers,1,3
Penalties-Yards,5-30,6-40
Third Down Conv.,4-10,11-18
Fourth Down Conv.,0-1,0-0
Time of Possession,21:47,38:13
