Unnamed: 0,KAN,IND
First Downs,26,15
Rush-Yds-TDs,38-194-0,27-78-1
Cmp-Att-Yd-TD-INT,21-29-257-4-0,15-27-277-2-0
Sacked-Yards,2-15,0-0
Net Pass Yards,242,277
Total Yards,436,355
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,5-39,4-40
Third Down Conv.,8-14,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,33:07,26:53
