Quarter,Time,Down,ToGo,Location,IND,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 64 yards, returned by Chris Rainey for 27 yards (tackle by Jayson DiManche)",0.000,-0.810
1,14:55,1,10,IND 28,0,0,Andrew Luck up the middle for 3 yards (tackle by Carlos Dunlap),0.810,0.670
1,14:20,2,7,IND 31,0,0,Donald Brown right guard for 3 yards (tackle by Rey Maualuga),0.670,0.670
1,13:44,2,7,IND 31,0,0,Timeout #1 by Indianapolis Colts,0.670,0.370
1,13:44,3,4,IND 34,0,0,Andrew Luck pass incomplete deep left intended for Da'Rick Rogers,0.370,-1.110
1,13:37,4,4,IND 34,0,0,"Pat McAfee punts 54 yards, returned by Brandon Tate for 5 yards (tackle by Kelvin Sheppard)",-1.110,0.060
1,13:25,1,10,CIN 17,0,0,Andy Dalton pass complete short right to Jermaine Gresham for 8 yards (tackle by Jerrell Freeman),-0.060,0.620
1,12:50,2,2,CIN 25,0,0,BenJarvus Green-Ellis right tackle for no gain (tackle by Kelvin Sheppard and Aubrayo Franklin),0.620,-0.240
1,12:07,3,2,CIN 25,0,0,Andy Dalton pass complete short middle to A.J. Green for 10 yards (tackle by Darius Butler),-0.240,1.270
1,11:33,1,10,CIN 35,0,0,BenJarvus Green-Ellis right guard for 2 yards (tackle by Antoine Bethea),1.270,0.990
1,10:49,2,8,CIN 37,0,0,Andy Dalton pass complete short right to A.J. Green for 17 yards (tackle by Antoine Bethea),0.990,2.520
1,10:13,1,10,IND 46,0,0,BenJarvus Green-Ellis left guard for no gain (tackle by Fili Moala and Kelvin Sheppard),2.520,1.980
1,9:36,2,10,IND 46,0,0,Andy Dalton pass complete short right to Andrew Hawkins for 7 yards (tackle by Antoine Bethea),1.980,2.210
1,8:58,3,3,IND 39,0,0,Andy Dalton pass complete short right to Jermaine Gresham for 10 yards (tackle by Antoine Bethea),2.210,3.640
1,8:19,1,10,IND 29,0,0,Andy Dalton pass incomplete short right intended for BenJarvus Green-Ellis,3.640,3.100
1,8:11,2,10,IND 29,0,6,"Andy Dalton pass complete deep left to Marvin Jones for 29 yards, touchdown",3.100,7.000
1,8:11,,,IND 2,0,7,Mike Nugent kicks extra point good,0.000,0.000
1,8:11,,,CIN 35,0,7,"Mike Nugent kicks off 69 yards, returned by Chris Rainey for 27 yards (tackle by Jayson DiManche)",0.000,-0.480
1,7:59,1,10,IND 23,0,7,Andrew Luck pass complete short right to Jack Doyle for 8 yards (tackle by Terence Newman),0.480,1.010
1,7:35,2,2,IND 31,0,7,"Andrew Luck pass incomplete deep right intended for Weslye Saunders. Penalty on Vontaze Burfict: Defensive Pass Interference, 20 yards (no play)",1.010,2.320
1,7:27,1,10,CIN 49,0,7,Andrew Luck pass incomplete short left intended for Donald Brown (defended by Brandon Thompson),2.320,1.780
1,7:21,2,10,CIN 49,0,7,Andrew Luck pass incomplete short left intended for T.Y. Hilton,1.780,1.090
1,7:14,3,10,CIN 49,0,7,Andrew Luck pass complete short left to Donald Brown for 2 yards (tackle by Vontaze Burfict),1.090,0.130
1,7:08,4,8,CIN 47,0,7,Pat McAfee punts 46 yards,0.130,0.380
1,6:58,1,10,CIN 1,0,7,BenJarvus Green-Ellis right guard for 4 yards (tackle by Antoine Bethea),-0.380,-0.490
1,6:25,2,6,CIN 5,0,7,BenJarvus Green-Ellis right guard for 3 yards (tackle by LaRon Landry and Antoine Bethea),-0.490,-0.600
1,5:45,3,3,CIN 8,0,7,Andy Dalton pass incomplete short left intended for A.J. Green (defended by LaRon Landry),-0.600,-2.490
1,5:38,4,3,CIN 8,0,7,"Kevin Huber punts 54 yards, muffed catch by Chris Rainey, recovered by Chris Rainey and returned for no gain",-2.490,-1.140
1,5:22,1,10,IND 33,0,7,Trent Richardson right guard for no gain (tackle by Domata Peko),1.140,0.590
1,4:44,2,10,IND 33,0,7,Trent Richardson left guard for 2 yards,0.590,0.170
1,4:01,3,8,IND 35,0,7,Andrew Luck pass incomplete short left intended for Darrius Heyward-Bey,0.170,-1.040
1,3:56,4,8,IND 35,0,7,"Pat McAfee punts 36 yards, out of bounds",-1.040,-0.870
1,3:46,1,10,CIN 29,0,7,Andy Dalton pass incomplete,0.870,0.330
1,3:40,2,10,CIN 29,0,7,Giovani Bernard left guard for 11 yards (tackle by Antoine Bethea and Erik Walden),0.330,1.600
1,3:02,1,10,CIN 40,0,7,"Andy Dalton pass incomplete short right intended for Giovani Bernard. Penalty on Andre Smith: Offensive Holding, 10 yards (no play)",1.600,0.940
1,2:56,1,20,CIN 30,0,7,Giovani Bernard left guard for no gain (tackle by Bjoern Werner),0.940,-0.300
1,2:13,2,20,CIN 30,0,7,Andy Dalton pass incomplete short right intended for Marvin Jones,-0.300,-0.960
1,2:08,3,20,CIN 30,0,7,Andy Dalton pass complete short left to Giovani Bernard for 5 yards (tackle by Josh McNary),-0.960,-1.040
1,1:31,4,15,CIN 35,0,7,"Kevin Huber punts 65 yards, touchback",-1.040,-0.280
1,1:21,1,10,IND 20,0,7,Donald Brown right tackle for 3 yards (tackle by Brandon Thompson),0.280,0.140
1,0:39,2,7,IND 23,0,7,Andrew Luck pass complete short left to Coby Fleener for 13 yards (tackle by George Iloka),0.140,1.330
1,0:07,1,10,IND 36,0,7,Donald Brown right guard for no gain (tackle by Carlos Dunlap),1.330,0.790
Quarter,Time,Down,ToGo,Location,IND,CIN,Detail,EPB,EPA
