Unnamed: 0,NYG,TAM
First Downs,15,28
Rush-Yds-TDs,13-66-0,27-94-1
Cmp-Att-Yd-TD-INT,23-39-167-1-2,32-48-318-2-1
Sacked-Yards,2-18,1-10
Net Pass Yards,149,308
Total Yards,215,402
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,4-30,6-39
Third Down Conv.,1-9,6-13
Fourth Down Conv.,1-3,1-1
Time of Possession,24:21,35:39
