Quarter,Time,Tm,Detail,NYG,TAM
1.0,11:03,Buccaneers,Chris Godwin 13 yard pass from Tom Brady (Ryan Succop kick),0,7
,4:04,Giants,Graham Gano 37 yard field goal,3,7
2.0,11:16,Buccaneers,Ryan Succop 25 yard field goal,3,10
,9:14,Giants,Andrew Thomas 2 yard pass from Daniel Jones (Graham Gano kick),10,10
,5:06,Buccaneers,Ronald Jones II 6 yard rush (Ryan Succop kick),10,17
3.0,7:31,Buccaneers,Mike Evans 5 yard pass from Tom Brady (Ryan Succop kick),10,24
,3:53,Buccaneers,Ryan Succop 40 yard field goal,10,27
4.0,7:44,Buccaneers,Ryan Succop 30 yard field goal,10,30
