Quarter,Time,Tm,Detail,SFO,ARI
1.0,5:34,49ers,Joe Nedney 37 yard field goal,3,0
,1:22,49ers,Joe Nedney 50 yard field goal,6,0
2.0,14:03,Cardinals,Neil Rackers 44 yard field goal,6,3
,2:23,49ers,Frank Gore 6 yard rush (Joe Nedney kick),13,3
,0:00,Cardinals,Neil Rackers 29 yard field goal,13,6
3.0,4:11,Cardinals,Larry Fitzgerald 5 yard pass from Kurt Warner (Neil Rackers kick),13,13
4.0,14:52,Cardinals,Neil Rackers 43 yard field goal,13,16
,7:26,49ers,Frank Gore 3 yard pass from Shaun Hill (Joe Nedney kick),20,16
