Unnamed: 0,SFO,ARI
First Downs,13,17
Rush-Yds-TDs,25-21-1,17-40-0
Cmp-Att-Yd-TD-INT,18-31-209-1-0,26-44-288-1-2
Sacked-Yards,4-27,3-29
Net Pass Yards,182,259
Total Yards,203,299
Fumbles-Lost,1-1,1-0
Turnovers,1,2
Penalties-Yards,4-31,12-82
Third Down Conv.,7-18,4-14
Fourth Down Conv.,0-0,0-1
Time of Possession,31:37,28:23
