Quarter,Time,Tm,Detail,ATL,SFO
2.0,12:55,49ers,Raheem Mostert 2 yard rush (Robbie Gould kick),0,7
,7:01,Falcons,Julio Jones 5 yard pass from Matt Ryan (Younghoe Koo kick),7,7
,2:36,Falcons,Younghoe Koo 43 yard field goal,10,7
,0:24,49ers,Robbie Gould 22 yard field goal,10,10
3.0,5:14,49ers,Robbie Gould 46 yard field goal,10,13
4.0,10:07,49ers,Kyle Juszczyk 2 yard pass from Jimmy Garoppolo (Robbie Gould kick failed),10,19
,5:15,Falcons,Qadree Ollison 1 yard rush (Younghoe Koo kick),17,19
,1:48,49ers,Robbie Gould 43 yard field goal,17,22
,0:02,Falcons,Julio Jones 5 yard pass from Matt Ryan (run failed),23,22
,0:00,Falcons,Olamide Zaccheaus fumble recovery in end zone,29,22
