Unnamed: 0,ATL,SFO
First Downs,20,20
Rush-Yds-TDs,20-89-1,27-120-1
Cmp-Att-Yd-TD-INT,25-39-210-2-0,22-34-200-1-0
Sacked-Yards,2-9,1-7
Net Pass Yards,201,193
Total Yards,290,313
Fumbles-Lost,1-1,4-2
Turnovers,1,2
Penalties-Yards,11-98,7-67
Third Down Conv.,7-13,4-12
Fourth Down Conv.,0-0,1-1
Time of Possession,29:12,30:48
