Quarter,Time,Down,ToGo,Location,OAK,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 79 yards, touchback",0.000,0.280
1,15:00,1,10,KAN 20,0,0,Larry Johnson up the middle for 2 yards (tackle by Jay Richardson and Kirk Morrison),0.280,0.000
1,14:20,2,8,KAN 22,0,0,Larry Johnson right tackle for 7 yards (tackle by Ricky Brown),0.000,0.230
1,13:34,3,1,KAN 29,0,0,Larry Johnson up the middle for 1 yard (tackle by Jay Richardson),0.230,0.940
1,12:48,1,10,KAN 30,0,0,Damon Huard pass incomplete deep left intended for Jamaal Charles,0.940,0.390
1,12:42,2,10,KAN 30,0,0,"Marques Hagans up the middle for 7 yards (tackle by Ricky Brown). Penalty on Dwayne Bowe: Illegal Shift, 5 yards (no play)",0.390,-0.280
1,12:13,2,15,KAN 25,0,0,Damon Huard pass complete short middle to Tony Gonzalez for 12 yards (tackle by Nnamdi Asomugha),-0.280,0.630
1,11:29,3,3,KAN 37,0,0,"Penalty on Derrick Burgess: Defensive Offside, 5 yards (no play)",0.630,1.730
1,11:06,1,10,KAN 42,0,0,Larry Johnson right tackle for 3 yards (tackle by DeAngelo Hall),1.730,1.590
1,10:28,2,7,KAN 45,0,0,"Damon Huard pass incomplete short left intended for Tony Gonzalez. Penalty on Tony Gonzalez: Offensive Pass Interference, 10 yards (no play)",1.590,0.240
1,10:22,2,17,KAN 35,0,0,Marques Hagans up the middle for 2 yards (tackle by Derrick Burgess),0.240,-0.160
1,9:46,3,15,KAN 37,0,0,Damon Huard pass complete short middle to Kolby Smith for 5 yards (tackle by Thomas Howard),-0.160,-0.590
1,9:08,4,10,KAN 42,0,0,Dustin Colquitt punts 17 yards,-0.590,-1.660
1,9:03,1,10,OAK 41,0,0,JaMarcus Russell pass complete short left to Darren McFadden for 9 yards (tackle by Bernard Pollard),1.660,2.340
1,8:30,2,1,,0,0,Justin Fargas right tackle for 7 yards (tackle by Donnie Edwards),2.340,2.720
1,7:50,1,10,KAN 43,0,0,JaMarcus Russell right end for 3 yards (tackle by Derrick O. Johnson),2.720,2.580
1,7:04,2,7,KAN 40,0,0,"Penalty on Jake Grove: False Start, 5 yards (no play)",2.580,1.910
1,6:37,2,12,KAN 45,0,0,Justin Fargas right end for -2 yards (tackle by Pat Thomas and Jarrad Page),1.910,0.960
1,5:55,3,14,KAN 47,0,0,JaMarcus Russell pass complete short left to Zach Miller for 10 yards (tackle by Brandon Flowers),0.960,0.790
1,5:55,4,4,KAN 37,3,0,Sebastian Janikowski 56 yard field goal good,0.790,3.000
1,,,,OAK 30,3,0,"Sebastian Janikowski kicks off 79 yards, touchback",0.000,0.280
1,5:13,1,10,KAN 20,3,0,Larry Johnson up the middle for no gain (tackle by Terdell Sands and Gibril Wilson),0.280,-0.270
1,4:33,2,10,KAN 20,3,0,Damon Huard for 15 yards,-0.270,1.270
1,3:58,1,10,KAN 35,3,0,Jamaal Charles right end for 3 yards (tackle by Tommy Kelly),1.270,1.130
1,3:14,2,7,KAN 38,3,0,Damon Huard sacked by Thomas Howard for -8 yards,1.130,-0.630
1,2:43,3,15,KAN 30,3,0,"Penalty on Gerard Warren: Encroachment, 5 yards (no play)",-0.630,0.040
1,2:24,3,10,KAN 35,3,0,Damon Huard pass incomplete short middle intended for Devard Darling is intercepted by Tyvon Branch at KAN-45 and returned for 36 yards (tackle by Brian Waters),0.040,-5.140
1,2:13,1,9,KAN 9,3,0,JaMarcus Russell pass incomplete short right intended for Ashley Lelie (defended by Jarrad Page),5.140,4.380
1,2:06,2,9,KAN 9,3,0,Darren McFadden up the middle for 2 yards (tackle by Derrick O. Johnson and Donnie Edwards),4.380,3.810
1,1:26,3,7,KAN 7,3,0,JaMarcus Russell pass incomplete short middle intended for Johnnie Lee Higgins,3.810,2.970
1,1:22,4,7,KAN 7,6,0,Sebastian Janikowski 25 yard field goal good,2.970,3.000
1,,,,OAK 30,6,0,"Sebastian Janikowski kicks off 76 yards, returned by B.J. Sams for 21 yards (tackle by Jon Alston)",0.000,-0.220
1,1:14,1,10,KAN 15,6,0,Larry Johnson up the middle for -1 yards (tackle by Derrick Burgess and Gerard Warren),-0.220,-0.820
1,0:33,2,11,KAN 14,6,0,Tyler Thigpen pass complete short right to Dwayne Bowe for 7 yards (tackle by DeAngelo Hall),-0.820,-0.630
Quarter,Time,Down,ToGo,Location,OAK,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,KAN 21,6,0,Tyler Thigpen pass incomplete short right intended for Tony Gonzalez (defended by DeAngelo Hall),-0.630,-1.960
2,14:56,4,4,KAN 21,6,0,"Dustin Colquitt punts 56 yards, returned by Johnnie Lee Higgins for 11 yards (tackle by Erik Walden)",-1.960,-1.200
2,14:45,1,10,OAK 34,6,0,Justin Fargas right tackle for 7 yards (tackle by Jarrad Page and DaJuan Morgan),1.200,1.600
2,14:07,2,3,OAK 41,6,0,Justin Fargas up the middle for 2 yards (tackle by Derrick O. Johnson and Turk McBride),1.600,1.160
2,13:30,3,1,OAK 43,6,0,Justin Fargas up the middle for 2 yards (tackle by Tank Tyler and Donnie Edwards),1.160,1.930
2,12:48,1,10,OAK 45,6,0,JaMarcus Russell pass incomplete short right intended for Ashley Lelie (defended by Patrick Surtain),1.930,1.380
2,12:43,2,10,OAK 45,6,0,JaMarcus Russell pass incomplete short right intended for Ronald Curry,1.380,0.700
2,12:39,3,10,OAK 45,6,0,JaMarcus Russell pass complete short left to Ashley Lelie for 11 yards (tackle by Brandon Flowers),0.700,2.650
2,11:58,1,10,KAN 44,6,0,JaMarcus Russell pass incomplete deep right intended for Chaz Schilens,2.650,2.110
2,11:50,2,10,KAN 44,6,0,Darren McFadden up the middle for 2 yards (tackle by Tank Tyler and Derrick O. Johnson),2.110,1.690
2,11:09,3,8,KAN 42,6,0,JaMarcus Russell pass incomplete short right intended for Ashley Lelie,1.690,0.460
2,11:04,4,8,KAN 42,6,0,"Shane Lechler punts 42 yards, touchback",0.460,-0.280
2,10:57,1,10,KAN 20,6,0,Tyler Thigpen pass incomplete short right intended for Marques Hagans,0.280,-0.270
2,10:50,2,10,KAN 20,6,0,Tyler Thigpen pass incomplete short left intended for Dwayne Bowe (defended by Nnamdi Asomugha),-0.270,-0.960
2,10:43,3,10,KAN 20,6,0,Tyler Thigpen pass incomplete short right intended for Jeff Webb (defended by Michael Huff),-0.960,-2.030
2,10:39,4,10,KAN 20,6,0,"Dustin Colquitt punts 66 yards, returned by Johnnie Lee Higgins for 19 yards (tackle by Derrick O. Johnson)",-2.030,-1.140
2,10:27,1,10,OAK 33,6,0,Justin Fargas left tackle for 9 yards (tackle by Donnie Edwards),1.140,1.810
2,9:49,2,1,OAK 42,6,0,Justin Fargas up the middle for 3 yards (tackle by DaJuan Morgan),1.810,1.930
2,9:09,1,10,OAK 45,6,0,Justin Fargas left tackle for 11 yards (tackle by Derrick O. Johnson),1.930,2.650
2,8:33,1,10,KAN 44,6,0,"Darren McFadden right tackle for 3 yards (tackle by Derrick O. Johnson). Penalty on Ron Edwards: Defensive Holding, 5 yards",2.650,3.180
