Quarter,Time,Tm,Detail,OAK,KAN
1.0,5:13,Raiders,Sebastian Janikowski 56 yard field goal,3,0
,1:19,Raiders,Sebastian Janikowski 25 yard field goal,6,0
3.0,8:22,Raiders,Darren McFadden 19 yard rush (Sebastian Janikowski kick),13,0
4.0,6:53,Raiders,Sebastian Janikowski 40 yard field goal,16,0
,4:04,Chiefs,Tony Gonzalez 2 yard pass from Tyler Thigpen (Mike Cox pass from Tyler Thigpen),16,8
,0:51,Raiders,Michael Bush 32 yard rush (Sebastian Janikowski kick),23,8
