Unnamed: 0,OAK,KAN
First Downs,18,15
Rush-Yds-TDs,47-300-2,19-55-0
Cmp-Att-Yd-TD-INT,6-17-55-0-0,17-38-173-1-2
Sacked-Yards,0-0,5-38
Net Pass Yards,55,135
Total Yards,355,190
Fumbles-Lost,3-2,2-0
Turnovers,2,2
Penalties-Yards,9-61,5-36
Third Down Conv.,6-14,4-15
Fourth Down Conv.,1-1,0-0
Time of Possession,32:31,27:29
